"naics_sector","description"
"51","Information, including: Motion Picture and Video Industries; Sound Recording Industries; Newspaper, Periodical, Book, and Directory Publishers; Software Publishers; Radio and Television Broadcasting Stations; Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers; Wired and Wireless Telecommunications (except Satellite); Satellite Telecommunications; All Other Telecommunications; Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services; Web Search Portals, Libraries, Archives, and Other Information Services"
"52","Finance and Insurance, including: Monetary Authorities-Central Bank; Depository Credit Intermediation; Nondepository Credit Intermediation; Activities Related to Credit Intermediation; Securities and Commodity Contracts Intermediation and Brokerage; Securities and Commodity Exchanges; Other Financial Investment Activities; Insurance Carriers; Agencies, Brokerages, and Other Insurance Related Activities; Insurance and Employee Benefit Funds; Other Investment Pools and Funds"
"53","Real Estate and Rental and Leasing, including: Lessors of Real Estate; Offices of Real Estate Agents and Brokers; Activities Related to Real Estate; Automotive Equipment Rental and Leasing; Consumer Goods Rental; General Rental Centers; Commercial and Industrial Machinery and Equipment Rental and Leasing; Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"
"54","Professional, Scientific, and Technical Services, including: Legal Services; Accounting, Tax Preparation, Bookkeeping, and Payroll Services; Architectural, Engineering, and Related Services; Specialized Design Services; Computer Systems Design and Related Services; Management, Scientific, and Technical Consulting Services; Scientific Research and Development Services; Advertising, Public Relations, and Related Services; Other Professional, Scientific, and Technical Services"
"55","Management of Companies and Enterprises, including: Management of Companies and Enterprises"
"56","Administrative and Support and Waste Management and Remediation Services, including: Office Administrative Services; Facilities Support Services; Employment Services; Business Support Services; Travel Arrangement and Reservation Services; Investigation and Security Services; Services to Buildings and Dwellings; Other Support Services; Waste Collection; Waste Treatment and Disposal; Remediation and Other Waste Management Services"
"61","Educational Services, including: Elementary and Secondary Schools; Junior Colleges; Colleges, Universities, and Professional Schools; Business Schools and Computer and Management Training; Technical and Trade Schools; Other Schools and Instruction; Educational Support Services"
"62","Health Care and Social Assistance, including: Offices of Physicians; Offices of Dentists; Offices of Other Health Practitioners; Outpatient Care Centers; Medical and Diagnostic Laboratories; Home Health Care Services; Other Ambulatory Health Care Services; General Medical and Surgical Hospitals; Psychiatric and Substance Abuse Hospitals; Specialty (except Psychiatric and Substance Abuse) Hospitals; Nursing Care Facilities (Skilled Nursing Facilities); Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities; Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly; Other Residential Care Facilities; Individual and Family Services; Community Food and Housing, and Emergency and Other Relief Services; Vocational Rehabilitation Services; Child Care Services"
"71","Arts, Entertainment, and Recreation, including: Performing Arts Companies; Spectator Sports; Promoters of Performing Arts, Sports, and Similar Events; Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures; Independent Artists, Writers, and Performers; Museums, Historical Sites, and Similar Institutions; Amusement Parks and Arcades; Gambling Industries; Other Amusement and Recreation Industries"
"72","Accommodation and Food Services, including: Traveler Accommodation; RV (Recreational Vehicle) Parks and Recreational Camps; Rooming and Boarding Houses, Dormitories, and Workers' Camps; Special Food Services; Drinking Places (Alcoholic Beverages); Restaurants and Other Eating Places"
"76","Business and professional associations"
"77","Labor, trade and other unions"
"78","Defense contractors"
"79","Technology, software and AI companies"
"81","Other Services (except Public Administration), including: Automotive Repair and Maintenance; Electronic and Precision Equipment Repair and Maintenance; Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance; Personal and Household Goods Repair and Maintenance; Personal Care Services; Death Care Services; Drycleaning and Laundry Services; Other Personal Services; Religious Organizations; Grantmaking and Giving Services; Social Advocacy Organizations; Civic and Social Organizations; Business, Professional, Labor, Political, and Similar Organizations; Private Households"
"88","Political Actions Committees (PACs), contributor committees and political action funds"
"90","Candidate committees"
"91","Political parties"
"92","Public Administration, including: Executive, Legislative, and Other General Government Support; Justice, Public Order, and Safety Activities; Administration of Human Resource Programs; Administration of Environmental Quality Programs; Administration of Housing Programs, Urban Planning, and Community Development; Administration of Economic Programs; Space Research and Technology; National Security and International Affairs"
"99","Retired, unemployed, or unknown"
