entity_name,canonical_name,entity_id,Contributor.ID,original_group_id,to_add_status,confirmed_link,flag,review_group_id,entity_status,city,n_contributions,conflicting_contributor_ids,confirmed,is_conflict,link_methods,total_amount,max_single_recipient,same_recipient_variant,state,zip,
CALIFORNIA FEDERATION OF TEACHERS (CFT) (UNITEMIZED MEMBER CONTRIBUTIONS),CALIFORNIA FEDERATION OF TEACHERS,fbf0d247-e846-45d4-8fbe-eb79e6cd0240,NA,org_rg_12,add to map,yes,,org_rg_12_a,adding_to_existing,Burbank,2,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,66.78,28600,TRUE,CA,91505,
CALIFORNIA FEDERATION OF TEACHERS (COPE) SMALL CONTRIBUTOR COMMITTEE,CALIFORNIA FEDERATION OF TEACHERS,fbf0d247-e846-45d4-8fbe-eb79e6cd0240,741857,org_rg_12,add to map,yes,,org_rg_12_a,adding_to_existing,Sacramento,1,TRUE,FALSE,FALSE,same_contributor_id,500,28600,FALSE,CA,95814,
CALIFORNIA FEDERATION OF TEACHERS COPE,CALIFORNIA FEDERATION OF TEACHERS,fbf0d247-e846-45d4-8fbe-eb79e6cd0240,741857,org_rg_12,in existing map,yes,,org_rg_12_a,adding_to_existing,Burbank | Sacramento | SACRAMENTO,13,TRUE,TRUE,FALSE,map1_bridge | same_contributor_id | same_contributor_id,205650,28600,FALSE,CA,91505-5008 | 95814 | 95814-1910,
CALIFORNIA FEDERATION OF TEACHERS COPE - SMALL CONTRIBUTOR COMMITTEE,CALIFORNIA FEDERATION OF TEACHERS,fbf0d247-e846-45d4-8fbe-eb79e6cd0240,741857,org_rg_12,add to map,yes,,org_rg_12_a,adding_to_existing,Burbank,6,TRUE,FALSE,FALSE,name_v5_cross | same_contributor_id | same_contributor_id,227500,28600,FALSE,CA,91505-5008,
CALIFORNIA FEDERATION OF TEACHERS COPE SCC,CALIFORNIA FEDERATION OF TEACHERS,fbf0d247-e846-45d4-8fbe-eb79e6cd0240,741857,org_rg_12,add to map,yes,,org_rg_12_a,adding_to_existing,Sacramento,1,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id,5000,28600,FALSE,CA,95814-1910,
CALIFORNIA FEDERATION OF TEACHERS COPE SMALL CONTRIBUTOR COMMITTEE,CALIFORNIA FEDERATION OF TEACHERS,fbf0d247-e846-45d4-8fbe-eb79e6cd0240,741857,org_rg_12,in existing map,yes,,org_rg_12_a,adding_to_existing,Sacramento,9,TRUE,TRUE,FALSE,map1_bridge | name_v5_cross | same_contributor_id | same_contributor_id,59600,28600,TRUE,CA,95814,
LOMPOC FEDERATION OF TEACHERS-LOCAL 3151 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS),NA,7b2b2420-d46a-4ca3-8f88-55e3ad2ecfa2,NA,org_rg_12,don't add,no,,org_rg_12_b,adding_to_existing,Santa Clara,3,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,994.5,28600,FALSE,CA,95050,
MENDOCINO COLLEGE FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS),MENDOCINO COLLEGE FEDERATION OF TEACHERS,dfc8adfe-56ff-44bb-adb6-08cc863ccef3,NA,org_rg_12,add to map,yes,,org_rg_12_c,adding_to_existing,Ukiah,13,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross,2823,28600,TRUE,CA,95482,
MENDOCINO COLLEGE FEDERATION OF TEACHERS (UNITEMIZED MEMBER DUES),MENDOCINO COLLEGE FEDERATION OF TEACHERS,dfc8adfe-56ff-44bb-adb6-08cc863ccef3,NA,org_rg_12,add to map,yes,,org_rg_12_c,adding_to_existing,Ukiah,10,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,3132.06,28600,TRUE,CA,95482,
PETALUMA FEDERATION OF TEACHERS COPE,NA,c42a61ec-6968-47f8-8fd1-45bf54e99499,1373632,org_rg_12,don't add,,,org_rg_12_d,adding_to_existing,Petaluma,1,TRUE,FALSE,FALSE,map1_bridge,9000,28600,TRUE,CA,94954,
WEST VALLEY-MISSION FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS),NA,6ba32e9d-d661-4c51-b2a9-05ad531d8dfc,NA,org_rg_12,don't add,,,org_rg_12_e,adding_to_existing,Burbank,12,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,13945.63,28600,TRUE,CA,91505,
YUBA COLLEGE FEDERATION OF TEACHERS (UNITEMIZED MEMBER CONTRIBUTIONS),NA,cb614789-8576-4b8b-8372-b1136fa8426b,NA,org_rg_12,don't add,,,org_rg_12_f,adding_to_existing,Burbank | Yuba City,6,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,5167.99,28600,TRUE,CA,91505 | 95991,
"BUILDING A STRONGER CALIFORNIA, SPONSORED BY WESTERN STATES REGIONAL COUNCIL OF CARPENTERS",BUILDING A STRONGER CALIFORNIA,0428d03d-492c-4428-8c34-8a72f7a25e58,870169,org_rg_156,add to map,yes,,org_rg_156_a,adding_to_existing,Los Angeles,1,TRUE,FALSE,FALSE,name_v5_cross | same_contributor_id,3000,324555.33,FALSE,CA,90071,
BUILDING A STRONGER WEST SPONSORED BY WESTERN STATES REGIONAL COUNCIL OF CARPENTERS,BUILDING A STRONGER CALIFORNIA,0428d03d-492c-4428-8c34-8a72f7a25e58,870169,org_rg_156,add to map,yes,,org_rg_156_a,adding_to_existing,Los Angeles,9,TRUE,FALSE,FALSE,name_v5_cross | same_contributor_id | same_contributor_id,186000,324555.33,FALSE,CA,90071,
"BUILDING A STRONGER WEST, SPONSORED BY WESTERN STATES REGIONAL COUNCIL OF CARPENTERS",BUILDING A STRONGER CALIFORNIA,0428d03d-492c-4428-8c34-8a72f7a25e58,870169,org_rg_156,add to map,yes,,org_rg_156_a,adding_to_existing,Los Angeles,7,TRUE,FALSE,FALSE,name_v5_cross | same_contributor_id | same_contributor_id,344000,324555.33,FALSE,CA,90071 | 90071-1712,
CALIFORNIA CONFERENCE OF CARPENTERS,NA,e1b161dd-9e63-41e2-a86d-0cccd990a8eb,NA,org_rg_156,don't add,no,,org_rg_156_b,new_entity,Oakland,18,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,16891.14,324555.33,TRUE,CA,94621,
NORTH COAST STATES REGIONAL COUNCIL OF CARPENTERS POWER PAC,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,1463224,org_rg_156,add to map,yes,mult pac ids per entity,org_rg_156_c,adding_to_existing,Oakland,1,TRUE,FALSE,FALSE,same_contributor_id,19600,324555.33,FALSE,CA,94621-1480,
NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL POWER PAC,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,1463224,org_rg_156,add to map,yes,mult pac ids per entity,org_rg_156_c,adding_to_existing,Sacramento,6,TRUE,FALSE,FALSE,same_contributor_id,75000,324555.33,TRUE,CA,95814 | 95814-2328,Think these are two different kinds of PAC associated w/ the same entity
NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL POWER PAC SMALL CONTRIBUTOR COMMITTEE,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,1463224,org_rg_156,add to map,yes,mult pac ids per entity,org_rg_156_c,adding_to_existing,Sacramento,6,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id | same_contributor_id,2800,324555.33,FALSE,CA,95814,
NORTH COAST STATES REGIONAL COUNCIL OF CARPENTERS SMALL CONTRIBUTOR COMMITTEE,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,972104,org_rg_156,add to map,yes,mult pac ids per entity,org_rg_156_c,adding_to_existing,Sacramento,1,TRUE,FALSE,FALSE,same_contributor_id,39200,324555.33,FALSE,CA,95814-0834,
NORTHERN CALIFORNA CARPENTERS REGIONAL COUNCIL,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,972104,org_rg_156,add to map,yes,mult pac ids per entity,org_rg_156_c,adding_to_existing,Oakland | Sacramento,3,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id | same_contributor_id,49200,324555.33,TRUE,CA,94621 | 95814,
NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL (INTERMEDIARY FOR UNITEMIZED UNION MEMBER CONTRIBUTIONS),NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,NA,org_rg_156,add to map,yes,mult pac ids per entity,org_rg_156_c,adding_to_existing,Oakland,12,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,307664.19,324555.33,TRUE,CA,94621,
NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL ISSUES PAC,NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL,9e62cbc2-f7d4-4056-b452-bbb52b5369ef,1219354,org_rg_156,add to map,yes,mult pac ids per entity,org_rg_156_c,adding_to_existing,Sacramento,1,TRUE,FALSE,FALSE,map1_bridge,2.00E+05,324555.33,FALSE,CA,95814-2328,
"LOCAL 770, UNITED FOOD AND COMMERCIAL WORKERS (UFCW) PAC SMALL CONTRIBUTOR COMMITTEE",UNITED FOOD & COMERCIAL WORKERS UNION LOCAL 770,d3883c6e-1639-447d-83e7-f9c3af84e128,921242,org_rg_19,add to map,yes,,org_rg_19_a,new_entity,Los Angeles,1,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id,2100,1.00E+05,FALSE,CA,90005,
UFCW LOCAL 770,UNITED FOOD & COMERCIAL WORKERS UNION LOCAL 770,d3883c6e-1639-447d-83e7-f9c3af84e128,NA,org_rg_19,add to map,yes,,org_rg_19_a,new_entity,LOS ANGELES,1,TRUE,FALSE,FALSE,map1_bridge,10000,1.00E+05,FALSE,CA,90005,
UNITED FOOD AND COMMERCIAL WORKERS LOCAL 770 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS),UNITED FOOD & COMERCIAL WORKERS UNION LOCAL 770,d3883c6e-1639-447d-83e7-f9c3af84e128,NA,org_rg_19,add to map,yes,,org_rg_19_a,new_entity,Los Angeles,18,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,7913.31,1.00E+05,FALSE,CA,90005,
UNITED FOOD & COMMERCIAL WORKERS LOCAL 5,UNITED FOOD & COMMERCIAL WORKERS LOCAL 5,3c690c22-7f19-48e5-8841-592aa152c9e9,NA,org_rg_19,add to map,yes,,org_rg_19_b,new_entity,San Jose,21,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,105232.75,1.00E+05,FALSE,CA,95113-,
UNITED FOOD & COMMERCIAL WORKERS (UFCW) LOCAL 5 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS),UNITED FOOD & COMMERCIAL WORKERS LOCAL 5,3c690c22-7f19-48e5-8841-592aa152c9e9,NA,org_rg_19,add to map,yes,,org_rg_19_b,new_entity,San Jose,18,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross,3903.38,1.00E+05,FALSE,CA,95113,
UFCW LOCAL 1428,NA,ab8bd512-ae2e-471d-9f8f-1c5a041b5cb9,NA,org_rg_19,don't add,no,,org_rg_19_c,new_entity,Claremont,10,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,1527.28,1.00E+05,TRUE,CA,91711-4812,
UFCW LOCAL 324,UNITED FOOD & COMMERCIAL WORKERS LOCAL 324,ad833ff4-efa3-48af-be56-7e812a8d127b,NA,org_rg_19,add to map,,,org_rg_19_d,new_entity,Buena Park,9,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,1397.28,1.00E+05,TRUE,CA,90620-3930,
UFCW LOCAL 99 PAC,NA,0168c2a5-0e7c-4cb4-9a7c-98316f7f9505,NA,org_rg_19,don't add,,,org_rg_19_e,new_entity,Phoenix,1,TRUE,FALSE,FALSE,map1_bridge,10000,1.00E+05,FALSE,AZ,85004-1331,
UFCW REGION 8 STATES COUNCIL,UNITED FOOD & COMMERCIAL WORKERS LOCAL 8,917fbf24-db1a-48ca-a0e6-4b95540c8724,NA,org_rg_19,uncertain,uncertain,,org_rg_19_f,new_entity,Buena Park,2,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,4900,1.00E+05,FALSE,CA,90620-3930,UFCW REGION 8 STATES COUNCIL now UCFW western states council? or is it UCFW 8 golden state?
UNITED FOOD & COMMERCIAL WORKERS UNION LOCAL 135,UNITED FOOD & COMMERCIAL WORKERS LOCAL 135,2e59b735-cca2-4245-b6a1-b00b1eee4b84,NA,org_rg_19,add to map,no,,org_rg_19_g,new_entity,San Diego,1,TRUE,FALSE,FALSE,map1_bridge,7000,1.00E+05,FALSE,CA,92108,
UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB (CALIFORNIA) (FED PAC ID# C00002766),UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION,786457e7-89c5-40dc-b6d4-b9918dbe1e1b,1247000,org_rg_19,add to map,yes,,org_rg_19_h,new_entity,Washington,3,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id | same_contributor_id,10200,1.00E+05,FALSE,DC,20006-1502,
UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB GENERAL FUND,UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION,786457e7-89c5-40dc-b6d4-b9918dbe1e1b,1247000,org_rg_19,add to map,yes,,org_rg_19_h,new_entity,Washington,1,TRUE,FALSE,FALSE,same_contributor_id,25000,1.00E+05,TRUE,DC,20006-1502,
UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,760be8fd-377b-40de-b79f-aebf55ca929f,910874,org_rg_19,add to map,yes,,org_rg_19_i,new_entity,Buena Park,1,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id,1500,1.00E+05,FALSE,CA,90620,
UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,760be8fd-377b-40de-b79f-aebf55ca929f,910874,org_rg_19,add to map,yes,,org_rg_19_i,new_entity,Buena Park,1,TRUE,FALSE,FALSE,same_contributor_id,2500,1.00E+05,FALSE,CA,90620,
UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATES PAC SMALL CONTRIBUTOR COMMITTEE,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,760be8fd-377b-40de-b79f-aebf55ca929f,910874,org_rg_19,add to map,yes,,org_rg_19_i,new_entity,Buena Park,8,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id | same_contributor_id,75000,1.00E+05,TRUE,CA,90620,
UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL PAC SMALL CONTRIBUTOR COMMITTEE,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,760be8fd-377b-40de-b79f-aebf55ca929f,910874,org_rg_19,add to map,yes,,org_rg_19_i,new_entity,Buena Park,1,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id,2500,1.00E+05,FALSE,CA,90620,
UNITED FOOD AND COMMERICAL WORKERS WESTERN STATES COUNCIL CANDIDATE PAC,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,760be8fd-377b-40de-b79f-aebf55ca929f,910874,org_rg_19,add to map,yes,,org_rg_19_i,new_entity,Buena Park,1,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id,2500,1.00E+05,FALSE,CA,90620,
UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL INDEPENDENT EXPENDITURE PAC,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,760be8fd-377b-40de-b79f-aebf55ca929f,1362802,org_rg_19,add to map,yes,,org_rg_19_i,new_entity,Buena Park,2,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,35000,1.00E+05,FALSE,CA,90620,
"LABORERS INT'L UNION OF NORTH AMERICA, LOCAL 777 (LIUNA! LOCAL 777)",NA,4e637343-2757-4bae-b31a-82d425b16788,NA,org_rg_22,,uncertain,more than one canonical name,org_rg_22_a,merge_conflict,Phoenix,3,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,456.24,85250,FALSE,AZ,85034-1105,
LABORERS LOCAL 1184 (INTERMEDIARY FOR UNITEMIZED DUES),NA,d67b3aed-6d95-44f1-9b8e-7bbdef03f1e8,NA,org_rg_22,don't add,,,org_rg_22_b,merge_conflict,Sacramento,15,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,1875,85250,TRUE,CA,95811,
LABORERS LOCAL 300 (INTERMEDIARY FOR UNITEMIZED DUES),LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL 300,a014938b-e708-4679-ba12-b259b2387b23,NA,org_rg_22,add to map,,,org_rg_22_c,merge_conflict,Los Angeles,15,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,1500,85250,TRUE,CA,90006,
LABORERS LOCAL 652,LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL 652,0ab1f59b-7a29-44e7-9157-e466c03a7230,1251912,org_rg_22,add to map,,,org_rg_22_d,merge_conflict,Santa Ana,1,TRUE,FALSE,FALSE,same_contributor_id,2500,85250,FALSE,CA,92701,
LABORERS LOCAL 89 (INTERMEDIARY FOR UNITEMIZED DUES),LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL 89,afd4c1fc-7914-4027-be63-1c0d91530150,NA,org_rg_22,add to map,yes,,org_rg_22_e,merge_conflict,San Diego,14,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,14000,85250,TRUE,CA,92105,
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA LOCAL 89 PAC FUND,LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL 89,afd4c1fc-7914-4027-be63-1c0d91530150,1316497,org_rg_22,add to map,yes,,org_rg_22_e,merge_conflict,San Diego,2,TRUE,FALSE,FALSE,name_v5_cross | same_contributor_id | same_contributor_id,45000,85250,TRUE,CA,92105,
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA-LOCAL 89 PAC FUND,LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL 89,afd4c1fc-7914-4027-be63-1c0d91530150,1316497,org_rg_22,add to map,yes,,org_rg_22_e,merge_conflict,San Diego,1,TRUE,FALSE,FALSE,map1_bridge | name_v5_cross | same_contributor_id,20000,85250,TRUE,CA,92105,
LABORERS LOCAL UNION NO. 783-PAC,NA,30885502-f8c4-4268-ad90-710bd8010515,981333,org_rg_22,don't add,no,,org_rg_22_f,merge_conflict,San Bernardino,1,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id,5000,85250,TRUE,CA,92408-2110,
PLUMBERS & STEAMFITTERS 467 PAC,UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 467,f86ea8a0-74a6-4a9e-979a-acc03ce785c2,782481,org_rg_22,add to map,yes,,org_rg_22_g,merge_conflict,Burlingame,1,TRUE,FALSE,FALSE,same_contributor_id,5000,85250,FALSE,CA,94010-2305,
PLUMBERS AND STEAMFITTERS LOCAL NO. 467 STATE PAC SMALL CONTRIBUTOR COMMITTEE,UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 467,f86ea8a0-74a6-4a9e-979a-acc03ce785c2,782481,org_rg_22,add to map,yes,,org_rg_22_g,merge_conflict,Burlingame,1,TRUE,FALSE,FALSE,same_contributor_id,1000,85250,FALSE,CA,94010,
PLUMBERS & STEAMFITTERS LOCAL 442,UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 442,9c05dd5e-2da1-4af0-b48b-55c7e515c150,871625,org_rg_22,add to map,no,,org_rg_22_h,merge_conflict,Modesto,2,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id | same_contributor_id,2000,85250,FALSE,CA,95356,
PLUMBERS & STEAMFITTERS LOCAL 761 PAC,UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 761,a6597290-3bd4-4ced-bf3f-342ab008791c,890466,org_rg_22,add to map,no,,org_rg_22_i,merge_conflict,Burbank,2,TRUE,FALSE,FALSE,same_contributor_id,2500,85250,FALSE,CA,91505,
PLUMBERS & STEAMFITTERS LOCAL UNION NO. 230 PAC,UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 230,78505438-f59f-4782-8b21-003fd23bbea1,891894,org_rg_22,add to map,no,,org_rg_22_j,merge_conflict,San Diego,5,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,20250,85250,TRUE,CA,92121,
PLUMBERS AND PIPEFITTERS LOCAL 364,UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 364,928c6a55-512a-4047-8d0b-78b6899fe5e4,NA,org_rg_22,add to map,yes,,org_rg_22_k,merge_conflict,Colton,21,TRUE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,3288.91,85250,FALSE,CA,92324,
PLUMBERS AND PIPEFITTERS LOCAL 364 PAC,UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 364,928c6a55-512a-4047-8d0b-78b6899fe5e4,1280902,org_rg_22,add to map,yes,,org_rg_22_k,merge_conflict,Colton,1,TRUE,FALSE,FALSE,same_contributor_id,20000,85250,TRUE,CA,92324-3236,
PLUMBERS AND STEAMFITTERS LOCAL 364 PAC,UNITED ASSOCIATION PLUMBERS & STEAMFITTERS LOCAL 364,928c6a55-512a-4047-8d0b-78b6899fe5e4,1280902,org_rg_22,add to map,yes,,org_rg_22_k,merge_conflict,Colton,1,TRUE,FALSE,FALSE,map1_bridge | same_contributor_id,1000,85250,FALSE,CA,92324-3236,
