entity_name,canonical_name,entity_id,Contributor.ID,review_group_id,to_add_status,confirmed_link,flag,entity_status,same_recipient_variant,city,conflicting_contributor_ids,confirmed,is_conflict,link_methods,n_contributions,total_amount,max_single_recipient,state,zip,
CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOC PAC,CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,87ec774e-605e-4528-83d6-60921b8b41c0,830349,org_rg_85,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,Sacramento,TRUE,TRUE,FALSE,name_v5_cross | same_contributor_id,1,1500,7400,CA,95814,
CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION (CCPOA) LOCAL POLITICAL ACTION COMMITTEE,CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,87ec774e-605e-4528-83d6-60921b8b41c0,960532,org_rg_85,in existing map,yes,mult pac ids per entity,adding_to_existing,TRUE,Sacramento,TRUE,TRUE,FALSE,map1_bridge | same_contributor_id | same_contributor_id,2,5900,7400,CA,95814,
CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION (CCPOA) POLITICAL ACTION COMMITTEE,CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,87ec774e-605e-4528-83d6-60921b8b41c0,830349,org_rg_85,in existing map,yes,mult pac ids per entity,adding_to_existing,FALSE,Sacramento,TRUE,TRUE,FALSE,map1_bridge | name_v4_cross | name_v5_cross | same_contributor_id | same_contributor_id,5,11800,7400,CA,95814,
CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION (INTERMEDIARY FOR MEMBERS UNDER $100),CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,87ec774e-605e-4528-83d6-60921b8b41c0,NA,org_rg_85,in existing map,yes,mult pac ids per entity,adding_to_existing,FALSE,West Sacramento,TRUE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross,18,2913863,7400,CA,95605-,
CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION (INTERMIDIARY FOR MEMBERS UNDER $100),CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,87ec774e-605e-4528-83d6-60921b8b41c0,NA,org_rg_85,add to map,yes,mult pac ids per entity,adding_to_existing,FALSE,Sacramento,TRUE,FALSE,FALSE,name_v4_cross | name_v5_cross,1,5.00E+05,7400,CA,95605-,
CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION LOCAL PAC,CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,87ec774e-605e-4528-83d6-60921b8b41c0,960532,org_rg_85,in existing map,yes,mult pac ids per entity,adding_to_existing,FALSE,Sacramento,TRUE,TRUE,FALSE,map1_bridge | same_contributor_id | same_contributor_id,2,350000,7400,CA,95814,
CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION PAC,CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,87ec774e-605e-4528-83d6-60921b8b41c0,830349,org_rg_85,in existing map,yes,mult pac ids per entity,adding_to_existing,FALSE,Sacramento,TRUE,TRUE,FALSE,map1_bridge | name_v5_cross | same_contributor_id | same_contributor_id,38,388900,7400,CA,95814 | 95814-3926 | 95814-3970,
CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION POLITICAL ACTION COMMITTEE,CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,87ec774e-605e-4528-83d6-60921b8b41c0,830349,org_rg_85,in existing map,yes,mult pac ids per entity,adding_to_existing,FALSE,Sacramento | SACRAMENTO,TRUE,TRUE,FALSE,name_v4_cross | name_v5_cross | same_contributor_id | same_contributor_id,4,17700,7400,CA,95814 | 95814-3970,
SEMPRA,SEMPRA ENERGY,d079c4a3-869d-479e-8088-9748f35874f2,NA,org_rg_95,in existing map,yes,,adding_to_existing,TRUE,San Diego | SAN DIEGO,TRUE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,44,310675,185400,CA,92101,
SEMPRA ENERGY,SEMPRA ENERGY,d079c4a3-869d-479e-8088-9748f35874f2,488235,org_rg_95,in existing map,yes,,adding_to_existing,TRUE,San Diego,TRUE,TRUE,FALSE,exact_name_v1,2,20000,185400,CA,92101,
SEMPRA ENERGY,SEMPRA ENERGY,d079c4a3-869d-479e-8088-9748f35874f2,NA,org_rg_95,in existing map,yes,,adding_to_existing,TRUE,Sacramento | San Diego,TRUE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross,27,184450,185400,CA,92101 | 92101-7123 | 95814,
SEMPRA ENERGY (RESTRICTED USE ACCOUNT),SEMPRA ENERGY,d079c4a3-869d-479e-8088-9748f35874f2,NA,org_rg_95,add to map,yes,,adding_to_existing,TRUE,San Diego,TRUE,FALSE,FALSE,name_v4_cross | name_v5_cross,1,200,185400,CA,92101,
SEMPRA ENERGY EMPLOYEES POLITICAL ACTION COMMITTEE - STATE COMMITTEE,SEMPRA ENERGY,d079c4a3-869d-479e-8088-9748f35874f2,842008,org_rg_95,in existing map,yes,,adding_to_existing,TRUE,San Diego,TRUE,TRUE,FALSE,same_contributor_id,4,36100,185400,CA,92101,
SEMPRA ENERGY EMPLOYEES STATE PAC,SEMPRA ENERGY,d079c4a3-869d-479e-8088-9748f35874f2,842008,org_rg_95,in existing map,yes,,adding_to_existing,TRUE,San Diego,TRUE,TRUE,FALSE,map1_bridge | same_contributor_id | same_contributor_id,2,2900,185400,CA,92101,
LABORER'S UNION LOCAL NO. 777 PAC,NA,70168044-9b63-402b-8214-d396b7c5a860,NA,org_rg_101_a,uncertain,no,more than one canonical name,adding_to_existing,TRUE,Riverside,FALSE,FALSE,FALSE,internal_fuzzy,1,20000,25000,CA,92501-3510,
LABORERS LOCAL UNION NO. 783-PAC,NA,213ef61c-72a4-4e40-bfc6-444e3c70016d,981333,org_rg_101_b,don't add,no,,adding_to_existing,TRUE,San Bernardino,FALSE,TRUE,FALSE,internal_fuzzy | map1_bridge,1,5000,25000,CA,92408-2110,
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA,NA,c6d1fbc8-a71e-4d01-9257-3071849e45ba,NA,org_rg_101_c,don't add,uncertain,,adding_to_existing,FALSE,Stockton,FALSE,TRUE,FALSE,internal_fuzzy+map1_bridge | map1_bridge,1,5000,25000,CA,95215,seems like this is a local chapter thats missing a unit but hard to know what it should be; only one contribution under this name to RANSOM FOR ASSEMBLY 2026
"BAY CITIES PAVING & GRADING, INC.",BAY CITIES PAVING & GRADING,1622c48a-b029-4f34-87fd-1f7395f06908,NA,org_rg_1155,add to map,yes,,new_entity,TRUE,Concord,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,4,19600,21607,CA,94520,
"BAY CITIES PAVING & GRADING, INC. (RESTRICTED USE ACCOUNT)",BAY CITIES PAVING & GRADING,1622c48a-b029-4f34-87fd-1f7395f06908,NA,org_rg_1155,add to map,yes,,new_entity,TRUE,Concord,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,2007,21607,CA,94520,
BLACH CONSTRUCTION COMPANY,BLACH CONSTRUCTION,3077a74e-6336-4d7c-abd4-7d1e38527d97,NA,org_rg_1304,add to map,yes,,new_entity,TRUE,San Jose,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,4,8318.7,8318.7,CA,95131,
BLACH CONSTRUCTION COMPANY (RUA),BLACH CONSTRUCTION,3077a74e-6336-4d7c-abd4-7d1e38527d97,NA,org_rg_1304,add to map,yes,,new_entity,TRUE,San Jose,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,0,8318.7,CA,95131,
BLUE SHIELD OF CALIFORNIA,BLUE SHEILD OF CALIFORNIA,4234d4ef-263c-4213-a1da-eaf2f1a71b3d,NA,org_rg_1322,uncertain,yes,more than one canonical name,adding_to_existing,TRUE,Oakland | OAKLAND,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,28,264200,20800,CA,94607 | 94607-3613 | 94607-3885,uncertain because not sure what to do with elevance
BLUE SHIELD OF CALIFORNIA (RUA),NA,4234d4ef-263c-4213-a1da-eaf2f1a71b3d,NA,org_rg_1322,uncertain,yes,more than one canonical name,adding_to_existing,TRUE,Oakland,FALSE,FALSE,FALSE,name_v4_cross | name_v5_cross,1,1900,20800,CA,94607,
CALAVERAS TELEPHONE COMPANY,CALAVERAS TELEPHONE COMPANY,dd9665d8-72bf-4b8a-8b71-ffa07ea5244f,NA,org_rg_1539,add to map,yes,,new_entity,TRUE,Copperopolis,FALSE,FALSE,FALSE,name_v4_cross | name_v5_cross,1,9800,10825,CA,95228,
CALAVERAS TELEPHONE COMPANY (RESTRICTED USE ACCOUNT),CALAVERAS TELEPHONE COMPANY,dd9665d8-72bf-4b8a-8b71-ffa07ea5244f,NA,org_rg_1539,add to map,yes,,new_entity,TRUE,Copperopolis,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,1025,10825,CA,95228,
CALIFORNIA BEER & BEVERAGE DISTRIBUTORS (ADMIN),CA BEER & BEVERAGE DISTRIBUTORS COMMUNITY AFFAIRS,9318f945-664b-4df0-aead-a30844f36c4a,NA,org_rg_1568,uncertain,yes,more than one canonical name,new_entity,FALSE,Sacramento,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,18,3192.25,14100.03,CA,95814,"don't think this current canonical name is a good fit, would like to update or i guess keep separate? "
CALIFORNIA BEER AND BEVERAGE DISTRIBUTORS,CA BEER & BEVERAGE DISTRIBUTORS COMMUNITY AFFAIRS,9318f945-664b-4df0-aead-a30844f36c4a,NA,org_rg_1568,uncertain,yes,more than one canonical name,new_entity,TRUE,Sacramento,FALSE,FALSE,FALSE,name_v4_cross | name_v5_cross,1,9800,14100.03,CA,95814,
CALIFORNIA BEER AND BEVERAGE DISTRIBUTORS (ADMIN),CA BEER & BEVERAGE DISTRIBUTORS COMMUNITY AFFAIRS,9318f945-664b-4df0-aead-a30844f36c4a,NA,org_rg_1568,uncertain,yes,more than one canonical name,new_entity,TRUE,Sacramento,FALSE,FALSE,FALSE,exact_name_v1,17,4300.03,14100.03,CA,95814,
CALIFORNIA DAIRIES INC.,CALIFORNIA DAIRIES,2bc3ce7c-1816-4dd3-8c60-cbf8016b54e9,NA,org_rg_1584,add to map,yes,,adding_to_existing,FALSE,Visalia,FALSE,FALSE,FALSE,name_v5_cross,1,1500,1824000,CA,93291,
"CALIFORNIA DAIRIES, INC",CALIFORNIA DAIRIES,2bc3ce7c-1816-4dd3-8c60-cbf8016b54e9,NA,org_rg_1584,in existing map,yes,,adding_to_existing,FALSE,Visalia,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,4,44200,1824000,CA,93291 | 93291-9358,
"CALIFORNIA DAIRIES, INC.",CALIFORNIA DAIRIES,2bc3ce7c-1816-4dd3-8c60-cbf8016b54e9,NA,org_rg_1584,in existing map,yes,,adding_to_existing,TRUE,Visalia,FALSE,TRUE,FALSE,exact_name_v1,14,341256.97,1824000,CA,93291,
"CALIFORNIA DAIRIES, INC. (RESTRICTED USE ACCOUNT)",CALIFORNIA DAIRIES,2bc3ce7c-1816-4dd3-8c60-cbf8016b54e9,NA,org_rg_1584,add to map,yes,,adding_to_existing,TRUE,Visalia,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,1494400,1824000,CA,93291,
"CALIFORNIA ENGINEERING CONTRACTORS, INC.","CALIFORNIA ENGINEERING CONTRACTORS, INC",9ff7fe7b-b74c-40b8-9c7a-af5f344eb018,NA,org_rg_1588,add to map,yes,,new_entity,TRUE,Pleasanton,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,4,19468,20395,CA,94566,
"CALIFORNIA ENGINEERING CONTRACTORS, INC. (RESTRICTED USE ACCOUNT)","CALIFORNIA ENGINEERING CONTRACTORS, INC",9ff7fe7b-b74c-40b8-9c7a-af5f344eb018,NA,org_rg_1588,add to map,yes,more than one canonical name,new_entity,TRUE,Pleasanton,FALSE,FALSE,FALSE,name_v4_cross | name_v5_cross,1,927,20395,CA,94566,
CALIFORNIA RESOURCE CORPORATION,CALIFORNIA RESOURCES CORPORATION,77c1301d-f478-4d0f-aa89-26b964a1fa2e,NA,org_rg_1614,in existing map,yes,more than one canonical name,merge_conflict,FALSE,Sacramento,FALSE,TRUE,FALSE,map1_bridge,1,5900,30000,CA,95814,
CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,77c1301d-f478-4d0f-aa89-26b964a1fa2e,NA,org_rg_1614,in existing map,yes,more than one canonical name,merge_conflict,FALSE,Sacramento,FALSE,TRUE,FALSE,name_v5_cross,1,5900,30000,CA,95814,
"CALIFORNIA RESOURCES CORPORATION (CRC) SERVICES, LLC",CALIFORNIA RESOURCES CORPORATION,77c1301d-f478-4d0f-aa89-26b964a1fa2e,NA,org_rg_1614,in existing map,yes,more than one canonical name,merge_conflict,FALSE,Long Beach,FALSE,TRUE,FALSE,name_v4_cross | name_v5_cross,1,5900,30000,CA,90831,
CALIFORNIA RESOURCES CORPORATION AND SUBSIDIARIES,CALIFORNIA RESOURCES CORPORATION,77c1301d-f478-4d0f-aa89-26b964a1fa2e,NA,org_rg_1614,in existing map,yes,more than one canonical name,merge_conflict,FALSE,San Francisco,FALSE,TRUE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,8888,30000,CA,94105,
CALIFORNIA RESOURCES CORPORATION AND SUBSIDIARIES(CLIO C. CRESPY),CALIFORNIA RESOURCES CORPORATION,77c1301d-f478-4d0f-aa89-26b964a1fa2e,NA,org_rg_1614,in existing map,yes,more than one canonical name,merge_conflict,FALSE,Long Beach,FALSE,TRUE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,5900,30000,CA,90831,
CALIFORNIA RESOURCES CORPORATION AND SUBSIDIARIES(JAS SAJJAN),CALIFORNIA RESOURCES CORPORATION,77c1301d-f478-4d0f-aa89-26b964a1fa2e,NA,org_rg_1614,add to map,yes,more than one canonical name,merge_conflict,TRUE,Long Beach,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,15000,30000,CA,90831,
CALIFORNIA RESOURCES CORPORATION AND SUBSIDIARIES(MATTHEW ALVAREZ),CALIFORNIA RESOURCES CORPORATION,77c1301d-f478-4d0f-aa89-26b964a1fa2e,NA,org_rg_1614,in existing map,yes,more than one canonical name,merge_conflict,TRUE,Long Beach,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross,5,70900,30000,CA,90831,
"CALIFORNIA RESOURCES CORPORATION SERVICES (CRC), LLC",CALIFORNIA RESOURCES CORPORATION,77c1301d-f478-4d0f-aa89-26b964a1fa2e,NA,org_rg_1614,in existing map,yes,more than one canonical name,merge_conflict,FALSE,Long Beach,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross,2,11800,30000,CA,90831,
"CRC SERVICES, LLC(LEON J. FRANCISCO)",CALIFORNIA RESOURCES CORPORATION,ed5eb213-6b34-4f9a-94c7-c81bf213dcf4,NA,org_rg_1614,in existing map,yes,more than one canonical name,merge_conflict,FALSE,Long Beach,FALSE,TRUE,TRUE,exact_name_v4 | map1_bridge | name_v4_cross | name_v5_cross,1,2000,30000,CA,90831,
"CRC SERVICES, LLC(MARIA SPERBER)",CALIFORNIA RESOURCES CORPORATION,ed5eb213-6b34-4f9a-94c7-c81bf213dcf4,NA,org_rg_1614,in existing map,yes,more than one canonical name,merge_conflict,FALSE,Long Beach,FALSE,TRUE,TRUE,exact_name_v4 | name_v4_cross | name_v5_cross,1,9800,30000,CA,90831,
CEMEX,CEMEX,b47f15a4-9526-4302-8117-9cf6c16a409d,NA,org_rg_1773,in existing map,yes,,adding_to_existing,TRUE,Folsom | Friant | West Palm Beach,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v5_cross,3,8672.08,6000,CA | FL,33401 | 93626 | 95630,why does DD separate cemex inc and cemex materials? looks like its a subsidiary of cemex. but dd still groups cemex inc and cemex materical under both org concepts
CEMEX MATERIALS LLC,CEMEX,b47f15a4-9526-4302-8117-9cf6c16a409d,NA,org_rg_1773,in existing map,yes,,adding_to_existing,FALSE,West Palm Beach,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross,2,7400,6000,FL,33401,
CEMEX MATERIALS LLC(DEBORAH WELLS),CEMEX,b47f15a4-9526-4302-8117-9cf6c16a409d,NA,org_rg_1773,add to map,yes,,adding_to_existing,FALSE,West Palm Beach,FALSE,FALSE,FALSE,name_v4_cross | name_v5_cross,1,1000,6000,FL,33401,
"CEMEX MATERIALS, LLC",CEMEX,b47f15a4-9526-4302-8117-9cf6c16a409d,NA,org_rg_1773,add to map,yes,,adding_to_existing,FALSE,West Palm Beach,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v5_cross,3,12300,6000,FL,33401,
"CEMEX, INC.",CEMEX,b47f15a4-9526-4302-8117-9cf6c16a409d,NA,org_rg_1773,add to map,yes,,adding_to_existing,TRUE,El Dorado Hills,FALSE,FALSE,FALSE,name_v5_cross,1,5000,6000,CA,95762,
"CEMEX, INC. AND AFFILIATED ENTITIES(JOEL GALASSINI)",CEMEX,b47f15a4-9526-4302-8117-9cf6c16a409d,NA,org_rg_1773,add to map,yes,,adding_to_existing,FALSE,West Palm Beach,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v5_cross,2,11800,6000,FL,33401,
CENTENE AND ITS AFFILIATE HEALTH NET,NA,7f5efb5c-59dc-4187-96b2-a7dfaf081822,491212,org_rg_1776,,,more than one canonical name,adding_to_existing,TRUE,Sacramento,FALSE,FALSE,FALSE,exact_name_v1,3,29400,21500,CA,95814,
CENTENE AND ITS AFFILIATE HEALTH NET,NA,7f5efb5c-59dc-4187-96b2-a7dfaf081822,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,TRUE,Sacramento | SACRAMENTO | St. Louis,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,8,34400,21500,CA | MO,63105 | 95814,
CENTENE AND ITS AFFILIATE HEALTH NET (ALLISON BARNETT),NA,7f5efb5c-59dc-4187-96b2-a7dfaf081822,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,FALSE,Sacramento,FALSE,FALSE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,2500,21500,CA,95814-3765,
"CENTENE AND ITS AFFILIATE HEALTH NET COMMUNITY SOLUTIONS, INC.",NA,168a16d9-ade2-42e3-89d1-ebd733b25837,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,TRUE,Sacramento,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,2,11700,21500,CA,95814,
CENTENE AND ITS AFFILIATE HEALTH NET( ),NA,7f5efb5c-59dc-4187-96b2-a7dfaf081822,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,FALSE,Sacramento,FALSE,FALSE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,2000,21500,CA,95814,
CENTENE AND ITS AFFILIATE HEALTH NET(ALISSA KO),NA,7f5efb5c-59dc-4187-96b2-a7dfaf081822,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,TRUE,Sacramento,FALSE,FALSE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,1500,21500,CA,95814,
CENTENE AND ITS AFFILIATE HEALTH NET(ALLISSA KO),NA,7f5efb5c-59dc-4187-96b2-a7dfaf081822,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,FALSE,Sacramento,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross,2,20000,21500,CA,95814,
CENTENE AND ITS AFFILIATE HEALTH NET(KATIE PHILLIPS),NA,7f5efb5c-59dc-4187-96b2-a7dfaf081822,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,FALSE,Sacramento,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,3,30000,21500,CA,95814,
CENTENE AND ITS AFFLIATE HEALTH NET,NA,992a2d69-4f89-49bf-9d24-4d548c720e6c,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,FALSE,Sacramento,FALSE,FALSE,FALSE,map1_bridge,1,1500,21500,CA,95814,
CENTENE CORPORATION,NA,e6d11330-8de0-47c1-b80b-96863550d6d9,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,TRUE,St Louis,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,2,3000,21500,MO,63105,
CENTENE MANAGEMENT COMPANY LLC,CENTENE MANAGEMENT COMPANY,d031e75f-9f2a-48da-8a9e-585b1423c3d8,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,TRUE,St Louis,FALSE,TRUE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,1500,21500,MO,63105,
CENTENE MANAGEMENT COMPANY LLC (KATIE PHILLIPS),NA,d031e75f-9f2a-48da-8a9e-585b1423c3d8,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,FALSE,Sacramento,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross,2,78400,21500,CA,95814-3765,
CENTENE MANAGEMENT COMPANY LLC (RESTRICTED USE ACCOUNT)(JAMES ADAMS),NA,d031e75f-9f2a-48da-8a9e-585b1423c3d8,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,TRUE,Saint Louis,FALSE,FALSE,FALSE,exact_name_v4 | name_v4_cross | name_v5_cross,1,10200,21500,MO,63105,
CENTENE MANAGEMENT COMPANY LLC(JAMES ADAMS),NA,d031e75f-9f2a-48da-8a9e-585b1423c3d8,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,TRUE,Saint Louis,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,19600,21500,MO,63105,
"CENTENE MANAGEMENT COMPANY, LLC AND ITS AFFILIATE HEALTH NET",CENTENE MANAGEMENT COMPANY,d031e75f-9f2a-48da-8a9e-585b1423c3d8,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,TRUE,Saint Louis | St. Louis,FALSE,TRUE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,13,25300,21500,MO,63105,
"CENTENE MANAGEMENT, LLC",NA,d031e75f-9f2a-48da-8a9e-585b1423c3d8,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,FALSE,Saint Louis,FALSE,FALSE,FALSE,name_v5_cross,1,1500,21500,MO,63105-1807,
HEALTH NET,NA,1eb3e4fc-7494-4357-914f-8de98a9f1bcd,NA,org_rg_1776,,,more than one canonical name,adding_to_existing,TRUE,Glendale | Sacramento,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | map1_bridge,3,1900,21500,CA,91203 | 95814,
COAST CENTRAL CREDIT UNION,COAST CENTRAL CREDIT UNION,3dd9cc54-471a-435c-994d-e4d879a13570,NA,org_rg_1947,name is already canonical,yes,,new_entity,TRUE,Eureka,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,19600,40000,CA,95501,
COAST CENTRAL CREDIT UNION (INDEPENDENT EXPENDITURE),COAST CENTRAL CREDIT UNION,3dd9cc54-471a-435c-994d-e4d879a13570,NA,org_rg_1947,add to map,yes,,new_entity,TRUE,Eureka,FALSE,FALSE,FALSE,exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross,2,20400,40000,CA,95501,
