entity_name,Contributor.ID,review_group_id,canonical_name,to_add_status,confirmed_link,entity_id,flag,entity_status,confirmed,conflicting_contributor_ids,is_conflict,n_contributions,link_methods,total_amount,max_single_recipient,city,state,zip,notes
SOUTHERN CA DISTRICT COUNCIL OF LABORERS PAC,1358150,org_rg_116_c,SOUTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS,add to map,yes,1411eff6-0fa8-40b1-9efe-429c7edf667a,,merge_conflict,FALSE,TRUE,FALSE,1,map1_bridge | same_contributor_id,5900,196000,Long Beach,CA,90802,
LOCAL 770 UNITED FOOD AND COMMERCIAL WORKERS PAC,921242,org_rg_117_a,UNITED FOOD & COMERCIAL WORKERS UNION LOCAL 770,add to map,no,d3883c6e-1639-447d-83e7-f9c3af84e128,,adding_to_existing,FALSE,TRUE,FALSE,2,exact_name_v1 | exact_name_v1 | map1_bridge,78400,156800,Los Angeles,CA,90005-1303,
UFCW 8 GOLDEN STATE (INTERMEDIARY FOR UNITEMIZED MEMBER DUES),NA,org_rg_117_b,UNITED FOOD & COMMERCIAL WORKERS LOCAL 8,add to map,yes,571ed5bc-3850-4a67-a267-d03519a6729d,,adding_to_existing,FALSE,TRUE,FALSE,18,exact_name_v1 | exact_name_v1 | map1_bridge,48614.4,156800,Roseville | Washington,CA | DC,20265 | 95661,
UNITED FOOD AND COMMERCIAL WORKERS 8 GOLDEN STATE,NA,org_rg_117_b,UNITED FOOD & COMMERCIAL WORKERS LOCAL 8,add to map,yes,571ed5bc-3850-4a67-a267-d03519a6729d,,adding_to_existing,FALSE,TRUE,FALSE,19,exact_name_v1 | exact_name_v1 | map1_bridge,11744.78,156800,Roseville,CA,95661,
UNITED FOOD AND COMMERCIAL WORKERS 8 GOLDEN STATE PAC,950663,org_rg_117_b,UNITED FOOD & COMMERCIAL WORKERS LOCAL 8,add to map,yes,571ed5bc-3850-4a67-a267-d03519a6729d,,adding_to_existing,FALSE,TRUE,FALSE,2,exact_name_v1 | exact_name_v1 | map1_bridge,30000,156800,Roseville,CA,95610,
UNITED FOOD AND COMMERCIAL WORKERS ACTIVE BALLOT CLUB (CALIFORNIA) (FED PAC ID# C00002766),1247000,org_rg_117_c,UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION,add to map,yes,786457e7-89c5-40dc-b6d4-b9918dbe1e1b,,adding_to_existing,FALSE,TRUE,FALSE,2,exact_name_v1 | exact_name_v1 | map1_bridge,39200,156800,Washington,DC,20006-1502,
UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION,NA,org_rg_117_c,UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION,add to map,yes,786457e7-89c5-40dc-b6d4-b9918dbe1e1b,,new_entity,FALSE,TRUE,FALSE,19,exact_name_v1 | exact_name_v1 | map1_bridge,20414.98,156800,Washington,DC,20006,
"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION, AFL-CIO, CLC",NA,org_rg_117_c,UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION,add to map,yes,786457e7-89c5-40dc-b6d4-b9918dbe1e1b,,new_entity,FALSE,TRUE,FALSE,1,map1_bridge,5500,156800,Washington,DC,20006,"Confused whether AFL-CIO makes it different, somtimes separate in name queue?"
UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE PAC,910874,org_rg_117_e,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,add to map,yes,760be8fd-377b-40de-b79f-aebf55ca929f,,adding_to_existing,FALSE,TRUE,FALSE,12,map1_bridge | same_contributor_id | same_contributor_id,42900,156800,Buena Park | BUENA PARK,CA,90620 | 90620-3930,
FOREMEN'S UNION LOCAL 94 POLITICAL ACTION FUND,1349650,org_rg_147_a,INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94,add to map,yes,2b6a60ae-177d-4603-9f64-1cd14b01ba6d,,adding_to_existing,FALSE,TRUE,FALSE,2,same_contributor_id,2000,693059.4,Long Beach,CA,90802,
I.L.W.U. LOCAL 13 POLITICAL ACTION COMMITTEE FUND,1386983,org_rg_147_b,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,add to map,yes,5c2e5ffa-51f7-4403-add6-53731c400a64,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge,5500,693059.4,San Pedro,CA,90731,This contributor id belongs to a 'lobbyist client' -> not sure what to do with that
ILWU LOCAL 13,NA,org_rg_147_b,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,add to map,yes,5c2e5ffa-51f7-4403-add6-53731c400a64,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge,6000,693059.4,San Pedro,CA,90731,
INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13 PAC,1226530,org_rg_147_b,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,add to map,yes,5c2e5ffa-51f7-4403-add6-53731c400a64,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,6300,693059.4,San Pedro,CA,90731,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION (I.L.W.U.) LOCAL 13 PAC,1226530,org_rg_147_b,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,add to map,yes,5c2e5ffa-51f7-4403-add6-53731c400a64,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,5000,693059.4,San Pedro,CA,90731,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13,NA,org_rg_147_b,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,add to map,yes,5c2e5ffa-51f7-4403-add6-53731c400a64,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,18,exact_name_v1 | exact_name_v1 | map1_bridge,693059.4,693059.4,San Pedro,CA,90731,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC FUND,1226530,org_rg_147_b,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,add to map,yes,5c2e5ffa-51f7-4403-add6-53731c400a64,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,39200,693059.4,Wilmington,CA,90744-5711,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S LOCAL 94 (ADMIN),NA,org_rg_147_c,INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94,add to map,no,2b6a60ae-177d-4603-9f64-1cd14b01ba6d,,adding_to_existing,FALSE,TRUE,FALSE,17,exact_name_v1 | exact_name_v1 | map1_bridge,5100,693059.4,Long Beach,CA,90802,
"INTERNATIONAL LONGSHORE & WAREHOUSE UNION, LOCAL 63",NA,org_rg_147_e,MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63,add to map,yes,b7b2065e-b860-43d3-b082-d9c7cda36118,,adding_to_existing,FALSE,TRUE,FALSE,15,exact_name_v1 | exact_name_v1 | map1_bridge,84135,693059.4,San Pedro,Ca | CA,90731,same as marine clerks ILWU?
MARINE CLERKS ILWU LOCAL 63 PAC SMALL CONTRIBUTOR COMMITTEE,1223277,org_rg_147_e,MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63,add to map,yes,b7b2065e-b860-43d3-b082-d9c7cda36118,,adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,1000,693059.4,San Pedro,CA,90731,
MARINE CLERKS PAC LOCAL 63 ILWU,NA,org_rg_147_e,MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63,add to map,yes,b7b2065e-b860-43d3-b082-d9c7cda36118,,adding_to_existing,FALSE,TRUE,FALSE,2,exact_name_v1 | exact_name_v1 | map1_bridge,1500,693059.4,San Pedro,CA,90731,
MARINE CLERKS POLITICAL ACTION COMMITTEE LOCAL 63 ILWU,1223277,org_rg_147_e,MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63,add to map,yes,b7b2065e-b860-43d3-b082-d9c7cda36118,,adding_to_existing,FALSE,TRUE,FALSE,2,same_contributor_id,1500,693059.4,San Pedro,CA,90731,
IBEW 302 PAC,840975,org_rg_15_a,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 302,add to map,no,7982f64f-ea81-40ec-b7f5-8ead39c41868,,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge,2500,369287.9,Martinez,CA,94553,
IBEW LOCAL 332,NA,org_rg_15_b,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 332,add to map,yes,a4aa5814-a7ab-42f6-b316-08e6c1d48095,,adding_to_existing,FALSE,TRUE,FALSE,18,exact_name_v1 | exact_name_v1 | map1_bridge,369287.9,369287.9,SAN JOSE,CA,95125,
IBEW LOCAL 1245 POLITICAL ACTION COMMITTEE,742993,org_rg_15_c,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 1245,add to map,yes,71da9155-d8e9-41d7-bb87-126e9b89cd2d,,adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,15000,369287.9,Vacaville,CA,95696-2547,
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS (IBEW) LOCAL UNION 1245 PAC,742993,org_rg_15_c,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 1245,add to map,yes,71da9155-d8e9-41d7-bb87-126e9b89cd2d,,adding_to_existing,FALSE,TRUE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,10000,369287.9,Vacaville,CA,95687,
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS (IBEW) LOCAL UNION 1245 SMALL CONTRIBUTOR COMMITTEE,742993,org_rg_15_c,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 1245,add to map,yes,71da9155-d8e9-41d7-bb87-126e9b89cd2d,,adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,3000,369287.9,Vacaville,CA,95687,
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL UNION 1245,NA,org_rg_15_c,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 1245,add to map,yes,71da9155-d8e9-41d7-bb87-126e9b89cd2d,,adding_to_existing,FALSE,TRUE,FALSE,2,exact_name_v1 | exact_name_v1 | map1_bridge,12500,369287.9,Vacaville,CA,95687,
IBEW LOCAL 18,NA,org_rg_15_d,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 18,add to map,yes,56eca98c-74f0-4335-acb0-3110d5d1df61,,adding_to_existing,FALSE,TRUE,FALSE,14,exact_name_v1 | exact_name_v1 | map1_bridge,16410.4,369287.9,Los Angeles,CA,90004-4340,
INTERNATIONAL BROTHERHOOD OF ELECTRICA WORKES LOCAL 569,1342714,org_rg_15_h,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 569,add to map,no,4c517878-0920-42eb-a8d8-740dd6bad18b,,adding_to_existing,FALSE,TRUE,FALSE,1,internal_fuzzy,9800,369287.9,Long Beach,CA,90802,
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS AFFILIATED WITH A.F.L.-C.I.O. PAC LOCAL UNION NO. 11,822725,org_rg_15_i,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 11,add to map,yes,abe62467-94cf-4b01-a3ce-779164eaf832,,adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,5000,369287.9,Pasadena,CA,91101,
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL NO.11 POLITICAL ACTION COMMITTEE,822725,org_rg_15_i,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 11,add to map,yes,abe62467-94cf-4b01-a3ce-779164eaf832,,adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,5000,369287.9,PASADENA,CA,91101,
"LOCAL UNION 11, INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS",NA,org_rg_15_i,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 11,add to map,yes,abe62467-94cf-4b01-a3ce-779164eaf832,,adding_to_existing,FALSE,TRUE,FALSE,1,internal_fuzzy,5000,369287.9,Pasadena,CA,91101,
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL UNION NO. 100,NA,org_rg_15_k,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 100,add to map,no,85908829-c498-4462-93c1-ff53f652f0ad,,adding_to_existing,FALSE,TRUE,FALSE,1,internal_fuzzy | map1_bridge,1442.26,369287.9,Fresno,CA,93727-,
CALIFORNIA APPLICANTS' ATTORNEYS ASSOCIATION,NA,org_rg_1571,CALIFORNIA APPLICANTS ATTORNEYS ASSOCIATION,add to map,yes,054b2e09-2483-4d05-a73d-cef4cd89a7cf,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,18,exact_name_v1 | exact_name_v1 | map1_bridge,20916.15,39200,Sacramento,CA,95814,
CALIFORNIA APPLICANTS' ATTORNEYS ASSOCIATION SCC,1233793,org_rg_1571,CALIFORNIA APPLICANTS ATTORNEYS ASSOCIATION,add to map,yes,054b2e09-2483-4d05-a73d-cef4cd89a7cf,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge,1600,39200,Sacramento,CA,95815,
OPERATING ENGINEERS LOCAL UNION NO. 12 POLITICAL FUND SMALL CONTRIBUTOR COMMITTEE,743030,org_rg_16_b,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 12,add to map,yes,8e628086-3eeb-46ed-94a1-4fc5184d2ca6,,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge | same_contributor_id,3000,133456.73,Pasadena,CA,91103,
INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL UNION NO. 3 (INTERMEDIARY FOR UNITEMIZED MEMBER CONTRIBUTIONS),NA,org_rg_16_c,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 3,add to map,yes,770a4c69-ac91-473c-a6e1-e54b8c871922,,adding_to_existing,FALSE,TRUE,FALSE,26,exact_name_v1 | exact_name_v1 | map1_bridge,110200,133456.73,Concord,CA,94519,
OPERATING ENGINEERS 3 STATEWIDE PAC SMALL CONTRIBUTOR COMMITTEE,981697,org_rg_16_c,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 3,add to map,yes,770a4c69-ac91-473c-a6e1-e54b8c871922,,adding_to_existing,FALSE,TRUE,FALSE,3,same_contributor_id,17300,133456.73,Concord,CA,94519,
OPERATING ENGINEERS LOCAL UNION 3 STATEWIDE PAC SMALL CONTRIBUTOR COMMITTEE,981697,org_rg_16_c,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 3,add to map,yes,770a4c69-ac91-473c-a6e1-e54b8c871922,,adding_to_existing,FALSE,TRUE,FALSE,3,map1_bridge | same_contributor_id | same_contributor_id,30500,133456.73,Concord,CA,94519,
CALIFORNIA CHARTER SCHOOLS ASSOCIATION ADVOCATES,NA,org_rg_173_a,CALIFORNIA CHARTER SCHOOLS ASSOCIATION ADVOCATES,add to map,yes,fc910826-b2f3-41b6-8cfd-e037be02f429,,new_entity,FALSE,TRUE,FALSE,20,exact_name_v1 | exact_name_v1 | map1_bridge,39522.96,250000,Sacramento | SACRAMENTO,CA,95814,
CCSA ADVOCATES FOR GREAT PUBLIC SCHOOLS,1392154,org_rg_173_a,CALIFORNIA CHARTER SCHOOLS ASSOCIATION ADVOCATES,add to map,yes,fc910826-b2f3-41b6-8cfd-e037be02f429,,new_entity,FALSE,TRUE,FALSE,4,exact_name_v1 | exact_name_v1 | map1_bridge,10500,250000,San Rafael,CA,94901 | 94901-5594,
"CHARTER PUBLIC SCHOOL PAC, SPONSORED BY CALIFORNIA CHARTER SCHOOLS ASSOCIATION ADVOCATES",1302433,org_rg_173_b,CHARTER PUBLIC SCHOOLS PAC,add to map,yes,9f5c7a87-9ae5-45f8-ac43-90dd8fcf9665,,new_entity,FALSE,TRUE,FALSE,1,same_contributor_id,1500,250000,Sacramento,CA,95814,
CHARTER PUBLIC SCHOOLS PAC,1302433,org_rg_173_b,CHARTER PUBLIC SCHOOLS PAC,add to map,yes,9f5c7a87-9ae5-45f8-ac43-90dd8fcf9665,,new_entity,FALSE,TRUE,FALSE,6,same_contributor_id,63000,250000,Sacramento,CA,95814,
"CHARTER PUBLIC SCHOOLS PAC, SPONSORED BY CALIFORNIA CHARTER SCHOOLS ASSOCIATION ADVOCATES",1302433,org_rg_173_b,CHARTER PUBLIC SCHOOLS PAC,add to map,yes,9f5c7a87-9ae5-45f8-ac43-90dd8fcf9665,,new_entity,FALSE,TRUE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,1600,250000,Sacramento,CA,95814,
CHARTER PUBLIC SCHOOLS POLITICAL ACTION COMMITTEE,1302433,org_rg_173_b,CHARTER PUBLIC SCHOOLS PAC,add to map,yes,9f5c7a87-9ae5-45f8-ac43-90dd8fcf9665,,new_entity,FALSE,TRUE,FALSE,1,same_contributor_id,250000,250000,Sacramento,CA,95814,
"CHARTER PUBLIC SCHOOLS POLITICAL ACTION COMMITTEE, SPONSORED BY CALIFORNIA CHARTER SCHOOLS ASSOCIATION ADVOCATES",1302433,org_rg_173_b,CHARTER PUBLIC SCHOOLS PAC,add to map,yes,9f5c7a87-9ae5-45f8-ac43-90dd8fcf9665,,new_entity,FALSE,TRUE,FALSE,9,map1_bridge | same_contributor_id | same_contributor_id,52000,250000,Sacramento | SACRAMENTO,CA,95814 | 95814-4402 | 95814-4439,
PERSONAL INSURANCE FEDERATION AGENTS & EMPLOYEES SMALL CONTRIBUTOR COMMITTEE,910256,org_rg_186,PERSONAL INSURANCE FEDERATION OF CALIFORNIA,add to map,yes,74ac9fa2-63d6-434f-858c-9ef1a5e05fb2,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge,125000,5.00E+05,Sacramento,CA,95814,"diff PAC ID, mostly the same entity?"
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES LEGISLATIVE EDUCATIONAL COMMITTEE (MPO),1414164,org_rg_211_a,INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES,add to map,yes,d2cd4ef5-2b6a-4b3d-a91b-fdc7740a8bea,,adding_to_existing,FALSE,TRUE,FALSE,5,map1_bridge | same_contributor_id | same_contributor_id,9000,250000,Hanover | HANOVER,MD,21076,
INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES POLITICAL ACTION TOGETHER LEGISLATIVE EDUCATION COMMITTEE,1414164,org_rg_211_a,INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES,add to map,yes,d2cd4ef5-2b6a-4b3d-a91b-fdc7740a8bea,,adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,3000,250000,Hanover,MD,21076,
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES (IUPAT) LEGISLATIVE EDUCATIONAL COMMITTEE (MPO),1414164,org_rg_211_a,INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES,add to map,yes,d2cd4ef5-2b6a-4b3d-a91b-fdc7740a8bea,,adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,3000,250000,Hanover,MD,21076,
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES (IUPAT) POLITICAL ACTION TOGETHER LEGISLATIVE EDUCATIONAL COMMITTEE (MPO),1414164,org_rg_211_a,INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES,add to map,yes,d2cd4ef5-2b6a-4b3d-a91b-fdc7740a8bea,,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge | same_contributor_id,3000,250000,Hanover,MD,21076,
IUPAT POLITICAL ACTION TOGETHER LEGISLATIVE EDUCATION CMT.,1282936,org_rg_211_a,INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES,add to map,yes,d2cd4ef5-2b6a-4b3d-a91b-fdc7740a8bea,,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge,3000,250000,Hanover,MD,21076,"Major donor id, others are recipient committee id"
IUPAT POLITICAL ACTION TOGTHER LEGISLATIVE EDUCATION COMMITTEE,NA,org_rg_211_a,INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES,add to map,yes,d2cd4ef5-2b6a-4b3d-a91b-fdc7740a8bea,,adding_to_existing,FALSE,TRUE,FALSE,1,internal_fuzzy+map1_bridge | map1_bridge,3000,250000,Hanover,MD,21076,
LOS ANGELES COUNTY BUILDING AND CONSTRUCTION TRADES COUNCIL,822029,org_rg_22_a,LOS ANGELES / ORANGE COUNTIES BUILDING & CONSTRUCTION TRADES COUNCIL,add to map,yes,1088191d-9747-4271-a152-9cd10335abda,,adding_to_existing,FALSE,TRUE,FALSE,5,map1_bridge | same_contributor_id | same_contributor_id,9466.74,59200,Los Angeles,CA,90026-5733,"id is the same, but whether it only lists LA or also OC differs"
LOS ANGELES COUNTY BUILDING AND CONSTRUCTION TRADES COUNCIL - POLITICAL ACTION COMMITTEE,822029,org_rg_22_a,LOS ANGELES / ORANGE COUNTIES BUILDING & CONSTRUCTION TRADES COUNCIL,add to map,yes,1088191d-9747-4271-a152-9cd10335abda,,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge | same_contributor_id,20000,59200,Los Angeles,CA,90026-5733,
LOS ANGELES COUNTY BUILDING AND CONSTRUCTION TRADES COUNCIL PAC SMALL CONTRIBUTOR COMMITTEE,822029,org_rg_22_a,LOS ANGELES / ORANGE COUNTIES BUILDING & CONSTRUCTION TRADES COUNCIL,add to map,yes,1088191d-9747-4271-a152-9cd10335abda,,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge | same_contributor_id,5000,59200,Los Angeles,CA,90026,
SANTA CLARA & SAN BENITO COUNTIES BUILDING & CONSTRUCTION TRADES COUNCIL PAC,743618,org_rg_22_e,SANTA CLARA & SAN BENITO COUNTIES BUILDING & CONSTRUCTION TRADES COUNCIL,add to map,no,56596daa-a76f-4ea9-ba2e-d23f5470f00a,,adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge,1000,59200,San Jose,CA,95125,
STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CA PAC,743501,org_rg_22_f,STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA,add to map,yes,25e04715-a97a-49f7-9671-bd00a7fe25bb,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,6000,59200,Sacramento,CA,95814,
STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA PAC,743501,org_rg_22_f,STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA,add to map,yes,25e04715-a97a-49f7-9671-bd00a7fe25bb,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,3,same_contributor_id,11000,59200,Sacramento,CA,95814,
STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA PAC SMALL CONTRIBUTOR COMMITTEE,743501,org_rg_22_f,STATE BUILDING & CONSTRUCTION TRADES COUNCIL OF CALIFORNIA,add to map,yes,25e04715-a97a-49f7-9671-bd00a7fe25bb,mult pac ids per entity,adding_to_existing,FALSE,TRUE,FALSE,2,same_contributor_id,17600,59200,Sacramento,CA,95814,
