"entity_name","review_group_id","entity_id","canonical_name","entity_status","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","city","state","zip"
"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL NO. 11","org_rg_130","4e321d32-2f5d-4784-a9c4-39338986a524",NA,"adding_to_existing",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge","822725",2,15000,"Pasadena","CA","91101"
"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS POLITICAL ACTION COMMITTEE","org_rg_130","955473d1-c58c-48b9-adc7-58720b3cf513","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS","adding_to_existing",TRUE,FALSE,"map1_bridge",NA,1,34200,"Washington","DC","20001-3886"
"CA INDEPENDENT TELEPHONE PAC","org_rg_14","438e17f9-a9d9-44f2-a966-329551dfd467","CA INDEPENDENT TELEPHONE","merge_conflict",TRUE,TRUE,"map1_bridge | same_contributor_id","771171",1,3000,"Sacramento","CA","95814"
"CALIFORNIA INDEPENDENT TELEPHONE PAC","org_rg_14","438e17f9-a9d9-44f2-a966-329551dfd467","CALIFORNIA INDEPENDENT TELEPHONE","merge_conflict",TRUE,TRUE,"map1_bridge | same_contributor_id","771171",1,2000,"Sacramento","CA","95814"
"LABOR TIME INC","org_rg_148","e544e4f5-9bef-4ffe-9b8a-65d6d9919563",NA,"new_entity",FALSE,FALSE,"exact_name_v1",NA,1,1000,"Fresno","CA","93728"
"LABOR TIME INC.","org_rg_148","e544e4f5-9bef-4ffe-9b8a-65d6d9919563",NA,"new_entity",FALSE,FALSE,"exact_name_v1",NA,1,2500,"Fresno","CA","93728"
"CALIFORNIA NURSES ASSOCIATION CNA PAC","org_rg_15","60141326-867a-478e-b854-7961990e66ed",NA,"adding_to_existing",FALSE,FALSE,"same_contributor_id","780657",1,25000,"Sacramento","CA","95814"
"CALIFORNIA NURSES ASSOCIATION PAC (CNA-PAC) SMALL CONTRIBUTOR COMMITTEE","org_rg_15","60141326-867a-478e-b854-7961990e66ed","CALIFORNIA NURSES ASSOCIATION","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","780657",1,2500,"Sacramento","CA","95814"
"CALIFORNIA NURSES ASSOCIATION POLITICAL ACTION COMMITTEE","org_rg_15","60141326-867a-478e-b854-7961990e66ed","CALIFORNIA NURSES ASSOCIATION","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","780657",1,19600,"Sacramento","CA","95814"
"CALIFORNIA HOSPITAL ASSOCIATION PAC SPONSORED BY CA ASSOCIATION OF HOSPITALS & HEALTH SYSTEMS (CAHHS)","org_rg_16","0559bd46-49a9-49c5-b01e-86edc5259159","CALIFORNIA HOSPITAL ASSOCIATION","adding_to_existing",TRUE,FALSE,"same_contributor_id","790773",1,1500,"Sacramento","CA","95814"
"CALIFORNIA HOSPITAL ASSOCIATION PAC, SPONSORED BY CA ASSN OF HOSPITALS & HEALTH SYSTEMS (CAHHS)","org_rg_16","0559bd46-49a9-49c5-b01e-86edc5259159",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id","790773",1,39200,"Sacramento","CA","95814-3946"
"CALIFORNIA HOSPITAL ASSOCIATION PAC, SPONSORED BY CA ASSOCIATION OF HOSPITALS & HEALTH SYSTEMS (CAHHS)","org_rg_16","0559bd46-49a9-49c5-b01e-86edc5259159","CALIFORNIA HOSPITAL ASSOCIATION","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","790773",2,3000,"Sacramento","CA","95814"
"PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT PAC (PECG PAC) SMALL CONTRIBUTOR COMMITTEE","org_rg_17","02b7993e-710b-467c-bd5a-6d9070b2a3f8",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","822501",2,2000,"Sacramento","CA","95814"
"PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT PECG PAC","org_rg_17","02b7993e-710b-467c-bd5a-6d9070b2a3f8","PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","822501",2,40200,"Sacramento","CA","95814 | 95814-4581"
"PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT PECG PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_17","02b7993e-710b-467c-bd5a-6d9070b2a3f8","PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","822501",1,1000,"Sacramento","CA","95814"
"PARAMOUNT GLOBAL","org_rg_180","4c42c86b-8b9a-440a-9fb9-521f08427cf9",NA,"new_entity",FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,2,1000,"Los Angeles","CA","90038"
"PARAMOUNT PICTURES","org_rg_180","6101c010-fa11-420d-9856-dfb89568b959",NA,"new_entity",FALSE,FALSE,"map1_bridge",NA,1,355.15,"Los Angeles","CA","90038-3989"
"SEIU CALIFORNIA STATE COUNCIL","org_rg_19","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","831628",2,39200,"Sacramento","CA","95814"
"SEIU CALIFORNIA STATE COUNCIL SMALL CONTRIBUTOR COMMITTEE","org_rg_19","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","831628",2,78400,"Sacramento","CA","95814-3816"
"ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS PAC","org_rg_20","f6d8ad00-8aa4-47d4-a371-a5b23db82998",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","842151",2,39200,"Sacramento","CA","95814-4503"
"ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS POLITICAL ACTION COMMITTEE","org_rg_20","f6d8ad00-8aa4-47d4-a371-a5b23db82998","ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","842151",1,39200,"Sacramento","CA","95814-2814"
"FACULTY FOR OUR UNIVERSITY'S FUTURE","org_rg_21","4a599149-1397-4e75-9d59-a7db1c42c748",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","850007",3,25000,"Sacramento","CA","95814"
"FACULTY FOR OUR UNIVERSITY'S FUTURE, A COMMITTEE SPONSORED BY THE CALIFORNIA FACULTY ASSOCIATION","org_rg_21","4a599149-1397-4e75-9d59-a7db1c42c748","FACULTY FOR OUR UNIVERSITY'S FUTURE","adding_to_existing",TRUE,FALSE,"same_contributor_id","850007",3,78400,"Sacramento","CA","95814-3905"
"FACULTY FOR OUR UNIVERSITY'S FUTURE, LOCAL COMMITTEE SPONSORED BY THE CALIFORNIA FACULTY ASSOCIATION","org_rg_21","4a599149-1397-4e75-9d59-a7db1c42c748",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id","850007",1,65000,"Sacramento","CA","95814"
"CALIFORNIA REAL ESTATE PAC","org_rg_24","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","CALIFORNIA ASSOCIATION OF REALTORS","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","890106",1,39200,"Los Angeles","CA","90020-1403"
"CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE","org_rg_24","4b309bd1-b0a1-4b2d-b660-de28e0ab751e",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id","890106",1,19600,"Los Angeles","CA","90071-3314"
"CALIFORNIA MORTGAGE BANKERS ASSOCIATION PAC","org_rg_25","346b66bd-930e-4919-88f2-44dbbb0dca2f",NA,"new_entity",FALSE,FALSE,"same_contributor_id","890152",2,5000,"Roseville","CA","95661"
"CALIFORNIA MORTGAGE BANKERS ASSOCIATION PAC (CAMPAC)","org_rg_25","346b66bd-930e-4919-88f2-44dbbb0dca2f",NA,"new_entity",FALSE,FALSE,"same_contributor_id","890152",2,12000,"Roseville","CA","95661 | 95661-3842"
"FOSTER POULTRY FARMS LLC (JAYSON PENN)","org_rg_254","f471e9bc-75b2-422f-8cc2-a0e279163150",NA,"new_entity",FALSE,FALSE,"exact_name_v4",NA,1,10000,"Livingston","CA","95334-1526"
"FOSTER POULTRY FARMS LLC(BILL MATTOS)","org_rg_254","f471e9bc-75b2-422f-8cc2-a0e279163150",NA,"new_entity",FALSE,FALSE,"exact_name_v4",NA,1,3000,"Livingston","CA","95344"
"KINDRED HEALTHCARE OPERATING, LLC","org_rg_255","679d3fa5-2d28-4392-ad76-a92da415c817","KINDRED HEALTHCARE OPERATING","adding_to_existing",TRUE,FALSE,"exact_name_v4",NA,1,1000,"Louisville","KY","40202"
"KINDRED HEALTHCARE OPERATING, LLC(STEVE ALBRECHT)","org_rg_255","679d3fa5-2d28-4392-ad76-a92da415c817",NA,"adding_to_existing",FALSE,FALSE,"exact_name_v4",NA,1,2500,"Louisville","KY","40202"
"MCDONALD'S USA, LLC, INCLUDING MCDONALD'S CORPORATION","org_rg_256","2e0f297b-4626-4da0-8509-86d3458f2d8e",NA,"new_entity",FALSE,FALSE,"exact_name_v4",NA,1,5000,"Chicago","IL","60607"
"MCDONALD'S USA, LLC, INCLUDING MCDONALD'S CORPORATION(LAUREN AGUILAR)","org_rg_256","2e0f297b-4626-4da0-8509-86d3458f2d8e",NA,"new_entity",FALSE,FALSE,"exact_name_v4",NA,1,5000,"Chicago","IL","60607"
"ARCADIAN INFRACOM","org_rg_257","fe22b3d1-0174-42a2-a948-0d93997c4051",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,2000,"St. Louis","MO","63108"
"ARCADIAN INFRACOM, INC.","org_rg_257","fe22b3d1-0174-42a2-a948-0d93997c4051",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,15000,"San Ramon","CA","94583-5110"
"CAL PACIFIC SUPPLY","org_rg_258","157040a8-e5bc-4b33-abb6-d98d3af3ad9e",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,25000,"Madera","CA","93637"
"CAL PACIFIC SUPPLY INC.","org_rg_258","157040a8-e5bc-4b33-abb6-d98d3af3ad9e",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,5000,"Madera","CA","93637"
"CAMBRIDGE HEALTHCARE SERVICES (CASSIE DUNHAM)","org_rg_259","1074ba87-5505-4bca-831a-029e363b26d1",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,10000,"Buena Park","CA","90620-1384"
"CAMBRIDGE HEALTHCARE SERVICES LLC","org_rg_259","1074ba87-5505-4bca-831a-029e363b26d1",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,10000,"Buena Park","CA","90620-1384"
"CALIFORNIA WATER ASSOCIATION PAC","org_rg_26","e85e93fb-c52c-4792-9015-920387c224fb","CALIFORNIA WATER ASSOCIATION","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","890906",1,4000,"Sacramento","CA","95814"
"CALIFORNIA WATER ASSOCIATION POLITICAL ACTION COMMITTEE","org_rg_26","e85e93fb-c52c-4792-9015-920387c224fb",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","890906",3,49200,"Sacramento","CA","95814 | 95814-4503"
"KINGS OIL TOOLS","org_rg_261","91961377-b880-462b-a1ae-f8e6a45c7cad",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,2500,"Paso Robles","CA","93446"
"KINGS OIL TOOLS INC","org_rg_261","91961377-b880-462b-a1ae-f8e6a45c7cad",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,5000,"Paso Robles","CA","93446"
"MCNICHOLAS & MCNICHOLAS LLP (MATTHEW S. MCNICHOLAS)","org_rg_262","eb037b01-88d1-4a43-a479-022615a8aa08",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,39200,"Los Angeles","CA","90024-4338"
"MCNICHOLAS & MCNICHOLAS, LLP","org_rg_262","eb037b01-88d1-4a43-a479-022615a8aa08",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,5000,"Los Angeles","CA","90024"
"MEDIC AMBULANCE SERVICE INC.","org_rg_263","da6b9fd4-b3f5-473f-90f3-cc388246fde0",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,35000,"Vallejo","CA","94590-2408"
"MEDIC AMBULANCE SERVICE, INC.","org_rg_263","da6b9fd4-b3f5-473f-90f3-cc388246fde0",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,2500,"Fairfield","CA","94534"
"PANISH SHEA RAVIPUDI LLP (JESSIE KOHLER)","org_rg_264","168c1897-62ff-4f81-a8eb-45906083dcde",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,5000,"Los Angeles","CA","90025-3341"
"PANISH SHEA RAVIPUDI, LLP","org_rg_264","168c1897-62ff-4f81-a8eb-45906083dcde",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,9800,"Los Angeles","CA","90025"
"PANISH, SHEA, RAVIPUDI LLP","org_rg_264","168c1897-62ff-4f81-a8eb-45906083dcde",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,5000,"Los Angeles","CA","90025"
"PWC US GROUP LLP","org_rg_265","b7c4f9cc-ca78-4820-b2fb-62e1d476399d",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,10000,"New York","NY","10017-6232"
"PWC US GROUP, LLP","org_rg_265","b7c4f9cc-ca78-4820-b2fb-62e1d476399d",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,3000,"Tampa","FL","33607"
"SAN JOSE WATER","org_rg_266","47b3a389-d8dd-424a-b7d5-037bd0c66dae",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,500,"San Jose","CA","95110"
"SAN JOSE WATER COMPANY","org_rg_266","47b3a389-d8dd-424a-b7d5-037bd0c66dae",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,5000,"San Jose","CA","95110-2131"
"STANISLAUS FOOD PRODUCTS COMPANY","org_rg_267","527381c9-9828-4a49-97c1-069969d3f759",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,5000,"Modesto","CA","95354"
"STANISLAUS FOOD PRODUCTS, LLC","org_rg_267","527381c9-9828-4a49-97c1-069969d3f759",NA,"new_entity",FALSE,FALSE,"exact_name_v5",NA,1,5000,"Modesto","CA","95354"
"SMART JUSTICE AMERICA ACTION FUND (FEC ID#C00889832)","org_rg_268","f9595f5c-2e3d-4a21-a460-c8679f394324",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,50000,"Sacramento","CA","95815"
"SMART JUSTICE CALIFORNIA ACTION FUND","org_rg_268","226722b3-f85a-4d86-ade1-e835d78a6a50",NA,"new_entity",FALSE,FALSE,"internal_fuzzy","1423131",1,-12700,"Sacramento","CA","95815"
"J-C INVESTMENTS","org_rg_269","1dc2a1b8-67d4-4fc4-8419-2b9fae3ee22a",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,500,"Downey","CA","90240"
"JMK INVESTMENTS, INC.","org_rg_269","6a8ce842-e0ff-422d-821a-67c63bbe3179",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,500,"Santa Clara","CA","95051"
"SPRINKLER FITTERS UNITED ASSOCIATION 709 P.A.C","org_rg_27","e1a57e50-a5d5-4d9e-9b04-c1bebf1244bc",NA,"new_entity",FALSE,FALSE,"same_contributor_id","901643",1,5000,"Whittier","CA","90606-2602"
"SPRINKLER FITTERS UNITED ASSOCIATION 709 P.A.C.","org_rg_27","e1a57e50-a5d5-4d9e-9b04-c1bebf1244bc",NA,"new_entity",FALSE,FALSE,"same_contributor_id","901643",1,1000,"Whittier","CA","90606-2602"
"BEHAN CONSTRUCTION","org_rg_270","84996337-55c7-4dca-85e4-dab1be177ef4",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,100,"San Francisco","CA","94112"
"VEEN CONSTRUCTION","org_rg_270","02826bb8-0cb0-4fe7-87cb-0118721bcb0d",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,100,"Grover Beach","CA","93433"
"DWO ENTERPRISES, INC.","org_rg_271","9bb924e8-2432-4335-99e0-ddca6dd00aa6",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,39200,"Rancho Santa Fe","CA","92091"
"SY ENTERPRISES, INC.","org_rg_271","0ef69c8e-edfd-4e89-9c95-7311945fc5c9",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,5000,"San Ysidro","CA","92173"
"LATEEFAH FOR CONGRESS","org_rg_272","087819aa-6ae5-42da-bf44-512eb4b248e8",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,1000,"Oakland","CA","94612"
"LATEEFAH SIMON FOR CONGRESS","org_rg_272","fb5f0d71-1e30-47c5-bf9d-efe97fc43124",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,1500,"Chicago","IL","60603"
"LABORER'S UNION LOCAL NO. 777 PAC","org_rg_273","13b04cb3-1d69-4412-86ab-56418191ea8f",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,20000,"Riverside","CA","92501-3510"
"LABORERS LOCAL UNION NO. 783-PAC","org_rg_273","d5c853c7-af1c-4bc2-8ad2-67aa4ea9e11b",NA,"new_entity",FALSE,FALSE,"internal_fuzzy","981333",1,5000,"San Bernardino","CA","92408-2110"
"D&N MANAGEMENT LLC (DOMINIC ASSALI)","org_rg_274","1af17db8-c171-4140-af28-13cf30b1a3a4",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,39200,"Ceres","CA","95307-9527"
"NRD MANAGEMENT LLC (NATHAN DAVIT)","org_rg_274","47247f7b-dd5a-4c7d-bbfc-8550b9279acb",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,1000,"Phoenix","AZ","85016-7849"
"ACE PUBLIC ADJUSTERS, INC.","org_rg_275","075f5946-8113-481d-b496-cac6cf891416",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,2500,"Glendale","CA","91201"
"TIR PUBLIC ADJUSTERS, LLC","org_rg_275","9569099c-0849-46f8-9cd1-efde82ecc54d",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,500,"Glendale","CA","91203"
"SUTTER EAST BAY MEDICAL GROUP INC.","org_rg_276","c0fef8bd-bc3d-45be-af2b-5803e95fb36a",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,30000,"Oakland","CA","94609-3108"
"SUTTER MEDICAL GROUP INC.","org_rg_276","07ca1428-27cc-4dfa-9c5c-47e986cddd21",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,39200,"Sacramento","CA","95833-4134"
"SUTTER NORTH MEDICAL GROUP INC.","org_rg_276","7e45aa14-16e6-43a6-9db8-cc207507a7fc",NA,"new_entity",FALSE,FALSE,"internal_fuzzy",NA,1,25000,"Yuba City","CA","95991-5005"
"FOWLER PACKING COMPANY INC.","org_rg_277","79359c79-d846-47ea-879e-43d8bb2935cc",NA,"new_entity",FALSE,FALSE,"internal_fuzzy+map1_bridge",NA,1,25000,"Fresno","CA","93725"
"FOWLER PACKING COMPANY, INC.","org_rg_277","e55923ec-9949-4c82-a530-e6f53e883853",NA,"new_entity",FALSE,FALSE,"internal_fuzzy+map1_bridge",NA,1,10000,"Fresno","CA","93725-8905"
"VERIZON COMMUNICATIONS, INC.","org_rg_278","f39b9ebf-a921-471f-bf2c-5437d82da051",NA,"new_entity",FALSE,FALSE,"map1_bridge",NA,1,25000,"Sacramento","CA","95814-5002"
"VERIZON COMMUNICATIONS, INC. GOOD GOVERNMENT CLUB-CALIFORNIA","org_rg_278","e29c8f22-3306-4862-9d40-6dbfdae0e1da",NA,"new_entity",FALSE,FALSE,"map1_bridge","790703",1,4900,"Newbury Park","CA","91320"
"UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE","org_rg_28","ed84bc16-8b98-48de-bcbd-7b36d0e71216",NA,"new_entity",FALSE,FALSE,"same_contributor_id","910874",1,2500,"Buena Park","CA","90620"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_28","ed84bc16-8b98-48de-bcbd-7b36d0e71216",NA,"new_entity",FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","910874",2,4000,"Buena Park","CA","90620"
"UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATES PAC","org_rg_28","ed84bc16-8b98-48de-bcbd-7b36d0e71216",NA,"new_entity",FALSE,FALSE,"map1_bridge | same_contributor_id","910874",1,39200,"Buena Park","CA","90620-3930"
"DOCTORS COMPANY POLITICAL ACTION COMMITTEE (DOCPAC)","org_rg_29","16be16c3-5ee6-49a0-a8c7-a60b4a6a6301",NA,"adding_to_existing",FALSE,FALSE,"same_contributor_id","923140",1,7500,"Napa","CA","94558-6270"
"DOCTORS COMPANY POLITICAL ACTION COMMITTEE AKA DOCPAC; THE","org_rg_29","16be16c3-5ee6-49a0-a8c7-a60b4a6a6301",NA,"adding_to_existing",FALSE,FALSE,"same_contributor_id","923140",1,5000,"Napa","CA","94558-6270"
"THE DOCTORS COMPANY PAC AKA DOCPAC","org_rg_29","16be16c3-5ee6-49a0-a8c7-a60b4a6a6301","DOCTORS COMPANY","adding_to_existing",TRUE,FALSE,"same_contributor_id","923140",1,1500,"Napa","CA","94558"
"CALIFORNIA MEDICAL ASSOCIATION","org_rg_3","5af89b65-0a37-4bcb-a58e-4c37fd8bb8c2",NA,"adding_to_existing",FALSE,FALSE,"internal_fuzzy | map1_bridge",NA,1,1e+05,"SACRAMENTO","CA","95814"
"CALIFORNIA MEDICAL ASSOCIATION PAC","org_rg_3","3309a3a9-ea67-48cb-bb69-6221765da320","CALIFORNIA MEDICAL ASSOCIATION","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","742617",2,78400,"Sacramento","CA","95814-2949 | 95814-3933"
"CALIFORNIA VETERINARY MEDICAL ASSOCIATION","org_rg_3","b7f0302d-2908-467f-a90e-5d85ef569cf9",NA,"adding_to_existing",FALSE,FALSE,"internal_fuzzy","771044",1,3000,"Sacramento","CA","95814-4505"
"CALPAC - CALIFORNIA MEDICAL ASSOCIATION PAC","org_rg_3","3309a3a9-ea67-48cb-bb69-6221765da320","CALIFORNIA MEDICAL ASSOCIATION","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id","742617",1,1500,"Sacramento","CA","95814"
"CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION PAC","org_rg_30","5797aef8-335b-4365-b50d-39183b7574ed","CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION","adding_to_existing",TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","970375",2,10800,"Sacramento","CA","95814"
"CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION POLITICAL ACTION COMMITTEE","org_rg_30","5797aef8-335b-4365-b50d-39183b7574ed",NA,"adding_to_existing",FALSE,FALSE,"map1_bridge | same_contributor_id","970375",1,10000,"Sacramento","CA","95814-3970"
