"entity_name","canonical_name_r1","to_add_status_r1","entity_status_r1","entity_id_r1","Contributor.ID_r1","city_r1","state_r1","review_group_id_r1","confirmed_link_r1","confirmed_r1","is_conflict_r1","notes_r1","link_methods_r1","n_contributions_r1","total_amount_r1","zip_r1","Contributor.ID_r2","review_group_id_r2","canonical_name_r2","to_add_status_r2","confirmed_link_r2","entity_id_r2","flag_r2","entity_status_r2","confirmed_r2","conflicting_contributor_ids_r2","is_conflict_r2","n_contributions_r2","link_methods_r2","total_amount_r2","max_single_recipient_r2","city_r2","state_r2","zip_r2","notes_r2","review_source","in_refined_queue"
"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS POLITICAL ACTION COMMITTEE","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS","in existing map","adding_to_existing","955473d1-c58c-48b9-adc7-58720b3cf513",NA,"Washington","DC","org_rg_130","yes",TRUE,FALSE,"","map1_bridge",1,34200,"20001-3886",NA,"org_rg_15_g","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS","in existing map","yes","955473d1-c58c-48b9-adc7-58720b3cf513","","adding_to_existing",TRUE,TRUE,FALSE,1,"internal_fuzzy+map1_bridge | map1_bridge",34200,369287.9,"Washington","DC","20001-3886","","both",TRUE
"CA INDEPENDENT TELEPHONE PAC","CA INDEPENDENT TELEPHONE","update map error","merge_conflict","438e17f9-a9d9-44f2-a966-329551dfd467",771171,"Sacramento","CA","org_rg_14","yes",TRUE,TRUE,"","map1_bridge | same_contributor_id",1,3000,"95814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"review1_only",FALSE
"CALIFORNIA INDEPENDENT TELEPHONE PAC","CA INDEPENDENT TELEPHONE","update map error","merge_conflict","438e17f9-a9d9-44f2-a966-329551dfd467",771171,"Sacramento","CA","org_rg_14","yes",TRUE,TRUE,"","map1_bridge | same_contributor_id",1,2000,"95814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"review1_only",FALSE
"LABOR TIME INC","LABOR TIME","add to map","new_entity","e544e4f5-9bef-4ffe-9b8a-65d6d9919563",NA,"Fresno","CA","org_rg_148","yes",FALSE,FALSE,"","exact_name_v1",1,1000,"93728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"review1_only",FALSE
"LABOR TIME INC.","LABOR TIME","add to map","new_entity","e544e4f5-9bef-4ffe-9b8a-65d6d9919563",NA,"Fresno","CA","org_rg_148","yes",FALSE,FALSE,"","exact_name_v1",1,2500,"93728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"review1_only",FALSE
"CALIFORNIA NURSES ASSOCIATION CNA PAC","CALIFORNIA NURSES ASSOCIATION","add to map","adding_to_existing","60141326-867a-478e-b854-7961990e66ed",780657,"Sacramento","CA","org_rg_15","yes",FALSE,FALSE,"","same_contributor_id",1,25000,"95814",780657,"org_rg_59","CALIFORNIA NURSES ASSOCIATION","in existing map","yes","60141326-867a-478e-b854-7961990e66ed","","adding_to_existing",TRUE,FALSE,FALSE,1,"same_contributor_id",25000,3468731.45,"Sacramento","CA","95814","","both",FALSE
"CALIFORNIA NURSES ASSOCIATION PAC (CNA-PAC) SMALL CONTRIBUTOR COMMITTEE","CALIFORNIA NURSES ASSOCIATION","in existing map","adding_to_existing","60141326-867a-478e-b854-7961990e66ed",780657,"Sacramento","CA","org_rg_15","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,2500,"95814",780657,"org_rg_59","CALIFORNIA NURSES ASSOCIATION","in existing map","yes","60141326-867a-478e-b854-7961990e66ed","","adding_to_existing",TRUE,FALSE,FALSE,20,"map1_bridge | same_contributor_id | same_contributor_id",38400,3468731.45,"Sacramento","CA","95814","","both",TRUE
"CALIFORNIA NURSES ASSOCIATION POLITICAL ACTION COMMITTEE","CALIFORNIA NURSES ASSOCIATION","in existing map","adding_to_existing","60141326-867a-478e-b854-7961990e66ed",780657,"Sacramento","CA","org_rg_15","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,19600,"95814",780657,"org_rg_59","CALIFORNIA NURSES ASSOCIATION","in existing map","yes","60141326-867a-478e-b854-7961990e66ed","","adding_to_existing",TRUE,FALSE,FALSE,1,"map1_bridge | same_contributor_id",19600,3468731.45,"Sacramento","CA","95814","","both",TRUE
"CALIFORNIA HOSPITAL ASSOCIATION PAC SPONSORED BY CA ASSOCIATION OF HOSPITALS & HEALTH SYSTEMS (CAHHS)","CALIFORNIA HOSPITAL ASSOCIATION","in existing map","adding_to_existing","0559bd46-49a9-49c5-b01e-86edc5259159",790773,"Sacramento","CA","org_rg_16","yes",TRUE,FALSE,"","same_contributor_id",1,1500,"95814",790773,"org_rg_67","CALIFORNIA HOSPITAL ASSOCIATION","in existing map","yes","0559bd46-49a9-49c5-b01e-86edc5259159","","adding_to_existing",TRUE,FALSE,FALSE,1,"same_contributor_id",1500,125000,"Sacramento","CA","95814","","both",FALSE
"CALIFORNIA HOSPITAL ASSOCIATION PAC, SPONSORED BY CA ASSN OF HOSPITALS & HEALTH SYSTEMS (CAHHS)","CALIFORNIA HOSPITAL ASSOCIATION","add to map","adding_to_existing","0559bd46-49a9-49c5-b01e-86edc5259159",790773,"Sacramento","CA","org_rg_16","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id",1,39200,"95814-3946",790773,"org_rg_67","CALIFORNIA HOSPITAL ASSOCIATION","in existing map","yes","0559bd46-49a9-49c5-b01e-86edc5259159","","adding_to_existing",TRUE,FALSE,FALSE,6,"map1_bridge | same_contributor_id | same_contributor_id",47700,125000,"Sacramento","CA","95814 | 95814-3946","","both",TRUE
"CALIFORNIA HOSPITAL ASSOCIATION PAC, SPONSORED BY CA ASSOCIATION OF HOSPITALS & HEALTH SYSTEMS (CAHHS)","CALIFORNIA HOSPITAL ASSOCIATION","in existing map","adding_to_existing","0559bd46-49a9-49c5-b01e-86edc5259159",790773,"Sacramento","CA","org_rg_16","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,3000,"95814",790773,"org_rg_67","CALIFORNIA HOSPITAL ASSOCIATION","in existing map","yes","0559bd46-49a9-49c5-b01e-86edc5259159","","adding_to_existing",TRUE,FALSE,FALSE,14,"map1_bridge | same_contributor_id | same_contributor_id",27800,125000,"Sacramento","CA","95814","","both",TRUE
"PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT PAC (PECG PAC) SMALL CONTRIBUTOR COMMITTEE","PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT","add to map","adding_to_existing","02b7993e-710b-467c-bd5a-6d9070b2a3f8",822501,"Sacramento","CA","org_rg_17","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,2000,"95814",822501,"org_rg_77","PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT","in existing map","yes","02b7993e-710b-467c-bd5a-6d9070b2a3f8","","adding_to_existing",TRUE,FALSE,FALSE,2,"map1_bridge | same_contributor_id | same_contributor_id",2000,39200,"Sacramento","CA","95814","","both",FALSE
"PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT PECG PAC","PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT","in existing map","adding_to_existing","02b7993e-710b-467c-bd5a-6d9070b2a3f8",822501,"Sacramento","CA","org_rg_17","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,40200,"95814 | 95814-4581",822501,"org_rg_77","PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT","in existing map","yes","02b7993e-710b-467c-bd5a-6d9070b2a3f8","","adding_to_existing",TRUE,FALSE,FALSE,3,"map1_bridge | same_contributor_id | same_contributor_id",41200,39200,"Sacramento","CA","95814 | 95814-4581","","both",FALSE
"PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT PECG PAC SMALL CONTRIBUTOR COMMITTEE","PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT","in existing map","adding_to_existing","02b7993e-710b-467c-bd5a-6d9070b2a3f8",822501,"Sacramento","CA","org_rg_17","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,1000,"95814",822501,"org_rg_77","PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT","in existing map","yes","02b7993e-710b-467c-bd5a-6d9070b2a3f8","","adding_to_existing",TRUE,FALSE,FALSE,6,"map1_bridge | same_contributor_id | same_contributor_id",10000,39200,"Sacramento","CA","95814","","both",FALSE
"PARAMOUNT GLOBAL","PARAMOUNT","add to map","new_entity","4c42c86b-8b9a-440a-9fb9-521f08427cf9",NA,"Los Angeles","CA","org_rg_180","yes",FALSE,FALSE,"","exact_name_v1 | exact_name_v1 | map1_bridge",2,1000,"90038",NA,"org_rg_5824","PARAMOUNT","in existing map","yes","4c42c86b-8b9a-440a-9fb9-521f08427cf9","","adding_to_existing",TRUE,FALSE,FALSE,10,"exact_name_v1 | exact_name_v1 | map1_bridge",5000,5000,"Los Angeles","CA","90038 | 90038-3989","","both",FALSE
"PARAMOUNT PICTURES","PARAMOUNT","add to map","new_entity","4c42c86b-8b9a-440a-9fb9-521f08427cf9",NA,"Los Angeles","CA","org_rg_180","yes",FALSE,FALSE,"","map1_bridge",1,355.15,"90038-3989",NA,"org_rg_5824","PARAMOUNT","in existing map","yes","4c42c86b-8b9a-440a-9fb9-521f08427cf9","","adding_to_existing",TRUE,FALSE,FALSE,1,"map1_bridge",355.15,5000,"Los Angeles","CA","90038-3989","","both",FALSE
"SEIU CALIFORNIA STATE COUNCIL","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","add to map","adding_to_existing","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74",831628,"Sacramento","CA","org_rg_19","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,39200,"95814",831628,"org_rg_25_a","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","in existing map","yes","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74","","merge_conflict",TRUE,TRUE,TRUE,2,"map1_bridge | same_contributor_id | same_contributor_id",39200,8446000,"Sacramento","CA","95814","","both",TRUE
"SEIU CALIFORNIA STATE COUNCIL","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","add to map","adding_to_existing","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74",831628,"Sacramento","CA","org_rg_19","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,39200,"95814",1372681,"org_rg_200","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","in existing map","yes","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74","","adding_to_existing",TRUE,FALSE,FALSE,1,"same_contributor_id",565,15000,"Sacramento","CA","95814-3803","","both",TRUE
"SEIU CALIFORNIA STATE COUNCIL SMALL CONTRIBUTOR COMMITTEE","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","in existing map","adding_to_existing","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74",831628,"Sacramento","CA","org_rg_19","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,78400,"95814-3816",831628,"org_rg_25_a","SERVICE EMPLOYEES INTERNATIONAL UNION CALIFORNIA STATE COUNCIL","in existing map","yes","a531dcca-e8e5-4ff2-a8a3-d449e2f1eb74","","merge_conflict",TRUE,TRUE,TRUE,7,"map1_bridge | same_contributor_id | same_contributor_id",113800,8446000,"Sacramento | SACRAMENTO","CA","95814 | 95814-3816","","both",TRUE
"ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS PAC","ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS","add to map","adding_to_existing","f6d8ad00-8aa4-47d4-a371-a5b23db82998",842151,"Sacramento","CA","org_rg_20","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,39200,"95814-4503",842151,"org_rg_90","ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS","in existing map","yes","f6d8ad00-8aa4-47d4-a371-a5b23db82998","","adding_to_existing",TRUE,FALSE,FALSE,10,"map1_bridge | same_contributor_id | same_contributor_id",103200,78400,"Burlingame | Sacramento","CA","94010-1613 | 95814 | 95814-4503","","both",TRUE
"ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS POLITICAL ACTION COMMITTEE","ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS","in existing map","adding_to_existing","f6d8ad00-8aa4-47d4-a371-a5b23db82998",842151,"Sacramento","CA","org_rg_20","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,39200,"95814-2814",842151,"org_rg_90","ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS","in existing map","yes","f6d8ad00-8aa4-47d4-a371-a5b23db82998","","adding_to_existing",TRUE,FALSE,FALSE,9,"map1_bridge | same_contributor_id | same_contributor_id",120300,78400,"Burlingame | Sacramento | SACRAMENTO","CA","94010-1613 | 95814 | 95814-2814","","both",TRUE
"FACULTY FOR OUR UNIVERSITY'S FUTURE","FACULTY FOR OUR UNIVERSITY'S FUTURE","name is already canonical","adding_to_existing","4a599149-1397-4e75-9d59-a7db1c42c748",850007,"Sacramento","CA","org_rg_21","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",3,25000,"95814",850007,"org_rg_91_b","FACULTY FOR OUR UNIVERSITY'S FUTURE","in existing map","yes","4a599149-1397-4e75-9d59-a7db1c42c748","","adding_to_existing",TRUE,TRUE,FALSE,4,"map1_bridge | same_contributor_id | same_contributor_id",35000,78400,"Sacramento","CA","95814","","both",TRUE
"FACULTY FOR OUR UNIVERSITY'S FUTURE, A COMMITTEE SPONSORED BY THE CALIFORNIA FACULTY ASSOCIATION","FACULTY FOR OUR UNIVERSITY'S FUTURE","in existing map","adding_to_existing","4a599149-1397-4e75-9d59-a7db1c42c748",850007,"Sacramento","CA","org_rg_21","yes",TRUE,FALSE,"","same_contributor_id",3,78400,"95814-3905",850007,"org_rg_91_b","FACULTY FOR OUR UNIVERSITY'S FUTURE","in existing map","yes","4a599149-1397-4e75-9d59-a7db1c42c748","","adding_to_existing",TRUE,TRUE,FALSE,17,"map1_bridge | same_contributor_id | same_contributor_id",243000,78400,"Sacramento | SACRAMENTO","CA","95814 | 95814-3905","","both",TRUE
"FACULTY FOR OUR UNIVERSITY'S FUTURE, LOCAL COMMITTEE SPONSORED BY THE CALIFORNIA FACULTY ASSOCIATION","FACULTY FOR OUR UNIVERSITY'S FUTURE","add to map","adding_to_existing","4a599149-1397-4e75-9d59-a7db1c42c748",850007,"Sacramento","CA","org_rg_21","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id",1,65000,"95814",850007,"org_rg_91_b","FACULTY FOR OUR UNIVERSITY'S FUTURE","in existing map","yes","4a599149-1397-4e75-9d59-a7db1c42c748","","adding_to_existing",TRUE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",65000,78400,"Sacramento","CA","95814","","both",FALSE
"CALIFORNIA REAL ESTATE PAC","CALIFORNIA ASSOCIATION OF REALTORS","in existing map","adding_to_existing","4b309bd1-b0a1-4b2d-b660-de28e0ab751e",890106,"Los Angeles","CA","org_rg_24","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,39200,"90020-1403",890106,"org_rg_107","CALIFORNIA ASSOCIATION OF REALTORS","in existing map","yes","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","mult pac ids per entity","adding_to_existing",TRUE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",39200,2023273.02,"Los Angeles","CA","90020-1403","","both",TRUE
"CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE","CALIFORNIA ASSOCIATION OF REALTORS","add to map","adding_to_existing","4b309bd1-b0a1-4b2d-b660-de28e0ab751e",890106,"Los Angeles","CA","org_rg_24","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id",1,19600,"90071-3314",890106,"org_rg_107","CALIFORNIA ASSOCIATION OF REALTORS","in existing map","yes","4b309bd1-b0a1-4b2d-b660-de28e0ab751e","mult pac ids per entity","adding_to_existing",TRUE,TRUE,FALSE,1,"map1_bridge | same_contributor_id",19600,2023273.02,"Los Angeles","CA","90071-3314","","both",FALSE
"CALIFORNIA MORTGAGE BANKERS ASSOCIATION PAC","CALIFORNIA MORTGAGE BANKERS ASSOCIATION","add to map","new_entity","346b66bd-930e-4919-88f2-44dbbb0dca2f",890152,"Roseville","CA","org_rg_25","yes",FALSE,FALSE,"","same_contributor_id",2,5000,"95661",890152,"org_rg_109","CALIFORNIA MORTGAGE BANKERS ASSOCIATION","in existing map","yes","346b66bd-930e-4919-88f2-44dbbb0dca2f","","adding_to_existing",TRUE,FALSE,FALSE,4,"same_contributor_id",8500,10000,"Roseville","CA","95661","","both",FALSE
"CALIFORNIA MORTGAGE BANKERS ASSOCIATION PAC (CAMPAC)","CALIFORNIA MORTGAGE BANKERS ASSOCIATION","add to map","new_entity","346b66bd-930e-4919-88f2-44dbbb0dca2f",890152,"Roseville","CA","org_rg_25","yes",FALSE,FALSE,"","same_contributor_id",2,12000,"95661 | 95661-3842",890152,"org_rg_109","CALIFORNIA MORTGAGE BANKERS ASSOCIATION","in existing map","yes","346b66bd-930e-4919-88f2-44dbbb0dca2f","","adding_to_existing",TRUE,FALSE,FALSE,13,"map1_bridge | same_contributor_id | same_contributor_id",30500,10000,"Roseville | ROSEVILLE","CA","95661 | 95661-3842","","both",FALSE
"FOSTER POULTRY FARMS LLC (JAYSON PENN)","FOSTER POULTRY FARMS","add to map","new_entity","f471e9bc-75b2-422f-8cc2-a0e279163150",NA,"Livingston","CA","org_rg_254","yes",FALSE,FALSE,"","exact_name_v4",1,10000,"95334-1526",NA,"org_rg_8762","FOSTER POULTRY FARMS","in existing map","yes","f471e9bc-75b2-422f-8cc2-a0e279163150","","adding_to_existing",TRUE,FALSE,FALSE,1,"exact_name_v4",10000,10000,"Livingston","CA","95334-1526","","both",FALSE
