name_string,canonical_entity_id
Alaska Airlines,dd_-385
ALATA MANAGEMENT,v5_95
Alcorn Fence Company,v5_96
ALCOVE PUBLISHING,v5_97
"Aldridge Electric, Inc.",v5_98
ALETHEA CAPITAL MANAGEMENT,v5_99
ALEXANDER LAW GROUP,v5_100
ALEXANDER MORRISON AND FEHR,v5_101
"ALG Investments, LP",v5_102
ALIA CORPORATION,v5_103
Alignment Health,v5_104
ALIGNMENT RESEARCH CENTER,v5_105
Alisal Water Company,v5_106
Alivia Analytics LLC(Michael Taylor),v5_107
"Alkermes, Inc.",dd_-417
AllCare IPA,v5_109
Alliance for Automotive Innovation,dd_-15793
Alliance of California Ranchers and Farmers (Admin),v5_111
Allianz Global Risks,v5_112
Allied International Security,v5_113
"Allied Solutions, LLC(Lori Richey)",v5_114
ALLRED MAROKO AND GOLDBERG,v5_115
ALLSTATE,dd_-468
ALLURE DENTAL,v5_117
ALM First Financial,v5_118
"Alpha In Bay, Inc.",v5_119
"Alpha in Bay, LLC",v5_119
ALPHABET,v5_120
AlphaOne Ambulance Medical Services Inc.,v5_121
AlphaX Re Capital Inc,v5_122
"AlphaX RE Capital, Inc.",v5_122
"Alston Construction Company, Inc.",v5_123
"Altair Law, PC",v5_124
Altais,v5_125
ALTAIS,v5_125
ALTAIS FAMILY CARE SPECIALISTS,v5_126
Altamed Health Network Inc.,v5_127
ALTAMED HEALTH SERVICE,v5_128
ALTAMED HEALTH SERVICES,dd_-485
Altice USA,v5_130
Altria Client Services LLC,dd_-493
"Altria Client Services, LLC(Joel S. Aurora)",dd_-493
ALTURA CREDIT UNION,v5_132
AMABEL CAPELLE WRITER,v5_133
Amador El Dorado Sacramento County Cattlemen's Association,v5_134
Amarok Ultimate Perimeter Security,v5_135
"AMAROK, LLC",v5_136
Amazon,dd_-514
AMAZON,dd_-514
Amazon.com Services LLC (Anthony Williams),dd_-514
Amazon.com Services LLC(Andrea Fava),dd_-514
AMAZON.COM SERVICES LLC(ANDREA FAVA),dd_-514
Amazon.com Services LLC(Andy Jassy),dd_-514
Amazon.com Services LLC(Fava Andrea),dd_-514
"Amazon.com Services, LLC",dd_-514
"Amazon.com Services, LLC (Andrea Fava)",dd_-514
"Amazon.com Services, LLC(Andrea Fara)",dd_-514
AMAZONCOM,dd_-514
AMCAL MULTI HOUSING,v5_138
Amcal MultiHousing Inc,v5_139
"American Advanced Management, Inc.",v5_140
American Beverage Association,dd_-558
AMERICAN BEVERAGE ASSOCIATION,dd_-558
American Chemistry Council,dd_-574
AMERICAN COLLEGE OF RADIOLOGY,v5_143
AMERICAN COMMODITY COMPANY,v5_144
American Family Mutual Insurance Co.,v5_145
"American Federation of State, County and Municipal Employees Local 685 Union",v5_146
American Fidelity Corporation,dd_-637
American First Credit Union,v5_148
"American Furniture Gallery, Inc.",v5_149
American Global,v5_150
AMERICAN HOSPITALITY SERVICES,v5_151
American Medical Response Inc.,dd_-689
American Motors Group,v5_153
American Physicians for Change AP4C,v5_154
American Pistachio Growers(Admin Account),dd_-709
American Resort Development Association,dd_-723
American Specialty Health Inc.,v5_157
"American Traffic Solutions, Inc.",dd_-750
American Water,v5_159
Americans for Patient Access Inc.,v5_160
"Ames Construction, Inc.",v5_161
AMG AND ASSOCIATES,v5_162
AMG Outdoor Advertising Inc.,v5_163
AMGEN,dd_-769
Amgen Inc.,dd_-769
"Amgen, Inc.",dd_-769
Amica Mutual Insurance Company,v5_165
AMLI Management Company *,v5_166
"AMR HoldCo, Inc",v5_167
"AMR Holdco, Inc.",v5_167
"AMR HoldCo, Inc.",v5_167
AmTrust Insurance Company,v5_168
AN Farming Company,v5_169
ANDELL HOLDINGS,v5_170
ANDERSON SEAFOOD,dd_-806
ANDREWS AND THORNTON ATTORNEYS AT LAW,v5_172
ANDURIL INDUSTRIES,v5_173
Angelo K. Tsakopoulos and Affiliated Entities,v5_174
"Angus Asphalt, Inc.",v5_175
Anheuser Busch,dd_-819
Anheuser Busch Companies,dd_-819
Anheuser-Busch Companies,dd_-819
ANSCHUTZ ENTERTAINMENT GROUP,dd_-829
"Anschutz Entertainment Group, Inc.",dd_-829
ANTAI FINANCIAL,v5_178
ANTAI GLOBAL,v5_179
"ANTHONY MICHAEL, INC AND AFFILIATED ENTITIES",v5_180
ANTHROPIC,v5_181
Anthropic PBC,v5_182
ANTHROPIC PBC,v5_182
ANTON DEVCO,v5_183
ANU KHOSLA,v5_184
"Anvil Builders, Inc.",v5_185
"Apartment Income REIT (Air Communities) and affiliated entities - AIMCO Properties, LP",v5_186
APERTURE GROUP,v5_187
APPLE,dd_-876
Apple Hospitality REIT,v5_189
Applied Research Works Inc./Cozeva,v5_190
APPOLONIO,v5_191
"Appolonio, Inc",v5_191
AR ASSET MANAGEMENT,v5_192
"ARB Interactive, Inc.",v5_193
"Arcadian Infracom, Inc.",v5_194
Arch Insurance Company,v5_195
ARCHER AVIATION,v5_196
ARCHER CORNFIELD FILMS,v5_197
"ARCHER DANIELS MIDLAND COMPANY (ADM RICE, INC.)",v5_198
ARCHIPELAGO,v5_199
ARCHIPELAGO COMPANIES,v5_200
"ARCOS MANAGEMENT, INC.",v5_201
"ARCS RESTAURANT MANAGEMENT, INC.",v5_202
ARCT,v5_203
"Arent Fox Schiff, LLP",v5_204
Arevon Energy,v5_205
Argonaut Insurance Company,v5_206
"Argos Law, APC",v5_207
"Arias & Sanguinetti, LLP",v5_208
ARIAS SANGUINETTI WANG AND TEAM,v5_209
"Aristotle International, Inc. FBO Amazon.com Services LLC",v5_210
ARNEL DEVELOPMENT,v5_211
ARNS DAVIS LAW,v5_212
Arredondo Ventures Inc.,v5_213
Arrowhead Credit Union,v5_214
ARROYO VISTA FAMILY HEALTH CENTER,dd_-16610
Artichoke Joe's,dd_-947
Asbestos Workers #16 (Intermediary for Unitemized Union Member Contributions),v5_217
Asbestos Workers #5 (Intermediary for Unitemized Union Member Contributions),v5_218
"ASC Communications, LLC (Jessica Cole) Becker's Healthcare",v5_219
ASCENDANT ENTERTAINMENT,v5_220
ASHJER,v5_221
ASHRIAS,v5_222
"Ashton & Price, LLP",v5_223
ASI - American Share Insurance,v5_224
Aspen Skilled HC Inc,v5_225
Aspen Skilled Healthcare Inc,v5_226
Aspen Skilled Healthcare Inc.,v5_226
ASSOCIATED RICE MARKETING COOPERATIVE,v5_227
Association for Consumer Debt Relief,v5_228
Association for Los Angeles Deputy Sherrifs,v5_229
Association of California Life & Health Insurance Companies,dd_-1079
Association of College Educators (Unitemized Member Contributions),v5_231
Astound Broadband,v5_232
ASTRANA HEALTH,v5_233
"Astrana Health Management, Inc.",v5_234
AstraZeneca Pharmaceuticals,dd_-1147
"AstraZeneca Pharmaceuticals LP, Including its Subsidiary Medimmune",dd_-1147
"AstraZeneca Pharmaceuticals, LP including it's Subsidiary Medimmune",dd_-1147
ASTRO ALUMINUM HEAT TREATING,v5_236
ASZKENAZY DEVELOPMENT,v5_237
AT T,dd_-1153
AT&T and Affiliated Entities,dd_-1153
AT&T Services Inc. and its Affiliates,dd_-1153
AT&T SERVICES INC. AND ITS AFFILIATES,dd_-1153
"AT&T Services, Inc. & its Affiliates",dd_-1153
"AT&T Services, Inc. and its Affilates",v5_239
"AT&T Services, Inc. and its Affiliates",dd_-1153
Athens Services,dd_-15170
"ATKA ENTERPRISES, INC AND AFFILIATED ENTITIES",v5_241
"Atlas Property Group, Inc.",v5_242
ATLAS TITLE,v5_243
Atria Management Company LLC,dd_-1171
Atria Management Company LLC(Maristela Mendes-McCoy),dd_-1171
ATU 1277 Amalgamated Transit U (intermediary for unitemized member dues),v5_245
Audi Pasadena,v5_246
AUGUSTINE BAND OF CAHUILLA INDIANS,v5_247
"Aurora San Diego, LLC (Alain Azcona)",v5_248
Auto Club Insurance Association,v5_249
Auto Expert Brokers of America,v5_250
AUTOMATTIC,dd_-1217
AutoNation,dd_-1222
"AutoZone, Inc.",v5_253
"AvalonBay Communities, Inc.",v5_254
AVID TAX GROUP,v5_255
AVIDITY BIOLOGY,v5_256
"Avison Construction, Inc.",v5_257
BACO PROPERTIES,v5_258
BAD ROBOT,v5_259
BAK Festivals,v5_260
BAKERHOSTETLER,v5_261
Bakman Water Company,v5_262
BALACIANO GROUP,v5_263
BALBOA NEPHROLOGY MEDICAL GROUP,v5_264
BalestraWebb Law,v5_265
Barona Band of Mission Indians,dd_-1298
Barona Tribe,v5_267
BARRETT FAMILY HOLDINGS,v5_268
BASTRIRE AND MONTGOMERY ACCOUNTANTS,v5_269
BATTERY VENTURES,v5_270
BAUMAN CONSTRUCTION,v5_271
BAUMAN LANDSCAPE AND CONSTRUCTION,v5_272
Bay Area Association of SMACNA Chapters,v5_273
Bay Area French-American Federation of Teachers (Unitemized Member Contributions),v5_274
Bay Area Housing Action Coalition,dd_-16013
"Bay Cities Paving & Grading, Inc.",v5_276
"Bay Meadows Land Company, LLC (Stephen Pilch)",v5_277
BAY POINT CONTROL,v5_278
"Bayer US, LLC(Devon Anderson)",v5_279
Bayshire Senior Communities,v5_280
BAYSIDE REALTY,v5_281
BayWa R.E Solar Systems LLC(Ken Lima),v5_282
BBG COMMUNICATIONS,v5_283
BD J INJURY ATTORNEYS,v5_284
"BD&J, PC",v5_285
Beach Oil MAV Owner LLC-John Mckeown,v5_286
"Beazer Homes Holdings, LLC (Allan Merrill)",v5_287
BECKER LAW GROUP,v5_288
Beecan Health,v5_289
BELL ENTERPRISES,v5_290
BENTHAMITE,v5_291
BENTLEY AND MORE,v5_292
"Berding & Weil, LLP",v5_293
Bergelectric Corporation Contractors & Engineers,v5_294
BERGER AND HIPSKIND,v5_295
BERGMANKPRS,v5_296
Berkeley Council of Classified Employees (Unitemized Member Contributions),v5_297
Berkeley Federation of Teachers (Unitemized Member Contributions),dd_-17146
Berkley Insurance Company,v5_299
BERRY PETROLEUM COMPANY LLC(BETH MILLS),nem_5c08ebff-a3e8-4119-92af-72bba2446dcb
Best Foot Forward Sales Inc.,v5_301
"Betfair Interactive US LLC dba FanDuel Group, Inc.(Jenny Kim)",v5_302
BEYOND FINANCE,v5_303
BH Partnership,v5_304
BH PROPERTIES,v5_305
BIG SANDY RANCHERIA,v5_306
BIG SANDY RANCHERIA WESTERN MONO INDIANS OF CALIFORNIA,v5_307
Biogen Inc.,dd_-1482
"BioMarin Pharmaceutical, Inc.",dd_-1483
Bisnar Chase (Brian Chase),v5_310
BISNAR CHASE PERSONAL INJURY ATTORNEYS,dd_-1492
BKF Engineers,v5_312
Blach Construction Company,v5_313
BLACKCOMB ADVISORS,v5_314
"Blackstone Gaming, LLC(Tuan Thai)",dd_-15030
BLADE ENTERPRISES AND AFFILIATED ENTITIES,v5_316
BLANCO HOPKINS AND ASSOCIATES,v5_317
BLANDFORD GROUP,v5_318
Blieu Companies LLC(John Bigley),v5_319
"Blitz Studios, Inc. dba Sleeper",v5_320
BLOIS CONSTRUCTION,v5_321
"Blois Construction, Inc.",v5_321
Bloom Energy Corporation,dd_-1516
Blue Diamond Growers,dd_-1522
Blue Shield of California,nem_4234d4ef-263c-4213-a1da-eaf2f1a71b3d
BLUE SHIELD OF CALIFORNIA,nem_4234d4ef-263c-4213-a1da-eaf2f1a71b3d
BluePath Health Inc.,v5_325
BLUMAX PARTNERS,v5_326
BluPeak Credit Union,v5_327
"BNBuilders, Inc.",v5_328
BNK LAW,v5_329
BNSF Railway Company,dd_-1541
"Boehringer Ingelheim Pharmaceuticals, Inc USA",v5_331
"Boehringer Ingelheim Pharmaceuticals, Inc.",dd_-1561
BOHANNON DEVELOPMENT,v5_333
Bohannon Development Company,v5_333
Boilermakers Local #92 (Intermediary for Unitemized Union Member Contributions),dd_-6636
BONESO PLUMBING AND MECHANICAL,v5_335
"BORBA, INC. AND AFFILIATED ENTITIES",v5_336
Border Health Federal PAC,v5_337
BORIS,v5_338
BOS FAMILY,v5_339
"Boxer & Gerson, LLP",dd_-1583
Boyett Petroleum,v5_341
BP LAB SERVICES,v5_342
Bradford Portraits,v5_343
BRASS ALUMINUM FORGING,v5_344
Braun Electric Co. Inc.,v5_345
BRDBND,v5_346
BRE Hotels & Resorts LLC(Joe Berger),v5_347
BREWERY X,v5_348
Brian Watte Farms,v5_349
"Brick+Timber, Inc. *",v5_350
Bricklayers Local #3 (Intermediary for Unitemized Union Member Contributions),v5_351
Bricklayers Local #4 (Intermediary for Unitemized Union Member Contributions),v5_352
BRIDGE COUNSEL,v5_353
"Bridge Energy, Inc.",v5_354
Bristol Myers Squibb Company,dd_-1637
Bristol-Myers Squibb Company,dd_-1637
Brius,v5_356
Brookfield Prop Multi LLC (Michelle L. Campbell),v5_357
BROOKFIELD PROPERTY GROUP LLC(RESPONSIBLE OFFICER: CHRISTOPHER WONG),v5_358
Browning Automotive Group,v5_359
Brownstein Hyatt Farber Schreck LLP,dd_-1666
"Brownstein Hyatt Farber Schreck, LLP",dd_-1666
BRUCE GIBNEY,v5_361
"Bruce Mills Realtor, Inc.",v5_362
BRUDVIK,v5_363
Bruis,v5_364
BUCKEYE PROPERTIES,v5_365
Buckeye Properties; Lyn Konheim,v5_366
Buckingham Property Management,v5_367
Buena Vista Care Center,v5_368
Buena Vista Healthcare,v5_369
BUENA VISTA RANCHERIA OF ME-WUK INDIANS,v5_370
BuildCasa Inc,dd_-16159
BURNETTA DENHAM,v5_372
BUTTONWILLOW WAREHOUSE,v5_373
Buttonwillow Warehouse Company,v5_373
"C & A RESTAURANTS, INC AND AFFILIATED ENTITIES",v5_374
"C & N Reinforcing, Inc.",v5_375
C.J. Segerstrom & Sons,nem_6361c507-7622-41ff-b817-da720f75e7e6
C.J. Segerstrom & Sons Inc,nem_6361c507-7622-41ff-b817-da720f75e7e6
"C.T.L. Management, Inc.",v5_377
"CA Assn of Highway Patrolmen, Intermediary for contributions under $100:",v5_378
CA CAR GROUP,v5_379
CA State Association of Electrical Workers,dd_-2927
Cabrillo College Federation of Teachers (Unitemized Member Contributions),dd_-634
CAHIP - California Agents and Health Insurance Professionals,v5_381
CAHIP- San Diego,v5_382
CAHIP-Orange County,v5_383
CAHUILLA BAND OF INDIANS,dd_-16426
Cal Pacific Supply,v5_385
Cal Pacific Supply Inc.,v5_385
"Cal Tex Cattle Co, Inc.",v5_386
Cal-American Corporation*,v5_387
Calaveras Telephone Company,v5_388
Calftech,v5_389
CALIFORNIA ALLIANCE OF FAMILY OWNED BUSINESSES,nem_9b4f9aac-87d9-4d2b-b8c8-743708587f3a
California Ambulatory Surgery Association,dd_-1821
California American Water Company,v5_392
California Applicants' Attorneys Association,dd_-1840
California Asian Pacific Chamber of Commerce,dd_-1849
CALIFORNIA ASSEMBLY,v5_395
California Assn of Prof Scient (intermediary for unitemized member dues),v5_396
California Association for Nurse Practitioners - Orange County Chapter,v5_397
California Association of Health Facilities (CAHF),dd_-1919
California Association of Highway Patrolmen,dd_-1928
California Association of Hospitals and Health Systems (CAHHS) Administrative,v5_400
California Association of Hospitals and Health Systems (CAHHS) NM,v5_401
California Association of Marriage & Family Therapists,dd_-1948
California Association of Nurse Anesthesiology,dd_-17500
California Association of Pest Control Advisors,v5_404
California Association of Pest Control Advisors (Restricted Use Account),v5_404
California Association of Sheet Metal & Air Conditioning Contractors National Association,dd_-2001
California Attractions and Parks Association,dd_-2031
California Auto Finance,v5_407
CALIFORNIA AUTOMOTIVE GROUP,v5_408
CALIFORNIA AUTOMOTIVE RETAILING GROUP,v5_409
CALIFORNIA BACK AND PAIN SPECIALISTS,v5_410
California Beer and Beverage Distributors,dd_-2053
California Broadband & Video Associates,v5_412
California Broadband & Video Association,dd_-15303
California Cattlemen's Association,dd_-2103
California Charter Schools Association Advocates,nem_fc910826-b2f3-41b6-8cfd-e037be02f429
CALIFORNIA CHARTER SCHOOLS ASSOCIATION ADVOCATES,nem_fc910826-b2f3-41b6-8cfd-e037be02f429
California Citrus Mutual,dd_-2153
California Citrus Mutual (Restricted Use Account),dd_-2153
California Coast Credit Union,dd_-2181
California Coast CU (Indep Expenditure Account),v5_418
California Commerce Club Inc.,dd_-2190
"California Commerce Club, Inc.",dd_-2190
CALIFORNIA COMMUNITY FOUNDATION,dd_-2207
California Construction & Industrial Materials Association,dd_-2226
California Correctional Peace Officers Association (intermediary for members under $100),dd_-2237
California Correctional Peace Officers Association (intermidiary for members under $100),dd_-2237
California Correctional Supervisors Organization Inc.,dd_-2244
California Council for Affordable Housing,dd_-15747
California Credit Union,dd_-2280
California Credit Union League (CCUL Admin),dd_-2280
California Credit Union League (CCUL Independent Expenditure Account),dd_-2280
California Credit Union League (CCUL),dd_-2280
"California Dairies, Inc",dd_-2283
"California Dairies, Inc.",dd_-2283
"California Dairies, Inc. (Restricted Use Account)",dd_-2283
California Dental Association,dd_-2294
California Dental Hygienists' Association,dd_-2295
CALIFORNIA EB5 INVESTMENTS,v5_429
California Electrical Contractors,dd_-2345
"California Engineering Contractors, Inc.",v5_431
California Environmental Voters,dd_-12952
California Faculty Association,dd_-2360
CALIFORNIA FAMILIES IN FOCUS,v5_434
CALIFORNIA FAMILY FOODS,v5_435
California Farm Bureau Federation,dd_-10
CALIFORNIA FOREVER,v5_437
California Forever LP,v5_437
"California Forever, Inc.",v5_437
California Fresh Fruit Association,dd_-2405
California Fresh Fruit Association (Restricted Use Account),dd_-2405
California Fuels & Convenience Alliance,dd_-2477
California Grand Casino,dd_-2419
CALIFORNIA HEALTHCARE INSURANCE COMPANY INC RRG,v5_441
California Healthcare Insurance Company/ Optima,v5_442
California IATSE Council,dd_-17133
CALIFORNIA INSURANCE COMMISSIONER,v5_444
California Legislative Conference,v5_445
"California Legislative Conference of the Plumbing, Heating & Piping Industry",v5_446
California Life Sciences,dd_-2554
CALIFORNIA LIVER RESEARCH CENTER,v5_448
CALIFORNIA MEDICAL ASSOCIATION,dd_-19
California Mortgage Bankers Association,dd_-2599
California New Car Dealers Association,dd_-2638
CALIFORNIA NORTHSTATE UNIVERSITY,v5_452
California Nurses Association,dd_-2666
California Optometric Association,dd_-2683
California Pacific Physicians Medical Group Inc.,v5_455
CALIFORNIA PARTNERSHIP FOR HEALTH,v5_456
California Primary Care Association Advocates,dd_-2748
CALIFORNIA PRIMARY CARE ASSOCIATION ADVOCATES,dd_-2748
California Resource Corporation,dd_-2823
California Resources Corporation,dd_-2823
"California Resources Corporation (CRC) Services, LLC",dd_-2823
California Resources Corporation and Subsidiaries,dd_-2823
California Resources Corporation and Subsidiaries(Clio C. Crespy),dd_-2823
California Resources Corporation and Subsidiaries(Jas Sajjan),dd_-2823
California Resources Corporation and Subsidiaries(Matthew Alvarez),dd_-2823
"California Resources Corporation Services (CRC), LLC",dd_-2823
California Rice Industry Association,dd_-2838
California Rice Industry Association (Restricted Use Account),dd_-2838
CALIFORNIA STATE ASSEMBLY,v5_460
CALIFORNIA STATE COASTAL CONSERVANCY,v5_461
California State Council of Service Employees Issue Advocacy,dd_-2869
California State Lodge Fraternal Order of Police (Intermediary for members under $100),dd_-5632
CALIFORNIA STATE SENATE,dd_-2872
California Statewide Law Enforcement Association (intermediary for individual members under $100),dd_-3020
California Travel Association,dd_-3067
California Truck Centers,v5_467
California Water Association,dd_-3091
California Water Service Company,dd_-3096
California YIMBY,dd_-15110
California-Nevada Conference of Operating Engineers,dd_-6684
CALL THE CAR,v5_472
"CalNRG Operating, LLC",v5_473
Calpine Corporation,nem_03177362-6720-4a15-b321-3c3f555e3528
CALPINE CORPORATION,nem_03177362-6720-4a15-b321-3c3f555e3528
CalPortland Company,dd_-2739
"CAM-BAS, INC. AND AFFILIATED ENTITIES",v5_476
Cambridge HC Svcs,v5_477
Cambridge Healthcare Services (Cassie Dunham),v5_478
Cambridge Healthcare Services LLC,v5_478
Cambridge Healthcare Svcs,v5_479
Camden Property Trust,v5_480
"CAMIDA, INC AND AFFILIATED ENTITIES",v5_481
CAMINO REAL CHEVROLET,v5_482
CAMP LOGISTICS,v5_483
CAMPOS BROTHERS FARMS,v5_484
"CANCOR, INC.",v5_485
CAND,v5_486
Cannery Row Company,v5_487
Cannon Management Company,v5_488
Cannon Management Company*,v5_489
"Canopy AG, LLC",v5_490
Canopy Health,v5_491
CANTU CONSTRUCTION,v5_492
"Capital City Drywall, Inc.",v5_493
CAPITOL FAMILY MEDICAL ASSOCIATES,v5_494
Capitol Volkswagen,v5_495
Car Pros Kia Glendale,v5_496
CARGO SOLUTION,v5_497
CARLETON MANAGEMENT,v5_498
Carpenter & Zuckerman LLP (John Carpenter),v5_499
CARRILLO LAW FIRM,v5_500
Carsey Living Trust (Marcia Carsey),v5_501
CARUSO,v5_502
CARVANA,v5_503
"Carvana, LLC",v5_503
Casa de Amigos MHP,v5_504
Casa De Amigos MHP,v5_504
Casa Grande Mobilehome Estates,v5_505
Casaca Vineyards,v5_506
CASEY GERRY FRANCAVILLA AND BLATT,v5_507
CASEYGERRY,v5_508
"Castle Creek Management Company, Inc *",v5_509
CASTLEROCK MANAGEMENT,v5_510
"Caterpillar, Inc.",dd_-3286
CBIZ,v5_512
CCA-Verdugo Hills District Chiropractic Clinic,v5_513
CCHA,v5_514
"CDJ INVESTMENT GROUP, INC AND AFFILIATED ENTITIES",v5_515
"CDM Constructors, Inc.",v5_516
CEDARS SINAI HEALTH SYSTEM,v5_517
CEDARS TOWERS SURGICAL MEDICAL GROUP,v5_518
CELIS LAW GROUP,v5_519
Cement Masons Union #400 (Intermediary for Unitemized Union Member Contributions),v5_520
Cemex,dd_-3333
CEMEX Materials LLC,dd_-3333
"CEMEX Materials, LLC",dd_-3333
"Cemex, Inc.",dd_-3333
"Cemex, Inc. and Affiliated Entities(Joel Galassini)",dd_-3333
Cencal Services Inc.,v5_522
CENTAURUS FINANCIAL,v5_523
Centene and its Affiliate Health Net,dd_-3341
CENTENE AND ITS AFFILIATE HEALTH NET,dd_-3341
"Centene and its affiliate Health Net Community Solutions, Inc.",v5_525
Centene and its affiliate Health Net(Allissa Ko),dd_-3341
Centene and its Affiliate Health Net(Katie Phillips),dd_-3341
Centene Management Company LLC (Katie Phillips),dd_-3341
Centene Management Company LLC (Restricted Use Account)(James Adams),dd_-3341
Centene Management Company LLC(James Adams),dd_-3341
"Centene Management Company, LLC and its affiliate Health Net",dd_-3341
CENTER FOR AMERICAN PROGRESS,v5_526
