canonical_entity_id,canonical_entity_name,link_tier,raw_name_variants,n_name_variants,code_final,n_contributors,n_from_pipeline,n_from_manual_review,code_sources,roles,rule_code_variants,code_conflict,conflict_type,n_as_direct_contributor,n_as_employer,conflict_resolution_code
dd_-6897,Kaiser Permanente,dd_org_concept,KAISER PERMANENTE | KAISER PERMANENTE FOUNDATION HEALTH PLAN,2,60,8,8,0,pre_classified (locked) | rule (employer_lookup),employer,,TRUE,manual_vs_pipeline,0,11,NA
nem_deaafbda-c611-40d2-9590-30d88ab4760d,COMCAST,names_mapping,"Comcast | Comcast Cable Communications | Comcast Corporation | COMCAST CORPORATION | Comcast Corporation and Affiliated Entities | Comcast Corporation and Affiliated Entities Including NBCUniversal Media LLC | Comcast Corporation and Affiliated Entities including NBCUniversal Media LLC(John Mannion) | COMCAST CORPORATION AND AFFILIATED ENTITIES, INCLUDING NBCUNIVERSAL MEDIA LLC | Comcast Financial Agency Corp. | Comcast Financial Agency Corporation",10,100,1,0,1,manual_review,employer,20,TRUE,direct_vs_employer; manual_vs_pipeline,9,1,NA
nem_deaafbda-c611-40d2-9590-30d88ab4760d,COMCAST,names_mapping,"Comcast | Comcast Cable Communications | Comcast Corporation | COMCAST CORPORATION | Comcast Corporation and Affiliated Entities | Comcast Corporation and Affiliated Entities Including NBCUniversal Media LLC | Comcast Corporation and Affiliated Entities including NBCUniversal Media LLC(John Mannion) | COMCAST CORPORATION AND AFFILIATED ENTITIES, INCLUDING NBCUNIVERSAL MEDIA LLC | Comcast Financial Agency Corp. | Comcast Financial Agency Corporation",10,20,8,2,6,manual_review | ml+llm agreement,direct_contributor,,TRUE,direct_vs_employer; manual_vs_pipeline,9,1,NA
nem_deaafbda-c611-40d2-9590-30d88ab4760d,COMCAST,names_mapping,"Comcast | Comcast Cable Communications | Comcast Corporation | COMCAST CORPORATION | Comcast Corporation and Affiliated Entities | Comcast Corporation and Affiliated Entities Including NBCUniversal Media LLC | Comcast Corporation and Affiliated Entities including NBCUniversal Media LLC(John Mannion) | COMCAST CORPORATION AND AFFILIATED ENTITIES, INCLUDING NBCUNIVERSAL MEDIA LLC | Comcast Financial Agency Corp. | Comcast Financial Agency Corporation",10,99,1,1,0,pre_classified (locked),direct_contributor,,TRUE,direct_vs_employer; manual_vs_pipeline,9,1,NA
dd_-2823,California Resources Corporation,dd_org_concept,"California Resource Corporation | California Resources Corporation | California Resources Corporation (CRC) Services, LLC | California Resources Corporation and Subsidiaries | California Resources Corporation and Subsidiaries(Clio C. Crespy) | California Resources Corporation and Subsidiaries(Jas Sajjan) | California Resources Corporation and Subsidiaries(Matthew Alvarez) | California Resources Corporation Services (CRC), LLC | CRC Services, LLC | CRC Services, LLC(Maria Sperber)",10,21,8,0,8,manual_review,direct_contributor,,TRUE,manual_vs_pipeline,10,0,NA
dd_-2823,California Resources Corporation,dd_org_concept,"California Resource Corporation | California Resources Corporation | California Resources Corporation (CRC) Services, LLC | California Resources Corporation and Subsidiaries | California Resources Corporation and Subsidiaries(Clio C. Crespy) | California Resources Corporation and Subsidiaries(Jas Sajjan) | California Resources Corporation and Subsidiaries(Matthew Alvarez) | California Resources Corporation Services (CRC), LLC | CRC Services, LLC | CRC Services, LLC(Maria Sperber)",10,50,1,1,0,rule+llm agreement,direct_contributor,,TRUE,manual_vs_pipeline,10,0,NA
dd_-2823,California Resources Corporation,dd_org_concept,"California Resource Corporation | California Resources Corporation | California Resources Corporation (CRC) Services, LLC | California Resources Corporation and Subsidiaries | California Resources Corporation and Subsidiaries(Clio C. Crespy) | California Resources Corporation and Subsidiaries(Jas Sajjan) | California Resources Corporation and Subsidiaries(Matthew Alvarez) | California Resources Corporation Services (CRC), LLC | CRC Services, LLC | CRC Services, LLC(Maria Sperber)",10,60,1,0,1,manual_review,direct_contributor,,TRUE,manual_vs_pipeline,10,0,NA
nem_f97fecf7-865e-4caf-b345-bc06731f39c1,HARBOR DISTRIBUTING,names_mapping,"Harbor Distributing LLC | Harbor Distributing LLC(David K. Reyes) | Harbor Distributing, LLC | HARBOR DISTRIBUTING, LLC | Harbor Distributing, LLC (Lara Dunbar) | Harbor Distributing, LLC.(David Reyes) | Harbor Distributing, LLC(David K Reyes) | Harbor Distributing, LLC(David K. Reyes) | Harbor Distributing, LLC(Lara Dunbar)",9,80,9,9,0,os+llm agreement,direct_contributor,,FALSE,NA,9,0,NA
dd_-329,"Airbnb, Inc.",dd_org_concept,"AIRBNB | Airbnb Inc. | AirBnB Inc. | AIRBNB INC. | Airbnb, Inc. | AirBnb, Inc. | AIRBNB, INC.",7,79,8,7,1,manual_review | pre_classified (locked),both,,FALSE,NA,6,2,NA
dd_-3341,"Centene Management Company, LLC",dd_org_concept,"Centene and its Affiliate Health Net | CENTENE AND ITS AFFILIATE HEALTH NET | Centene and its affiliate Health Net(Allissa Ko) | Centene and its Affiliate Health Net(Katie Phillips) | Centene Management Company LLC (Katie Phillips) | Centene Management Company LLC (Restricted Use Account)(James Adams) | Centene Management Company LLC(James Adams) | Centene Management Company, LLC and its affiliate Health Net",8,52,8,2,6,manual_review | ml+llm agreement | pre_classified (locked),direct_contributor,,FALSE,NA,8,0,NA
dd_-2,Chevron Corporation,dd_org_concept,"Chevron | CHEVRON | Chevron Corporation | Chevron U.S.A Inc. | Chevron U.S.A. Inc | Chevron U.S.A., Inc. | Chevron USA Inc. | Chevron USA, Inc.",8,21,8,4,4,manual_review | os+llm agreement | pre_classified (locked) | rule+llm agreement,direct_contributor,,FALSE,NA,8,0,NA
v5_1444,LIGHTHOUSE WORLDWIDE SOLUTIONS,name_v5,LIGHTHOUSE WORLDWIDE SOLUTIONS,1,31-33,8,8,0,pre_classified (locked),employer,,FALSE,NA,0,8,NA
nem_ea50ed39-2a57-47be-a9de-fcb9aa6db4f2,PG&E,names_mapping,Pacific Gas & Electric (PG&E) Corporation | Pacific Gas & Electric Corporation (PG&E) | PG & E Corporation | PG & E Corporation (Restricted Use Account) | PG&E | PG&E Corporation | PG&E Corporation and Affiliated Entities | PG&E CORPORATION AND AFFILIATED ENTITIES,8,20,8,4,4,manual_review | ml+llm agreement,direct_contributor,,FALSE,NA,8,0,NA
dd_-2869,Service Employees International Union (SEIU),dd_org_concept,California State Council of Service Employees Issue Advocacy | SEIU 121RN (intermediary for unitemized member dues) | SEIU California State Council | SEIU Local 2015 | Service Employees International Union Local 1000 | Service Employees International Union Local 1021 | Service Employees International Union Local 121 RN | Service Employees International Union Local 99,8,77,8,0,8,manual_review,direct_contributor,,FALSE,NA,8,0,NA
v5_181,ANTHROPIC,name_v5,ANTHROPIC,1,79,7,7,0,pre_classified (locked) | rule+llm agreement,employer,,FALSE,NA,0,7,NA
dd_-493,"Altria Group, Inc.",dd_org_concept,"Altria Client Services LLC | Altria Client Services, LLC(Joel S. Aurora) | Philip Morris USA Inc. and its Affiliates | PHILIP MORRIS USA INC. AND ITS AFFILIATES | PHILIP MORRIS USA INC. AND ITS AFFILIATES(CHEYANNE COOK) | Philip Morris USA Inc., & it's Affiliates | Philip Morris USA Inc., and its Affiliates",7,31-33,6,1,5,manual_review | os+llm agreement,direct_contributor,,TRUE,manual_vs_pipeline,7,0,NA
dd_-493,"Altria Group, Inc.",dd_org_concept,"Altria Client Services LLC | Altria Client Services, LLC(Joel S. Aurora) | Philip Morris USA Inc. and its Affiliates | PHILIP MORRIS USA INC. AND ITS AFFILIATES | PHILIP MORRIS USA INC. AND ITS AFFILIATES(CHEYANNE COOK) | Philip Morris USA Inc., & it's Affiliates | Philip Morris USA Inc., and its Affiliates",7,50,1,1,0,ml+llm agreement,direct_contributor,,TRUE,manual_vs_pipeline,7,0,NA
nem_201542d2-c6ef-4adc-b561-9ab23aca193b,EDISON INTERNATIONAL,names_mapping,Edison International | Edison International & Affiliated Entities | EDISON INTERNATIONAL & AFFILIATED ENTITIES | Edison International and Affiliated Entities | EDISON INTERNATIONAL AND AFFILIATED ENTITIES | Southern CA Edison | Southern California Edison,7,20,7,6,1,manual_review | os+llm agreement,direct_contributor,,FALSE,NA,7,0,NA
nem_afd4c1fc-7914-4027-be63-1c0d91530150,LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL 89,names_mapping,LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL 89 | Laborers Local #1184 (Intermediary for Unitemized Union Member Contributions) | Laborers Local #1309 (Intermediary for Unitemized Union Member Contributions) | Laborers Local #300 (Intermediary for Unitemized Union Member Contributions) | Laborers Local #89 (Intermediary for Unitemized Union Member Contributions) | Laborers' International Union of North America | Laborers' International Union of North America Local 1309,7,77,7,0,7,manual_review,direct_contributor,,FALSE,NA,7,0,NA
v5_2329,STATE OF CALIFORNIA,name_v5,STATE OF CALIFORNIA,1,50,1,0,1,manual_review,employer,92,TRUE,manual_vs_pipeline,0,7,NA
v5_2329,STATE OF CALIFORNIA,name_v5,STATE OF CALIFORNIA,1,92,6,5,1,manual_review | pre_classified (locked) | rule+llm agreement,employer,,TRUE,manual_vs_pipeline,0,7,NA
dd_-11333,"TELACU Industries, Inc.",dd_org_concept,"TELACU INDUSTRIES | Telacu Industries Inc | Telacu Industries, Inc. | TELACU Industries, Inc.",4,40,1,0,1,manual_review,employer,,TRUE,direct_vs_employer; manual_vs_pipeline,3,4,NA
dd_-11333,"TELACU Industries, Inc.",dd_org_concept,"TELACU INDUSTRIES | Telacu Industries Inc | Telacu Industries, Inc. | TELACU Industries, Inc.",4,50,6,6,0,pre_classified (locked),both,,TRUE,direct_vs_employer; manual_vs_pipeline,3,4,NA
v5_2479,THE WONDERFUL,name_v5,THE WONDERFUL | The Wonderful Company LLC (Stewart A. Resnick) | The Wonderful Company LLC(Stewart A. Resnick) | The Wonderful Company LLC(Stewart Resnick),4,31-33,7,3,4,manual_review | pre_classified (locked),both,,FALSE,NA,3,4,NA
dd_-15113,United Auto Workers (UAW),dd_org_concept,UAW LOCAL 2865 | UAW Local 4123 | UAW LOCAL 4123 | UAw Local 4811 | UAW Local 4811 | UAW LOCAL 4811 | UAW Local 5810,7,77,7,0,7,manual_review,direct_contributor,,FALSE,NA,7,0,NA
dd_-1153,AT&T,dd_org_concept,"AT T | AT&T and Affiliated Entities | AT&T Services Inc. and its Affiliates | AT&T SERVICES INC. AND ITS AFFILIATES | AT&T Services, Inc. & its Affiliates | AT&T Services, Inc. and its Affiliates",6,20,6,1,5,manual_review | os+llm agreement,both,,FALSE,NA,5,1,NA
dd_-5254,Fanduel Inc.,dd_org_concept,"Fanduel Group, Inc. | FanDuel Group, Inc. | FanDuel Inc | Fanduel Inc. | FanDuel Inc. | FANDUEL INC.",6,70,6,6,0,os+llm agreement | rule+llm agreement,direct_contributor,,FALSE,NA,6,0,NA
dd_-6669,International Longshore and Warehouse Union (ILWU),dd_org_concept,"ILWU Local 13 | International Longshore & Warehouse Union Local 13 | International Longshore & Warehouse Union, Local 63 | International Longshore and Warehouse Union Foremen's Local 94 (Admin) | International Longshore and Warehouse Union Local 13",5,77,6,0,6,manual_review,direct_contributor,,FALSE,NA,6,0,NA
nem_069b4587-ae27-4d5d-b860-7c4bd69439a9,PEPSICO,names_mapping,"Pepsico | Pepsico Inc. | PEPSICO INCORPORATED AND AFFILIATED ENTITIES | PepsiCo, Inc. | PepsiCo, Inc. and Affiliated Entities | Pepsico, Incorporated and Affiliated Entities",6,31-33,6,6,0,os+llm agreement,direct_contributor,,FALSE,NA,6,0,NA
dd_-3333,"Cemex, Inc.",dd_org_concept,"Cemex | CEMEX Materials LLC | CEMEX Materials, LLC | Cemex, Inc. | Cemex, Inc. and Affiliated Entities(Joel Galassini)",5,31-33,2,2,0,ml+llm agreement,direct_contributor,,TRUE,manual_vs_pipeline,5,0,NA
dd_-3333,"Cemex, Inc.",dd_org_concept,"Cemex | CEMEX Materials LLC | CEMEX Materials, LLC | Cemex, Inc. | Cemex, Inc. and Affiliated Entities(Joel Galassini)",5,40,3,0,3,manual_review,direct_contributor,,TRUE,manual_vs_pipeline,5,0,NA
dd_-3470,"Charter Communications, Inc.",dd_org_concept,"Charter Communications | Charter Communications Operating, LLC | Charter Communications Operating, LLC (Keri Askew Bailey) | Charter Communications Operating, LLC(Kara Bush) | Charter Communications Operating, LLC(Keri Askew Bailey)",5,20,5,2,3,manual_review | ml+llm agreement | os+llm agreement,direct_contributor,,FALSE,NA,5,0,NA
v5_750,Dimension Energy,name_v5,"Dimension Energy | Dimension Energy LLC (Brandon Smithwood) | Dimension Energy, LLC",3,20,5,4,1,manual_review | pre_classified (locked),direct_contributor,,FALSE,NA,5,0,NA
dd_-5194,Meta Platforms Inc. (Facebook),dd_org_concept,"Meta Platforms Inc | Meta Platforms Inc. | Meta Platforms, Inc | Meta Platforms, Inc. | META PLATFORMS, INC.",5,79,5,5,0,rule+llm agreement,direct_contributor,,FALSE,NA,5,0,NA
dd_-8615,Novartis Pharmaceuticals Corporation,dd_org_concept,"Novartis | Novartis Pharmaceuticals Corporation | Novartis Services Inc. | Novartis Services, Inc | Novartis Services, Inc.",5,31-33,4,1,3,manual_review | os+llm agreement,direct_contributor,50,TRUE,manual_vs_pipeline,5,0,NA
dd_-8615,Novartis Pharmaceuticals Corporation,dd_org_concept,"Novartis | Novartis Pharmaceuticals Corporation | Novartis Services Inc. | Novartis Services, Inc | Novartis Services, Inc.",5,76,1,0,1,manual_review,direct_contributor,50,TRUE,manual_vs_pipeline,5,0,NA
dd_-9440,Prime Healthcare Services Inc.,dd_org_concept,"PRIME HEALTHCARE | Prime Healthcare Services, Inc. | Prime Healthcare Services, Inc. and affiliated entities",3,60,5,3,2,manual_review | ml+llm agreement | pre_classified (locked),both,,FALSE,NA,2,3,NA
v5_2272,SMW,name_v5,SMW,1,40,1,0,1,manual_review,employer,,TRUE,within_manual_review,0,5,NA
v5_2272,SMW,name_v5,SMW,1,77,4,0,4,manual_review,employer,,TRUE,within_manual_review,0,5,NA
dd_-11213,SV Angel,dd_org_concept,SV ANGEL,1,52,5,5,0,pre_classified (locked) | rule (employer_lookup),employer,,FALSE,NA,0,5,NA
v5_2569,UC DAVIS HEALTH,name_v5,UC DAVIS HEALTH,1,60,5,5,0,ml+llm agreement | rule+llm agreement,employer,,FALSE,NA,0,5,NA
dd_-12078,"Uber Technologies, Inc.",dd_org_concept,"UBER TECHNOLOGIES | UBER Technologies Inc. | Uber Technologies, Inc. | UBER TECHNOLOGIES, INC.",4,79,5,5,0,pre_classified (locked) | rule+llm agreement,both,,FALSE,NA,4,1,NA
dd_-12279,"University of California, Los Angeles",dd_org_concept,UNIVERSITY OF CALIFORNIA LOS ANGELES,1,100,1,0,1,manual_review,employer,60,TRUE,manual_vs_pipeline,0,5,NA
dd_-12279,"University of California, Los Angeles",dd_org_concept,UNIVERSITY OF CALIFORNIA LOS ANGELES,1,60,4,4,0,pre_classified (locked) | rule (employer_lookup),employer,,TRUE,manual_vs_pipeline,0,5,NA
v5_37,ACCO ENGINEERED SYSTEMS,name_v5,ACCO ENGINEERED SYSTEMS,1,40,4,0,4,manual_review,employer,,FALSE,NA,0,4,NA
dd_-237,Adventist Health,dd_org_concept,ADVENTIST HEALTH,1,60,4,3,1,manual_review | pre_classified (locked),employer,,FALSE,NA,0,4,NA
dd_-276,Affirmed Housing Group,dd_org_concept,"AFFIRMED HOUSING | Affirmed Housing Group | Affirmed Housing Group Inc. | Affirmed Housing Group, Inc.",4,40,4,4,0,os+llm agreement,both,,FALSE,NA,3,1,NA
dd_-819,Anheuser-Busch Companies Inc.,dd_org_concept,Anheuser Busch | Anheuser Busch Companies | Anheuser-Busch Companies,3,31-33,4,4,0,ml+llm agreement,direct_contributor,,FALSE,NA,4,0,NA
v5_529,CENTINELA CAPITAL PARTNERS,name_v5,CENTINELA CAPITAL PARTNERS,1,52,4,0,4,manual_review,employer,,FALSE,NA,0,4,NA
dd_-2280,California Nevada Credit Union Leagues,dd_org_concept,California Credit Union | California Credit Union League (CCUL Admin) | California Credit Union League (CCUL Independent Expenditure Account) | California Credit Union League (CCUL),4,52,1,1,0,rule+llm agreement,direct_contributor,,TRUE,manual_vs_pipeline,4,0,NA
dd_-2280,California Nevada Credit Union Leagues,dd_org_concept,California Credit Union | California Credit Union League (CCUL Admin) | California Credit Union League (CCUL Independent Expenditure Account) | California Credit Union League (CCUL),4,76,3,0,3,manual_review,direct_contributor,52,TRUE,manual_vs_pipeline,4,0,NA
dd_-4351,Cox Communications Inc.,dd_org_concept,"Cox Communications | Cox Communications and Affiliated Entities | Cox Communications, Inc | Cox Communications, Inc.",4,20,4,4,0,os+llm agreement,direct_contributor,,FALSE,NA,4,0,NA
nem_9c10ce6c-4298-44a0-8db2-520d7dd8bfe6,E & J GALLO WINERY,names_mapping,E & J Gallo Winery | E & J GALLO WINERY | E. & J. Gallo Winery | E&J Gallo Winery Inc.,4,31-33,4,4,0,os+llm agreement | pre_classified (locked),direct_contributor,,FALSE,NA,4,0,NA
dd_-15185,Fox Corporation,dd_org_concept,Fox Corporate Services | Fox Corporation | FOX Corporation | FOX CORPORATION,4,70,4,1,3,manual_review | pre_classified (locked),both,,FALSE,NA,3,1,NA
dd_-6072,Habematolel Pomo Of Upper Lake,dd_org_concept,Habematolel Pomo of Upper Lake | Habematolel Pomo of Upper Lake (HPUL) | Habematolel Pomo of Upper Lake (HPUL) Project Operations | Habermatolel Pomo of Upper Lake,4,92a,4,0,4,manual_review,direct_contributor,,FALSE,NA,4,0,NA
dd_-6684,International Union of Operating Engineers (IUOE),dd_org_concept,California-Nevada Conference of Operating Engineers | International Union of Operating Engineers Local Union No. 3 (intermediary for unitemized member contributions) | Operating Engineers Local #12 (Intermediary for Unitemized Union Member Contributions) | Operating Engineers Local #3 (Intermediary for Unitemized Union Member Contributions),4,77,4,0,4,manual_review,direct_contributor,,FALSE,NA,4,0,NA
v5_1307,JULES AND ASSOCIATES,name_v5,"JULES AND ASSOCIATES | Jules and Associates, Inc. (Jules Buenabenta)",2,40,1,1,0,pre_classified (locked),employer,,TRUE,direct_vs_employer; manual_vs_pipeline,1,3,NA
v5_1307,JULES AND ASSOCIATES,name_v5,"JULES AND ASSOCIATES | Jules and Associates, Inc. (Jules Buenabenta)",2,52,3,2,1,manual_review | pre_classified (locked),both,,TRUE,direct_vs_employer; manual_vs_pipeline,1,3,NA
v5_1376,L.A. Taxi Cooperative Inc. dba Yellow Cab,name_v5,"L.A. Taxi Cooperative Inc. dba Yellow Cab | L.A. Taxi Cooperative Inc. DBA Yellow Cab | L.A. Taxi Cooperative, Inc. DBA Yellow Cab | L.A. Taxi Cooperative, Inc., dba Yellow Cab",4,20,4,4,0,rule+llm agreement,direct_contributor,,FALSE,NA,4,0,NA
v5_1538,MARTINIAN LAWYERS,name_v5,MARTINIAN LAWYERS,1,50,4,4,0,pre_classified (locked) | rule+llm agreement,employer,,FALSE,NA,0,4,NA
v5_1554,"McDonald's USA LLC, including McDonald's Corporation",name_v5,"McDonald's USA LLC, including McDonald's Corporation | McDonald's USA LLC, including McDonald's Corporation(Lauren Aguilar) | McDonald's USA, LLC, including McDonald's Corporation | McDonald's USA, LLC, including McDonald's Corporation(Lauren Aguilar)",4,80,4,4,0,ml+llm agreement,direct_contributor,,FALSE,NA,4,0,NA
dd_-17135,"Netflix, Inc.",dd_org_concept,NETFLIX,1,79,4,0,4,manual_review,employer,,FALSE,NA,0,4,NA
dd_-8790,Oportun Inc.,dd_org_concept,"Oportun Inc | Oportun Inc. | Oportun, Inc. | OPORTUN, INC.",4,52,4,4,0,pre_classified (locked),direct_contributor,,FALSE,NA,4,0,NA
dd_-15108,PBF Energy,dd_org_concept,"PBF Energy Western Region LLC | PBF Holding Company LLC(Arthur Warden III) | PBF Holding Company LLC(Betsy A. Brien) | PBF Holding Company, LLC",4,21,3,0,3,manual_review,direct_contributor,,TRUE,manual_vs_pipeline,4,0,NA
dd_-15108,PBF Energy,dd_org_concept,"PBF Energy Western Region LLC | PBF Holding Company LLC(Arthur Warden III) | PBF Holding Company LLC(Betsy A. Brien) | PBF Holding Company, LLC",4,31-33,1,1,0,ml+llm agreement,direct_contributor,,TRUE,manual_vs_pipeline,4,0,NA
v5_1860,Panish Shea Ravipudi LLP (Jessie Kohler),name_v5,"Panish Shea Ravipudi LLP (Jessie Kohler) | Panish Shea Ravipudi, LLP | Panish, Shea & Ravipudi, LLP | Panish, Shea, Ravipudi LLP",4,50,4,4,0,ml+llm agreement | pre_classified (locked),direct_contributor,,FALSE,NA,4,0,NA
v5_2078,RIPPLE,name_v5,RIPPLE,1,79,4,2,2,manual_review | rule (employer_lookup),employer,,FALSE,NA,0,4,NA
nem_d079c4a3-869d-479e-8088-9748f35874f2,SEMPRA ENERGY,names_mapping,Sempra | SEMPRA | Sempra Energy,3,20,4,1,3,manual_review | os+llm agreement,direct_contributor,,FALSE,NA,4,0,NA
dd_-10867,SOUTHERN GLAZER'S,dd_org_concept,"Southern Glazer's Wine & Spirits, LLC | Southern Glazer's Wine and Spirits LLC | Southern Glazer's Wine and Spirits, LLC | Southern Glazer's Wine and Spirits, LLC(Ryan Flanigan)",4,80,4,4,0,os+llm agreement,direct_contributor,,FALSE,NA,4,0,NA
dd_-10361,Santa Ynez Band Of Chumash Indians,dd_org_concept,Santa Ynez Band of Mission Indians | Santa Ynez Band Of Mission Indians | SANTA YNEZ BAND OF MISSION INDIANS,3,92a,4,4,0,pre_classified (locked),direct_contributor,,FALSE,NA,4,0,NA
dd_-15135,Signal Hill Petroleum Inc.,dd_org_concept,"Signal Hill Petroleum | Signal Hill Petroleum Inc. | Signal Hill Petroleum, Inc | Signal Hill Petroleum, Inc.",4,21,4,4,0,rule+llm agreement,direct_contributor,,FALSE,NA,4,0,NA
v5_2295,South Cord Management LLC,name_v5,"South Cord Management LLC | South Cord Management LLC (Elliot Lewis) | South Cord Management, LLC",3,50,4,4,0,pre_classified (locked),direct_contributor,,FALSE,NA,4,0,NA
v5_2310,Spencer Enterprises,name_v5,Spencer Enterprises | SPENCER ENTERPRISES,2,40,4,2,2,manual_review | pre_classified (locked),both,60,FALSE,NA,1,3,NA
dd_-11284,"Taylor And Ring, LLP",dd_org_concept,"Taylor & Ring | Taylor & Ring, LLP | TAYLOR AND RING",3,50,4,4,0,ml+llm agreement | os+llm agreement,both,,FALSE,NA,2,2,NA
dd_-15164,Turo Inc.,dd_org_concept,"Turo Inc | Turo Inc. | TURO INC. | Turo, Inc.",4,40,4,4,0,pre_classified (locked),direct_contributor,,FALSE,NA,4,0,NA
v5_2602,UNITED MECHANICAL,name_v5,UNITED MECHANICAL,1,40,4,2,2,manual_review | ml+llm agreement,employer,,FALSE,NA,0,4,NA
v5_2796,Y COMBINATOR,name_v5,Y COMBINATOR,1,52,4,4,0,rule+llm agreement,employer,,FALSE,NA,0,4,NA
v5_4,1PointFive US LLC(Kelsey Olson),name_v5,"1PointFive US LLC(Kelsey Olson) | 1PointFive US LLC(Michael Avery) | 1PointFive US, LLC",3,20,2,0,2,manual_review,direct_contributor,,TRUE,within_manual_review,3,0,NA
