entity_name,canonical_name,to_add_status,entity_status,entity_id,Contributor.ID,city,state,review_group_id,confirmed_link,confirmed,is_conflict,notes,link_methods,n_contributions,total_amount,zip
FACULTY FOR OUR UNIVERSITY'S FUTURE,FACULTY FOR OUR UNIVERSITY'S FUTURE,name is already canonical,adding_to_existing,4a599149-1397-4e75-9d59-a7db1c42c748,850007,Sacramento,CA,org_rg_21,yes,FALSE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,3,25000,95814
"FACULTY FOR OUR UNIVERSITY'S FUTURE, A COMMITTEE SPONSORED BY THE CALIFORNIA FACULTY ASSOCIATION",FACULTY FOR OUR UNIVERSITY'S FUTURE,in existing map,adding_to_existing,4a599149-1397-4e75-9d59-a7db1c42c748,850007,Sacramento,CA,org_rg_21,yes,TRUE,FALSE,,same_contributor_id,3,78400,95814-3905
"FACULTY FOR OUR UNIVERSITY'S FUTURE, LOCAL COMMITTEE SPONSORED BY THE CALIFORNIA FACULTY ASSOCIATION",FACULTY FOR OUR UNIVERSITY'S FUTURE,add to map,adding_to_existing,4a599149-1397-4e75-9d59-a7db1c42c748,850007,Sacramento,CA,org_rg_21,yes,FALSE,FALSE,,map1_bridge | same_contributor_id,1,65000,95814
CALIFORNIA REAL ESTATE PAC,CALIFORNIA ASSOCIATION OF REALTORS,in existing map,adding_to_existing,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,Los Angeles,CA,org_rg_24,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,39200,90020-1403
CALIFORNIA REAL ESTATE POLITICAL ACTION COMMITTEE,CALIFORNIA ASSOCIATION OF REALTORS,add to map,adding_to_existing,4b309bd1-b0a1-4b2d-b660-de28e0ab751e,890106,Los Angeles,CA,org_rg_24,yes,FALSE,FALSE,,map1_bridge | same_contributor_id,1,19600,90071-3314
CALIFORNIA MORTGAGE BANKERS ASSOCIATION PAC,CALIFORNIA MORTGAGE BANKERS ASSOCIATION,add to map,new_entity,346b66bd-930e-4919-88f2-44dbbb0dca2f,890152,Roseville,CA,org_rg_25,yes,FALSE,FALSE,,same_contributor_id,2,5000,95661
CALIFORNIA MORTGAGE BANKERS ASSOCIATION PAC (CAMPAC),CALIFORNIA MORTGAGE BANKERS ASSOCIATION,add to map,new_entity,346b66bd-930e-4919-88f2-44dbbb0dca2f,890152,Roseville,CA,org_rg_25,yes,FALSE,FALSE,,same_contributor_id,2,12000,95661 | 95661-3842
FOSTER POULTRY FARMS LLC (JAYSON PENN),FOSTER POULTRY FARMS,add to map,new_entity,f471e9bc-75b2-422f-8cc2-a0e279163150,NA,Livingston,CA,org_rg_254,yes,FALSE,FALSE,,exact_name_v4,1,10000,95334-1526
FOSTER POULTRY FARMS LLC(BILL MATTOS),FOSTER POULTRY FARMS,add to map,new_entity,f471e9bc-75b2-422f-8cc2-a0e279163150,NA,Livingston,CA,org_rg_254,yes,FALSE,FALSE,,exact_name_v4,1,3000,95344
"KINDRED HEALTHCARE OPERATING, LLC",KINDRED HEALTHCARE OPERATING,in existing map,adding_to_existing,679d3fa5-2d28-4392-ad76-a92da415c817,NA,Louisville,KY,org_rg_255,yes,TRUE,FALSE,,exact_name_v4,1,1000,40202
"KINDRED HEALTHCARE OPERATING, LLC(STEVE ALBRECHT)",KINDRED HEALTHCARE OPERATING,add to map,adding_to_existing,679d3fa5-2d28-4392-ad76-a92da415c817,NA,Louisville,KY,org_rg_255,yes,FALSE,FALSE,,exact_name_v4,1,2500,40202
"MCDONALD'S USA, LLC, INCLUDING MCDONALD'S CORPORATION",MCDONALD'S,add to map,new_entity,2e0f297b-4626-4da0-8509-86d3458f2d8e,NA,Chicago,IL,org_rg_256,yes,FALSE,FALSE,,exact_name_v4,1,5000,60607
"MCDONALD'S USA, LLC, INCLUDING MCDONALD'S CORPORATION(LAUREN AGUILAR)",MCDONALD'S,add to map,new_entity,2e0f297b-4626-4da0-8509-86d3458f2d8e,NA,Chicago,IL,org_rg_256,yes,FALSE,FALSE,,exact_name_v4,1,5000,60607
ARCADIAN INFRACOM,ARCADIAN INFRACOM,name is already canonical,new_entity,fe22b3d1-0174-42a2-a948-0d93997c4051,NA,St. Louis,MO,org_rg_257,yes,FALSE,FALSE,,exact_name_v5,1,2000,63108
"ARCADIAN INFRACOM, INC.",ARCADIAN INFRACOM,add to map,new_entity,fe22b3d1-0174-42a2-a948-0d93997c4051,NA,San Ramon,CA,org_rg_257,yes,FALSE,FALSE,,exact_name_v5,1,15000,94583-5110
CAL PACIFIC SUPPLY,CAL PACIFIC SUPPLY,name is already canonical,new_entity,157040a8-e5bc-4b33-abb6-d98d3af3ad9e,NA,Madera,CA,org_rg_258,yes,FALSE,FALSE,,exact_name_v5,1,25000,93637
CAL PACIFIC SUPPLY INC.,CAL PACIFIC SUPPLY,add to map,new_entity,157040a8-e5bc-4b33-abb6-d98d3af3ad9e,NA,Madera,CA,org_rg_258,yes,FALSE,FALSE,,exact_name_v5,1,5000,93637
CAMBRIDGE HEALTHCARE SERVICES (CASSIE DUNHAM),CAMBRIDGE HEALTHCARE SERVICES,add to map,new_entity,1074ba87-5505-4bca-831a-029e363b26d1,NA,Buena Park,CA,org_rg_259,yes,FALSE,FALSE,,exact_name_v5,1,10000,90620-1384
CAMBRIDGE HEALTHCARE SERVICES LLC,CAMBRIDGE HEALTHCARE SERVICES,add to map,new_entity,1074ba87-5505-4bca-831a-029e363b26d1,NA,Buena Park,CA,org_rg_259,yes,FALSE,FALSE,,exact_name_v5,1,10000,90620-1384
CALIFORNIA WATER ASSOCIATION PAC,CALIFORNIA WATER ASSOCIATION,in existing map,adding_to_existing,e85e93fb-c52c-4792-9015-920387c224fb,890906,Sacramento,CA,org_rg_26,yes,TRUE,FALSE,,map1_bridge | same_contributor_id,1,4000,95814
CALIFORNIA WATER ASSOCIATION POLITICAL ACTION COMMITTEE,CALIFORNIA WATER ASSOCIATION,add to map,adding_to_existing,e85e93fb-c52c-4792-9015-920387c224fb,890906,Sacramento,CA,org_rg_26,yes,FALSE,FALSE,,map1_bridge | same_contributor_id | same_contributor_id,3,49200,95814 | 95814-4503
KINGS OIL TOOLS,KINGS OIL TOOLS,name is already canonical,new_entity,91961377-b880-462b-a1ae-f8e6a45c7cad,NA,Paso Robles,CA,org_rg_261,yes,FALSE,FALSE,,exact_name_v5,1,2500,93446
KINGS OIL TOOLS INC,KINGS OIL TOOLS,add to map,new_entity,91961377-b880-462b-a1ae-f8e6a45c7cad,NA,Paso Robles,CA,org_rg_261,yes,FALSE,FALSE,,exact_name_v5,1,5000,93446
MCNICHOLAS & MCNICHOLAS LLP (MATTHEW S. MCNICHOLAS),MCNICHOLAS & MCNICHOLAS,add to map,new_entity,eb037b01-88d1-4a43-a479-022615a8aa08,NA,Los Angeles,CA,org_rg_262,yes,FALSE,FALSE,,exact_name_v5,1,39200,90024-4338
"MCNICHOLAS & MCNICHOLAS, LLP",MCNICHOLAS & MCNICHOLAS,add to map,new_entity,eb037b01-88d1-4a43-a479-022615a8aa08,NA,Los Angeles,CA,org_rg_262,yes,FALSE,FALSE,,exact_name_v5,1,5000,90024
MEDIC AMBULANCE SERVICE INC.,MEDIC AMBULANCE SERVICE,add to map,new_entity,da6b9fd4-b3f5-473f-90f3-cc388246fde0,NA,Vallejo,CA,org_rg_263,yes,FALSE,FALSE,,exact_name_v5,1,35000,94590-2408
"MEDIC AMBULANCE SERVICE, INC.",MEDIC AMBULANCE SERVICE,add to map,new_entity,da6b9fd4-b3f5-473f-90f3-cc388246fde0,NA,Fairfield,CA,org_rg_263,yes,FALSE,FALSE,,exact_name_v5,1,2500,94534
PANISH SHEA RAVIPUDI LLP (JESSIE KOHLER),PANISH SHEA RAVIPUDI,add to map,new_entity,168c1897-62ff-4f81-a8eb-45906083dcde,NA,Los Angeles,CA,org_rg_264,yes,FALSE,FALSE,,exact_name_v5,1,5000,90025-3341
"PANISH SHEA RAVIPUDI, LLP",PANISH SHEA RAVIPUDI,add to map,new_entity,168c1897-62ff-4f81-a8eb-45906083dcde,NA,Los Angeles,CA,org_rg_264,yes,FALSE,FALSE,,exact_name_v5,1,9800,90025
"PANISH, SHEA, RAVIPUDI LLP",PANISH SHEA RAVIPUDI,add to map,new_entity,168c1897-62ff-4f81-a8eb-45906083dcde,NA,Los Angeles,CA,org_rg_264,yes,FALSE,FALSE,,exact_name_v5,1,5000,90025
PWC US GROUP LLP,PRICEWATERHOUSE COOPERS,add to map,new_entity,21b255d5-219f-47d5-a815-bd9018ef9ed9,NA,New York,NY,org_rg_265,yes,FALSE,FALSE,didn't match to mapping,exact_name_v5,1,10000,10017-6232
"PWC US GROUP, LLP",PRICEWATERHOUSE COOPERS,add to map,new_entity,21b255d5-219f-47d5-a815-bd9018ef9ed9,NA,Tampa,FL,org_rg_265,yes,FALSE,FALSE,didn't match to mapping,exact_name_v5,1,3000,33607
SAN JOSE WATER,SAN JOSE WATER,name is already canonical,new_entity,47b3a389-d8dd-424a-b7d5-037bd0c66dae,NA,San Jose,CA,org_rg_266,yes,FALSE,FALSE,,exact_name_v5,1,500,95110
SAN JOSE WATER COMPANY,SAN JOSE WATER,add to map,new_entity,47b3a389-d8dd-424a-b7d5-037bd0c66dae,NA,San Jose,CA,org_rg_266,yes,FALSE,FALSE,,exact_name_v5,1,5000,95110-2131
STANISLAUS FOOD PRODUCTS COMPANY,STANISLAUS FOOD PRODUCTS,add to map,new_entity,527381c9-9828-4a49-97c1-069969d3f759,NA,Modesto,CA,org_rg_267,yes,FALSE,FALSE,,exact_name_v5,1,5000,95354
"STANISLAUS FOOD PRODUCTS, LLC",STANISLAUS FOOD PRODUCTS,add to map,new_entity,527381c9-9828-4a49-97c1-069969d3f759,NA,Modesto,CA,org_rg_267,yes,FALSE,FALSE,,exact_name_v5,1,5000,95354
SMART JUSTICE AMERICA ACTION FUND (FEC ID#C00889832),NA,don't add,new_entity,f9595f5c-2e3d-4a21-a460-c8679f394324,NA,Sacramento,CA,org_rg_268_a,no,FALSE,FALSE,,internal_fuzzy,1,50000,95815
SMART JUSTICE CALIFORNIA ACTION FUND,NA,don't add,new_entity,226722b3-f85a-4d86-ade1-e835d78a6a50,1423131,Sacramento,CA,org_rg_268_b,no,FALSE,FALSE,,internal_fuzzy,1,-12700,95815
J-C INVESTMENTS,NA,don't add,new_entity,1dc2a1b8-67d4-4fc4-8419-2b9fae3ee22a,NA,Downey,CA,org_rg_269_a,no,FALSE,FALSE,,internal_fuzzy,1,500,90240
"JMK INVESTMENTS, INC.",NA,don't add,new_entity,6a8ce842-e0ff-422d-821a-67c63bbe3179,NA,Santa Clara,CA,org_rg_269_b,no,FALSE,FALSE,,internal_fuzzy,1,500,95051
SPRINKLER FITTERS UNITED ASSOCIATION 709 P.A.C,SPRINKLER FITTERS UNITED ASSOCIATION 709,add to map,adding_to_existing,33b3b8db-4411-4661-aadd-97f80ac13802,901643,Whittier,CA,org_rg_27,yes,FALSE,FALSE,,same_contributor_id,1,5000,90606-2602
SPRINKLER FITTERS UNITED ASSOCIATION 709 P.A.C.,SPRINKLER FITTERS UNITED ASSOCIATION 709,add to map,adding_to_existing,33b3b8db-4411-4661-aadd-97f80ac13802,901643,Whittier,CA,org_rg_27,yes,FALSE,FALSE,,same_contributor_id,1,1000,90606-2602
BEHAN CONSTRUCTION,NA,don't add,new_entity,84996337-55c7-4dca-85e4-dab1be177ef4,NA,San Francisco,CA,org_rg_270_a,no,FALSE,FALSE,,internal_fuzzy,1,100,94112
VEEN CONSTRUCTION,NA,don't add,new_entity,02826bb8-0cb0-4fe7-87cb-0118721bcb0d,NA,Grover Beach,CA,org_rg_270_b,no,FALSE,FALSE,,internal_fuzzy,1,100,93433
"DWO ENTERPRISES, INC.",NA,don't add,new_entity,9bb924e8-2432-4335-99e0-ddca6dd00aa6,NA,Rancho Santa Fe,CA,org_rg_271_a,no,FALSE,FALSE,,internal_fuzzy,1,39200,92091
"SY ENTERPRISES, INC.",NA,don't add,new_entity,0ef69c8e-edfd-4e89-9c95-7311945fc5c9,NA,San Ysidro,CA,org_rg_271_b,no,FALSE,FALSE,,internal_fuzzy,1,5000,92173
LATEEFAH FOR CONGRESS,LATEEFAH SIMON FOR CONGRESS,add to map,new_entity,087819aa-6ae5-42da-bf44-512eb4b248e8,NA,Oakland,CA,org_rg_272,yes,FALSE,FALSE,,internal_fuzzy,1,1000,94612
LATEEFAH SIMON FOR CONGRESS,LATEEFAH SIMON FOR CONGRESS,name is already canonical,new_entity,fb5f0d71-1e30-47c5-bf9d-efe97fc43124,NA,Chicago,IL,org_rg_272,yes,FALSE,FALSE,,internal_fuzzy,1,1500,60603
LABORER'S UNION LOCAL NO. 777 PAC,NA,uncertain,new_entity,13b04cb3-1d69-4412-86ab-56418191ea8f,NA,Riverside,CA,org_rg_273_a,no,FALSE,FALSE,LABORERS INTERNATIONAL UNION OF NORTH AMERICA LOCAL 77? in cal access is: https://cal-access.sos.ca.gov/Campaign/Committees/Detail.aspx?id=1063204 ,internal_fuzzy,1,20000,92501-3510
LABORERS LOCAL UNION NO. 783-PAC,NA,don't add,new_entity,d5c853c7-af1c-4bc2-8ad2-67aa4ea9e11b,981333,San Bernardino,CA,org_rg_273_b,no,FALSE,FALSE,,internal_fuzzy,1,5000,92408-2110
D&N MANAGEMENT LLC (DOMINIC ASSALI),NA,don't add,new_entity,1af17db8-c171-4140-af28-13cf30b1a3a4,NA,Ceres,CA,org_rg_274_a,no,FALSE,FALSE,,internal_fuzzy,1,39200,95307-9527
NRD MANAGEMENT LLC (NATHAN DAVIT),NA,don't add,new_entity,47247f7b-dd5a-4c7d-bbfc-8550b9279acb,NA,Phoenix,AZ,org_rg_274_b,no,FALSE,FALSE,,internal_fuzzy,1,1000,85016-7849
"ACE PUBLIC ADJUSTERS, INC.",NA,don't add,new_entity,075f5946-8113-481d-b496-cac6cf891416,NA,Glendale,CA,org_rg_275_a,no,FALSE,FALSE,,internal_fuzzy,1,2500,91201
"TIR PUBLIC ADJUSTERS, LLC",NA,don't add,new_entity,9569099c-0849-46f8-9cd1-efde82ecc54d,NA,Glendale,CA,org_rg_275_b,no,FALSE,FALSE,,internal_fuzzy,1,500,91203
SUTTER EAST BAY MEDICAL GROUP INC.,SUTTER MEDICAL GROUP,add to map,new_entity,c0fef8bd-bc3d-45be-af2b-5803e95fb36a,NA,Oakland,CA,org_rg_276,yes,FALSE,FALSE,,internal_fuzzy,1,30000,94609-3108
SUTTER MEDICAL GROUP INC.,SUTTER MEDICAL GROUP,add to map,new_entity,c0fef8bd-bc3d-45be-af2b-5803e95fb36a,NA,Sacramento,CA,org_rg_276,yes,FALSE,FALSE,,internal_fuzzy,1,39200,95833-4134
SUTTER NORTH MEDICAL GROUP INC.,SUTTER MEDICAL GROUP,add to map,new_entity,c0fef8bd-bc3d-45be-af2b-5803e95fb36a,NA,Yuba City,CA,org_rg_276,yes,FALSE,FALSE,,internal_fuzzy,1,25000,95991-5005
FOWLER PACKING COMPANY INC.,FOWLER PACKING COMPANY,add to map,new_entity,79359c79-d846-47ea-879e-43d8bb2935cc,NA,Fresno,CA,org_rg_277,yes,FALSE,FALSE,,internal_fuzzy+map1_bridge,1,25000,93725
"FOWLER PACKING COMPANY, INC.",FOWLER PACKING COMPANY,add to map,new_entity,79359c79-d846-47ea-879e-43d8bb2935cc,NA,Fresno,CA,org_rg_277,yes,FALSE,FALSE,,internal_fuzzy+map1_bridge,1,10000,93725-8905
"VERIZON COMMUNICATIONS, INC.",VERIZON,add to map,adding_to_existing,ba347816-9ee3-4afc-ac68-f153e48456cd,NA,Sacramento,CA,org_rg_278,yes,FALSE,FALSE,didn't match to map,map1_bridge,1,25000,95814-5002
"VERIZON COMMUNICATIONS, INC. GOOD GOVERNMENT CLUB-CALIFORNIA",NA,add to map,adding_to_existing,ba347816-9ee3-4afc-ac68-f153e48456cd,790703,Newbury Park,CA,org_rg_278,yes,FALSE,FALSE,,map1_bridge,1,4900,91320
UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,add to map,adding_to_existing,760be8fd-377b-40de-b79f-aebf55ca929f,910874,Buena Park,CA,org_rg_28,yes,FALSE,FALSE,,same_contributor_id,1,2500,90620
