record_name,org_concept_name,oid
3strands global foundation,3 Strands Global,-59
3strands Global Foundation (Co-Sponsor),3 Strands Global,-59
Three Strands Global,3 Strands Global,-59
3-D Sheetmetal LLC,3-D Sheetmetal LLC,-18518
"3 G International, Inc","3-G International, Inc.",-18519
"3 G International, Inc.","3-G International, Inc.",-18519
"3-G International, Inc.","3-G International, Inc.",-18519
327 Kona LLC,327 Kona LLC,-18520
"327 Kona, LLC",327 Kona LLC,-18520
"327 Kona, LLC.",327 Kona LLC,-18520
350,350.org and Local Chapters,-15428
350 Bay Area,350.org and Local Chapters,-15428
350 Bay Area Action,350.org and Local Chapters,-15428
350 Bay Area Action and 350 Sacramento,350.org and Local Chapters,-15428
350 Bay Area Beyond the Pump,350.org and Local Chapters,-15428
350 bay area legislative bill review committee,350.org and Local Chapters,-15428
"350 Bay Area, Alameda Interfaith Climate Action",350.org and Local Chapters,-15428
"350 Bay Area, Alameda Interfaith Climate Action Network",350.org and Local Chapters,-15428
350 Bay South Bay Los Angeles,350.org and Local Chapters,-15428
350 bayarea,350.org and Local Chapters,-15428
350 BayArea Action/ 350 BayArea Transp.,350.org and Local Chapters,-15428
350 Butte County,350.org and Local Chapters,-15428
350 Canejo-San Fernando Valley,350.org and Local Chapters,-15428
350 Chico,350.org and Local Chapters,-15428
350 Conejo,350.org and Local Chapters,-15428
350 Conejo - San Fernando Valley,350.org and Local Chapters,-15428
350 Conejo San Fernando Valley,350.org and Local Chapters,-15428
350 Conejo/San Fernando Valley,350.org and Local Chapters,-15428
350 Contra Costa Action,350.org and Local Chapters,-15428
350 Contra Costa County,350.org and Local Chapters,-15428
350 East Bay,350.org and Local Chapters,-15428
"350 East Bay, Legislative Committee",350.org and Local Chapters,-15428
350 Hawaii,350.org and Local Chapters,-15428
350 Humboldt,350.org and Local Chapters,-15428
350 Humboldt County,350.org and Local Chapters,-15428
350 Humboldt Steering Committee,350.org and Local Chapters,-15428
"350 Humboldt, Grassroots Climate Action",350.org and Local Chapters,-15428
350 Humboldt: Grass Roots Climate Action,350.org and Local Chapters,-15428
"350 Humboldt: Grass Roots Climate Action, if amended",350.org and Local Chapters,-15428
350 Humbult,350.org and Local Chapters,-15428
350 Juneau,350.org and Local Chapters,-15428
350 Las Angeles,350.org and Local Chapters,-15428
350 Long Beach,350.org and Local Chapters,-15428
350 Marin,350.org and Local Chapters,-15428
350 Marin Action,350.org and Local Chapters,-15428
350 Orange,350.org and Local Chapters,-15428
350 Petaluma,350.org and Local Chapters,-15428
350 Riverside,350.org and Local Chapters,-15428
350 Sacramento,350.org and Local Chapters,-15428
350 Sacramento and Climate Action CA,350.org and Local Chapters,-15428
350 Sacramento'S Transportation Team,350.org and Local Chapters,-15428
350 San Diego,350.org and Local Chapters,-15428
350 San Fernando Valley,350.org and Local Chapters,-15428
350 San Francisco,350.org and Local Chapters,-15428
350 Santa Barbara,350.org and Local Chapters,-15428
350 Silicon Valley,350.org and Local Chapters,-15428
350 Silicon-Valley Telework Team,350.org and Local Chapters,-15428
350 Socal,350.org and Local Chapters,-15428
350 South Bay LA,350.org and Local Chapters,-15428
350 South Bay Los Angeles,350.org and Local Chapters,-15428
"350 South Bay, Los Angeles",350.org and Local Chapters,-15428
350 Southland,350.org and Local Chapters,-15428
350 Southland Alliance,350.org and Local Chapters,-15428
350 Southland Legislative Alliance,350.org and Local Chapters,-15428
350 Southland Legislative Committee,350.org and Local Chapters,-15428
350 Ventura,350.org and Local Chapters,-15428
350 Ventura County Climate Hub,350.org and Local Chapters,-15428
350.org,350.org and Local Chapters,-15428
"350.org Silicon Valley, XR Silicon Valle",350.org and Local Chapters,-15428
"350: Bay Area Action, Bay Area Group, Conejo / San Fernando Valley, Humboldt,",350.org and Local Chapters,-15428
"350: Bay Area Action, Butte County, Conejo",350.org and Local Chapters,-15428
"350: Bay Area Action, Butte County, Conejo, San Fernando Valley, Humboldt, Sacramento, San Diego, SoCal Climate Action, South Bay Los Angeles, Southland  Legislative Alliance, and Ventura County Clima",350.org and Local Chapters,-15428
"350: Bay Area Action, Conejo, So Cal, San Diego, South Bay LA, Southland",350.org and Local Chapters,-15428
"350: Bay Area Action, Humboldt, and Ventura County Climate Hub",350.org and Local Chapters,-15428
"350: Bay Area Action, Humboldt: Grass Roots Climate Action, Southland",350.org and Local Chapters,-15428
"350: Bay Area Action, Petaluma, Sacramento, SoCal Climate Action, and Ventura",350.org and Local Chapters,-15428
"350: Bay Area, Bay Area Action, Conejo/San Fernando Valley, Humboldt, San Diego, SoCal, South Bay Los",350.org and Local Chapters,-15428
350Hawaii,350.org and Local Chapters,-15428
350Hawaii.org,350.org and Local Chapters,-15428
350Hawaii.org Hawaii,350.org and Local Chapters,-15428
350Marin,350.org and Local Chapters,-15428
350Marin.org,350.org and Local Chapters,-15428
350s,350.org and Local Chapters,-15428
"350s: Bay Area Action, Sacramento, Ventura",350.org and Local Chapters,-15428
"350s: Bay Area, Conejo/San Fernando Valley, Contra Costa Action, Long Beach,",350.org and Local Chapters,-15428
"350s: Bay Area, Conejo/San Fernando Valley, Contra Costa Action, Long Beach, San Diego,",350.org and Local Chapters,-15428
"350s: Bay Area, Humboldt, San Diego, and Southland Legislative Alliance",350.org and Local Chapters,-15428
"350s: Conejo, Humboldt Grassroots Climate Action,",350.org and Local Chapters,-15428
"350s: Conejo, Humboldt, Sacramento Legislation Team, SoCal, South Bay LA,",350.org and Local Chapters,-15428
"350s: Conejo, Humboldt, SoCal, South Bay LA, Southland Legislative Alliance,",350.org and Local Chapters,-15428
350SV Palo Alto Climate Team,350.org and Local Chapters,-15428
Bay Area 350,350.org and Local Chapters,-15428
Bay Area Action,350.org and Local Chapters,-15428
Climate Action Rhode Island-350,350.org and Local Chapters,-15428
Climate Action San Diego 350,350.org and Local Chapters,-15428
"climate coalition, third act, 350",350.org and Local Chapters,-15428
"Climate Reality Project, 350 Bay Area",350.org and Local Chapters,-15428
CSCA 350,350.org and Local Chapters,-15428
Long Beach 350,350.org and Local Chapters,-15428
Napa Climate Now!/350 Bay Area Group,350.org and Local Chapters,-15428
"Protect Monterey Bay, 350 Bay Area Actio",350.org and Local Chapters,-15428
Sacramento 350,350.org and Local Chapters,-15428
san diego 350 climate change action,350.org and Local Chapters,-15428
San Luis Obispo 350,350.org and Local Chapters,-15428
SanDiego 350,350.org and Local Chapters,-15428
SanDiego350,350.org and Local Chapters,-15428
"Sierra Club, Climate Reality, 350.org",350.org and Local Chapters,-15428
So-Cal 350,350.org and Local Chapters,-15428
Socal 350,350.org and Local Chapters,-15428
SoCal 350 Action,350.org and Local Chapters,-15428
SoCal 350 Climate Action,350.org and Local Chapters,-15428
SoCal350 Climate Action,350.org and Local Chapters,-15428
South Bay 350 Climate Action Group,350.org and Local Chapters,-15428
South Bay 350 Los Angeles,350.org and Local Chapters,-15428
South Bay Los Angeles 350,350.org and Local Chapters,-15428
u 350 Bay Area,350.org and Local Chapters,-15428
​350 Conejo / San Fernando Valley,350.org and Local Chapters,-15428
3D Networks Corp,3D Networks Corp,-12956
3M,3M,-54
3M CO,3M,-54
3M Company,3M,-54
3M Health Information Systems Inc,3M,-54
"3M Health Information Systems, Inc.",3M,-54
3M Security Systems Division,3M,-54
3M Traffic Control Materials Division,3M,-54
3M Traffic Safety Systems Division,3M,-54
404 Media,404 Media,-18591
4085 Westheimer Holding Ltd.,4085 Westheimer Holding Ltd.,-61
4085 Westheimer Holdings Ltd.,4085 Westheimer Holding Ltd.,-61
442 LLC,442 LLC,-62
47th District Attorney's Office,47th District Attorneys Office,-63
47th District Attorneys Office,47th District Attorneys Office,-63
4c's of alameda county,4Cs of Alameda County,-65
4Cs of Alameda County,4Cs of Alameda County,-65
4c's of san mateo county,4Cs of San Mateo County,-66
4Cs of San Mateo County,4Cs of San Mateo County,-66
4X4 Wire.Com,4X4 Wire.Com,-69
4X4Wire.Com,4X4 Wire.Com,-69
5 Gyers Institute,5 Gyres,-73
5 Gyres,5 Gyres,-73
5 Gyres Institute,5 Gyres,-73
"5 gyres institute, the",5 Gyres,-73
5 Gyres Institute; The,5 Gyres,-73
5 Gyres Science To Solutions,5 Gyres,-73
5gyres,5 Gyres,-73
Five Gyres Institute,5 Gyres,-73
The 5 Gyres Institute,5 Gyres,-73
5 Minute Pharmacy,5 Minute Pharmacy,-19143
5 Minute Pharmacy LLC,5 Minute Pharmacy,-19143
"5 Minute Pharmacy, LLC",5 Minute Pharmacy,-19143
50 State LLC On Behalf Of War Horse,50 State LLC On Behalf Of War Horse,-70
500 Club Casino,500 Club Casino,-15047
537 LLC,"537, LLC",-71
"537, LLC","537, LLC",-71
6 Beds,"6BEDS, Inc.",-75
"6 Beds, Inc.","6BEDS, Inc.",-75
6Beds Inc,"6BEDS, Inc.",-75
6beds Inc.,"6BEDS, Inc.",-75
6Beds PAC,"6BEDS, Inc.",-75
6Beds Political Action Committee,"6BEDS, Inc.",-75
"6Beds, Inc","6BEDS, Inc.",-75
"6BEDS, Inc.","6BEDS, Inc.",-75
"6Beds, Inc. - Co-Sponsor","6BEDS, Inc.",-75
Six Beds Inc,"6BEDS, Inc.",-75
SixBeds.inc,"6BEDS, Inc.",-75
SixBeds.org,"6BEDS, Inc.",-75
7 Hope Alliance Foundation,7 Hope Alliance Foundation,-17396
7 - Eleven Inc.,7-Eleven,-76
7 Eleven  Inc.,7-Eleven,-76
7 ELEVEN INC.,7-Eleven,-76
"7 ELEVEN, INC.",7-Eleven,-76
7-11,7-Eleven,-76
"7-11, Inc.",7-Eleven,-76
7-Eleven,7-Eleven,-76
7-ELEVEN FOAGLA,7-Eleven,-76
7-Eleven Franchise Owner,7-Eleven,-76
7-Eleven Franchisee's PAC,7-Eleven,-76
7-Eleven Franchisee's Political Action Committee,7-Eleven,-76
7-ELEVEN INC,7-Eleven,-76
7-ELEVEN INC.,7-Eleven,-76
"7-ELEVEN, INC",7-Eleven,-76
"7-ELEVEN, INC.",7-Eleven,-76
"7-Eleven, Subway",7-Eleven,-76
7Eleven,7-Eleven,-76
7Eleven Inc,7-Eleven,-76
BELL 76 7-ELEVEN 39037,7-Eleven,-76
Franchise 8 7-Eleven from Sacramento,7-Eleven,-76
7ohBlack,7ohBlack,-17397
80TH REALTY,80TH REALTY,-78
"80TH REALTY GROUP, LLC",80TH REALTY,-78
82 12 HAWAII LLC,82 12 HAWAII LLC,-19256
850 Consulting Group LLC,850 consulting group llc,-12957
880 Pharmacy Inc,880 Pharmacy Inc.,-79
880 Pharmacy Inc.,880 Pharmacy Inc.,-79
8 MINUTE ENERGY RENEWABLES LLC,8MinuteEnergy Renewables,-80
"8 Minute Energy Renewables, LLC",8MinuteEnergy Renewables,-80
8 Minutenergy Renewables LLC,8MinuteEnergy Renewables,-80
8MINUTE ENERGY RENEWABLES LLC,8MinuteEnergy Renewables,-80
"8Minute Energy Renewables, LLC",8MinuteEnergy Renewables,-80
8minuteenergy,8MinuteEnergy Renewables,-80
8MinuteEnergy Renewables,8MinuteEnergy Renewables,-80
8MINUTEENERGY RENEWABLES LLC,8MinuteEnergy Renewables,-80
8MINUTENERGY Renewables,8MinuteEnergy Renewables,-80
8MINUTENERGY RENEWABLES LLC,8MinuteEnergy Renewables,-80
9 to 5 California,9 to 5 California,-85
9 to 5 California Chapter and National Association,9 to 5 California,-85
9 to 5 Los Angeles,9 to 5 California,-85
9to5 Los Angeles,9 to 5 California,-85
"9to5, california",9 to 5 California,-85
9 to 5,9 to 5 National Association of Working Women,-84
9 to 5 National Association Working Women,9 to 5 National Association of Working Women,-84
9 to 5 Working Women,9 to 5 National Association of Working Women,-84
"9 to 5, National Association of Working Women",9 to 5 National Association of Working Women,-84
9to5,9 to 5 National Association of Working Women,-84
9to5 working women,9 to 5 National Association of Working Women,-84
"9to5, National Association of Working Women",9 to 5 National Association of Working Women,-84
National Association of Working Women,9 to 5 National Association of Working Women,-84
"National Association of Working Women, California Chapter",9 to 5 National Association of Working Women,-84
9-1-1 Ambulance Provider's Alliance,911 Ambulance Providers Medi Cal Alliance,-15429
911 AMBULANCA PROVIDERS MEDI-CAL ALLIANCE ID 1412763,911 Ambulance Providers Medi Cal Alliance,-15429
911 Ambulance Provider Medi-Cal Alliance,911 Ambulance Providers Medi Cal Alliance,-15429
911 Ambulance Provider's Medi-Cal Alliance,911 Ambulance Providers Medi Cal Alliance,-15429
911 AMBULANCE PROVIDERS MEDI-CAL ALLIANCE,911 Ambulance Providers Medi Cal Alliance,-15429
911 Ambulance Providers Medical Alliance,911 Ambulance Providers Medi Cal Alliance,-15429
99 cent Only Stores,"99 Cents Only Stores, LLC",-83
"99 Cents Only Stores, LLC","99 Cents Only Stores, LLC",-83
A & A Enterprises,A & A Enterprises,-19105
A & B Hawaii PAC,A & B Hawaii PAC,-19534
A & K Ventures,A & K Ventures LLC,-19380
A & K Ventures LLC,A & K Ventures LLC,-19380
A & M PROPERTIES & DEVELOPMENT,A & M PROPERTIES & DEVELOPMENT,-101
"A & M PROPERTIES & DEVELOPMENT, INC",A & M PROPERTIES & DEVELOPMENT,-101
A & S BAGEL INC,A & S BAGEL INC,-99
A&S BAGEL INC,A & S BAGEL INC,-99
A&S BAGELS INC,A & S BAGEL INC,-99
A & S Delivery II Inc.,A & S Delivery II Inc.,-19312
A Better Way,A Better Way,-15219
"A Better Way, Inc.",A Better Way,-15219
"A Better Way, INC. - Permanency Program",A Better Way,-15219
"A C Public Affairs, Inc.","A C Public Affairs, Inc.",-175
AC Public Affairs,"A C Public Affairs, Inc.",-175
A Community of Friends,A Community of Friends,-17013
A New PATH,A New PATH: Parents for Addiction Treatment and Healing,-15218
A New PATH (Parents for Addiction Treatment and Healing),A New PATH: Parents for Addiction Treatment and Healing,-15218
A New PATH: Parents for Addiction Treatment and Healing,A New PATH: Parents for Addiction Treatment and Healing,-15218
New PATH,A New PATH: Parents for Addiction Treatment and Healing,-15218
