keywords,level1_category,level2_category,level3_category,
pacific gas & electric,Energy & Natural Resources,Electric Utilities,Gas & electric utilities,
pg&e,Energy & Natural Resources,Electric Utilities,Gas & electric utilities,
gas company,Energy & Natural Resources,Oil & Gas,,
railroad,Energy & Natural Resources,Railroads,Railroads,
socalgas,Energy & Natural Resources,Electric Utilities,Gas & electric utilities,
waste management,Energy & Natural Resources,Waste Management,Waste management,
power agency,Energy & Natural Resources,Electric Utilities,Electric power utilities,
wind energy,Energy & Natural Resources,Miscellaneous Energy,Alternative energy production & services,
renewables,Energy & Natural Resources,Miscellaneous Energy,Alternative energy production & services,
utility district,Energy & Natural Resources,Miscellaneous Energy,Energy production & distribution,
amtrak,Energy & Natural Resources,Railroads,Railroads,
insurance,"Finance, Insurance & Real Estate",,,level2 could be real estate if it's title insurance
remax,"Finance, Insurance & Real Estate",Real Estate,,
state farm,"Finance, Insurance & Real Estate",Insurance,"Insurance companies, general",
farmers insurance,"Finance, Insurance & Real Estate",Insurance,"Insurance agencies, brokers & agents",
wells fargo,"Finance, Insurance & Real Estate",Commercial Banks,Commercial banks & bank holding companies,
us bank,"Finance, Insurance & Real Estate",Commercial Banks,Commercial banks & bank holding companies,
coldwell banker,"Finance, Insurance & Real Estate",Real Estate,Real estate agents & managers,
merrill lynch,"Finance, Insurance & Real Estate",Securities & Investment,"Securities, commodities & investment",
bank of america,"Finance, Insurance & Real Estate",Commercial Banks,Commercial banks & bank holding companies,
anthem blue cross,"Finance, Insurance & Real Estate",Insurance,Accident & health insurance,
pricewaterhousecoopers,"Finance, Insurance & Real Estate",,,level2 is inconsistent
mastercard,"Finance, Insurance & Real Estate",Finance & Credit Companies,Credit agencies & finance companies,
deloitte,"Finance, Insurance & Real Estate",Accountants,,
blue shield,"Finance, Insurance & Real Estate",Insurance,Accident & health insurance,
morgan stanley,"Finance, Insurance & Real Estate",Securities & Investment,"Securities, commodities & investment",
re / max,"Finance, Insurance & Real Estate",Real Estate,Real estate agents & managers,
jp morgan,"Finance, Insurance & Real Estate","Miscellaneous Finance, Insurance & Real Estate","Finance, insurance & real estate",
century 21,"Finance, Insurance & Real Estate",Real Estate,,
century21,"Finance, Insurance & Real Estate",Real Estate,,
h&r block,"Finance, Insurance & Real Estate",,,Can't determine level2 - could be misc finance or could be an accountant
 bank ,"Finance, Insurance & Real Estate",,,"could match to longer strings like ""burbank"""
visa,"Finance, Insurance & Real Estate",Finance & Credit Companies,Credit agencies & finance companies,
bail bonds,"Finance, Insurance & Real Estate",Miscellaneous Finance,Bail Bond Services,
paypal,"Finance, Insurance & Real Estate",Miscellaneous Finance,Payment Processors,
citibank,"Finance, Insurance & Real Estate","Miscellaneous Finance, Insurance & Real Estate","Finance, insurance & real estate",
credit union,"Finance, Insurance & Real Estate",Credit Unions,Credit unions,
realty,"Finance, Insurance & Real Estate",,,"one realty business is under genereal business - KIMCO REALTY CORPORATION. Level2 is mostly real estate, but saw one example of it being misc finance"
goldman sachs,"Finance, Insurance & Real Estate",Securities & Investment,"Securities, commodities & investment",
broadcom,"Finance, Insurance & Real Estate",Real Estate,Real estate agents & managers,
kpmg,"Finance, Insurance & Real Estate",Accountants,Accountants,
allstate,"Finance, Insurance & Real Estate",Insurance,"Insurance agencies, brokers & agents",
liberty mutual,"Finance, Insurance & Real Estate",Insurance,"Insurance companies, general",
airbnb,General Business,Lodging & Tourism,Hotels & motels,
disney,General Business,Recreation & Live Entertainment,Recreation & entertainment,
macys,General Business,Retail Sales,"Department, variety & convenience stores",
mcdonalds,General Business,Food & Beverage,Restaurants & drinking establishments,
home depot,General Business,Retail Sales,Hardware & building materials stores,
walmart,General Business,Retail Sales,"Department, variety & convenience stores",
amazon,General Business,Retail Sales,Retail trade,
costco,General Business,Retail Sales,"Department, variety & convenience stores",
casino,General Business,Gambling & Casinos,"Casinos, racetracks & gambling",
wine,General Business,"Beer, Wine & Liquor",Wine & distilled spirits manufacturing,
gaming,General Business,Gambling & Casinos,"Casinos, racetracks & gambling",
starbucks,General Business,Food & Beverage,Restaurants & drinking establishments,
restaurant,General Business,Food & Beverage,Restaurants & drinking establishments,
procter and gamble,General Business,Miscellaneous Manufacturing & Distributing,Manufacturing,
chick-fil-a,General Business,Food & Beverage,Restaurants & drinking establishments,
hotels,General Business,Lodging & Tourism,Hotels & motels,is it possible this could be a casino?
cvs health,General Business,Retail Sales,Drug stores,
accenture,General Business,Business Services,Management consultants & services,
pepsico,General Business,Food & Beverage,Beverages (non-alcoholic),
school district,Government Agencies/Education/Other,Education,"Public school teachers, administrators & officials","Leve2 could be ""Education"" but could also be ""Civil Servants/Public Officials.""  How should superintendent of a school district be classified?"
us navy,Government Agencies/Education/Other,,,"Level2 is almost always ""Civil Servants/Public Officials"" but is sometimes ""Military."" Not sure what the difference is"
county of,Government Agencies/Education/Other,,,"this is a little confusing; sometimes someone who puts county as employer is classified as something else, e.g. a lawyer or under health"
state of california,Government Agencies/Education/Other,Civil Servants/Public Officials,,"this is a little confusing; sometimes someone who puts state of CA as employer is classified as something else, e.g. a lawyer or under health"
state of ca,Government Agencies/Education/Other,Civil Servants/Public Officials,,
band of,Government Agencies/Education/Other,Tribal Governments,Native American tribes & governing units,
indians,Government Agencies/Education/Other,Tribal Governments,Native American tribes & governing units,
office of education,Government Agencies/Education/Other,Civil Servants/Public Officials,,
public defender,Government Agencies/Education/Other,Civil Servants/Public Officials,Civil servant/public employee,
indian community,Government Agencies/Education/Other,Tribal Governments,Native American tribes & governing units,
public school,Government Agencies/Education/Other,Education,"Public school teachers, administrators & officials",
air quality management district,Government Agencies/Education/Other,Civil Servants/Public Officials,Civil servant/public employee,
dept of justice,Government Agencies/Education/Other,Civil Servants/Public Officials,Courts & justice system,
department of justice,Government Agencies/Education/Other,Civil Servants/Public Officials,Courts & justice system,
tribe,Government Agencies/Education/Other,Tribal Governments,Native American tribes & governing units,
baptist,Government Agencies/Education/Other,Clergy,"Churches, clergy & religious organizations",
ucsf,Government Agencies/Education/Other,Education,,
hospital,Health,,,can't determine leve
medical group,Health,,,Level2 could be health services or could be health professional
ambulance,Health,Health Services,Health care services,
davita,Health,Hospitals & Nursing Homes,Health care institutions,
sutter health,Health,,,Can't do level2 - could be a health professional here
dental group,Health,Health Professionals,,
city of hope,Health,Hospitals & Nursing Homes,Hospitals,
pfizer,Health,Pharmaceuticals & Health Products,Pharmaceutical manufacturing,
adventist health,Health,Hospitals & Nursing Homes,Hospitals,
aclu,Ideology/Single Issue,Other/Single Issue Groups,Other single-issue or ideological groups,
american civil liberties union,Ideology/Single Issue,Other/Single Issue Groups,Other single-issue or ideological groups,
natural resources defense council,Ideology/Single Issue,Pro-Environmental Policy,Environmental policy,
charter schools association,Ideology/Single Issue,Public Education Policy,School Choice Advocates,
sierra club,Ideology/Single Issue,Pro-Environmental Policy,Environmental policy,
environmental defense fund,Ideology/Single Issue,Pro-Environmental Policy,Environmental policy,
planned parenthood,Ideology/Single Issue,Abortion Policy,"Abortion policy, pro-choice",
ibew,Labor,General Trade Unions,Electrical workers/IBEW,
teachers association,Labor,Public Sector Unions,Teachers unions,
afscme,Labor,Public Sector Unions,,
trades council,Labor,General Trade Unions,,
national union,Labor,,,
employees union,Labor,,,
seiu,Labor,,,Level2 sometimes a public trade union and sometimes a general trade union
international union,Labor,,,
teamsters,Labor,Transportation Unions,Teamsters unions,
nurses assocation,Labor,General Trade Unions,Health worker unions,
labor council,Labor,,,
labor council,Labor,,,
labor federation,Labor,,,
legal center,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
law firm,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
law office,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
law group,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
trial lawyer,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
law partners,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
attorney at law,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
attorneys at law,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
injury attorney,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
personal injury,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
injury attorney,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
employment lawyers,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
lawyer,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
professional law,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
legal group,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
law center,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
a law corporation,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
public relations,Lawyers & Lobbyists,Lawyers & Lobbyists,Lobbyists & public relations,"one public relations guy is classified under general business, not sure why.' ARMANASCO, DAVID' owns a PR company"
law partners,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,
republica central committee,Party,Party Committees,Republican Party committees,
democratic party,Party,Party Committees,Democratic Party committees,
republica club,Party,Party Committees,Republican Party committees,
republican party,Party,Party Committees,Republican Party committees,
democratic national committee,Party,Party Committees,Democratic Party committees,
ford motor,Transportation,Automotive,Auto manufacturers,
spacex,Transportation,Air Transport,Space vehicles & components,
united airlines,Transportation,Air Transport,Airlines,
enterprise rent a car,Transportation,Automotive,Car & truck rental agencies,
ups,Transportation,Air Transport,Express delivery services,
uber,Transportation,Miscellaneous Transport,Taxicabs,
boeing,Transportation,Air Transport,Aircraft manufacturers,
airlines,Transportation,Air Transport,Airlines,
air lines,Transportation,Air Transport,Airlines,
tesla,Transportation,Automotive,Auto manufacturers,
fedex,Transportation,Air Transport,Express delivery services,
toyota of,Transportation,Automotive,"Auto dealers, new & used",
lexus of,Transportation,Automotive,"Auto dealers, new & used",
marine manufacturer,Transportation,Sea Transport,Ship building & repair,
auto sale,Transportation,Automotive,"Auto dealers, new & used",
lyft,Transportation,Miscellaneous Transport,Taxicabs,
waymo,Transportation,Trucking,Trucking companies & services,
doordash,Transportation,Miscellaneous Transport,Rideshare & Delivery Apps,
general motors,Transportation,Automotive,Auto manufacturers,
instacart,Transportation,Miscellaneous Transport,Rideshare & Delivery Apps,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
