"entity_name","canonical_name","to_add_status","entity_status","entity_id","Contributor.ID","city","state","review_group_id","confirmed_link","confirmed","is_conflict","notes","link_methods","n_contributions","total_amount","zip","in_refined_queue"
"UAW REGION 6 WESTERN STATES PAC",NA,"don't add","adding_to_existing","146113ac-7472-467a-bbe7-0513c0179190",743787,"Pico Rivera","CA","org_rg_7_a","no",FALSE,FALSE,"","same_contributor_id",3,7500,"90660",FALSE
"UAW REGION 8 WESTERN STATES PAC","UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA REGION 8 WESTERN STATES","in existing map","adding_to_existing","146113ac-7472-467a-bbe7-0513c0179190",743787,"Pico Rivera","CA","org_rg_7_b","no",TRUE,FALSE,"","same_contributor_id",1,2500,"90660",FALSE
"CALIFORNIA STATE PIPE TRADES COUNCIL","CALIFORNIA STATE PIPE TRADES COUNCIL","name is already canonical","adding_to_existing","45b25f2f-acfc-44f3-9cec-df8a18e6eb2a",743895,"Sacramento","CA","org_rg_8","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,18200,"95814",FALSE
"CALIFORNIA STATE PIPE TRADES COUNCIL PAC SMALL CONTRIBUTOR COMMITTEE","CALIFORNIA STATE PIPE TRADES COUNCIL","in existing map","adding_to_existing","45b25f2f-acfc-44f3-9cec-df8a18e6eb2a",743895,"Sacramento","CA","org_rg_8","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,10000,"95814",FALSE
"CALIFORNIA STATE PIPE TRADES COUNCIL POLITICAL ACTION COMMITTEE","CALIFORNIA STATE PIPE TRADES COUNCIL","in existing map","adding_to_existing","45b25f2f-acfc-44f3-9cec-df8a18e6eb2a",743895,"Sacramento","CA","org_rg_8","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",3,78400,"95814-3943",FALSE
"CHEVRON U.S.A. INC.","CHEVRON","add to map","new_entity","ba268965-a82d-4ed2-adcb-51f15e944b05",NA,"San Ramon","CA","org_rg_88","yes",FALSE,FALSE,"","exact_name_v1",1,3000,"94583-5006",FALSE
"CHEVRON USA INC.","CHEVRON","add to map","new_entity","ba268965-a82d-4ed2-adcb-51f15e944b05",NA,"San Ramon","CA","org_rg_88","yes",FALSE,FALSE,"","exact_name_v1",1,39200,"94583-5006",TRUE
"CALIFORNIA PROFESSIONAL FIREFIGHTERS","CALIFORNIA PROFESSIONAL FIREFIGHTERS","name is already canonical","adding_to_existing","b2b1ae1e-0aef-4de0-93fc-56f676d67042",744058,"Sacramento","CA","org_rg_9","yes",FALSE,FALSE,"","map1_bridge | same_contributor_id",1,3000,"95833",FALSE
"CALIFORNIA PROFESSIONAL FIREFIGHTERS PAC","CALIFORNIA PROFESSIONAL FIREFIGHTERS","in existing map","adding_to_existing","b2b1ae1e-0aef-4de0-93fc-56f676d67042",744058,"Sacramento","CA","org_rg_9","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",2,39200,"95833-3633",TRUE
"CALIFORNIA PROFESSIONAL FIREFIGHTERS PAC SMALL CONTRIBUTOR COMMITTEE","CALIFORNIA PROFESSIONAL FIREFIGHTERS","in existing map","adding_to_existing","b2b1ae1e-0aef-4de0-93fc-56f676d67042",744058,"Sacramento","CA","org_rg_9","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id | same_contributor_id",7,16067.39,"95833",TRUE
"CALIFORNIA PROFESSIONAL FIREFIGHTERS POLITICAL ACTION COMMITTEE","CALIFORNIA PROFESSIONAL FIREFIGHTERS","in existing map","adding_to_existing","b2b1ae1e-0aef-4de0-93fc-56f676d67042",744058,"Sacramento","CA","org_rg_9","yes",TRUE,FALSE,"","map1_bridge | same_contributor_id",1,33700,"95833-3633",TRUE
"COMCAST CORPORATION AND AFFILIATED ENTITIES INCLUDING NBCUNIVERSAL MEDIA, LLC","COMCAST","add to map","adding_to_existing","deaafbda-c611-40d2-9590-30d88ab4760d",NA,"Universal City","CA","org_rg_93","yes",FALSE,FALSE,"","exact_name_v1 | exact_name_v1 | map1_bridge",2,4900,"91608",TRUE
"COMCAST FINANCIAL AGENCY CORPORATION","COMCAST","add to map","adding_to_existing","deaafbda-c611-40d2-9590-30d88ab4760d",NA,"Philadelphia","PA","org_rg_93","yes",TRUE,FALSE,"","exact_name_v1 | exact_name_v1 | map1_bridge",9,56000,"19103 | 19103-2833 | 19103-2938",TRUE
