"naics_industry","description"
"3212","Veneer, Plywood, and Engineered Wood Product Manufacturing, including: Hardwood Veneer and Plywood Manufacturing; Softwood Veneer and Plywood Manufacturing; Engineered Wood Member Manufacturing; Reconstituted Wood Product Manufacturing"
"3219","Other Wood Product Manufacturing, including: Wood Window and Door Manufacturing; Cut Stock, Resawing Lumber, and Planing; Other Millwork (including Flooring); Wood Container and Pallet Manufacturing; Manufactured Home (Mobile Home) Manufacturing; Prefabricated Wood Building Manufacturing; All Other Miscellaneous Wood Product Manufacturing"
"3221","Pulp, Paper, and Paperboard Mills, including: Pulp Mills; Paper Mills"
"3222","Converted Paper Product Manufacturing, including: Corrugated and Solid Fiber Box Manufacturing; Folding Paperboard Box Manufacturing; Other Paperboard Container Manufacturing; Paper Bag and Coated and Treated Paper Manufacturing; Stationery Product Manufacturing; Sanitary Paper Product Manufacturing"
"3231","Printing and Related Support Activities, including: Commercial Printing (except Screen and Books); Commercial Screen Printing; Books Printing; Support Activities for Printing"
"3241","Petroleum and Coal Products Manufacturing, including: Petroleum Refineries; Asphalt Paving, Roofing, and Saturated Materials Manufacturing; Asphalt Paving Mixture and Block Manufacturing; Asphalt Shingle and Coating Materials Manufacturing; Petroleum Lubricating Oil and Grease Manufacturing"
"3251","Basic Chemical Manufacturing, including: Petrochemical Manufacturing; Industrial Gas Manufacturing; Synthetic Dye and Pigment Manufacturing; Other Basic Inorganic Chemical Manufacturing; Ethyl Alcohol Manufacturing; Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing; All Other Basic Organic Chemical Manufacturing"
"3252","Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing, including: Resin and Synthetic Rubber Manufacturing; Plastics Material and Resin Manufacturing"
"3253","Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing, including: Fertilizer and Compost Manufacturing; Nitrogenous Fertilizer Manufacturing; Phosphatic Fertilizer Manufacturing; Fertilizer (Mixing Only) Manufacturing; Pesticide and Other Agricultural Chemical Manufacturing"
"3254","Pharmaceutical and Medicine Manufacturing, including: Medicinal and Botanical Manufacturing; Pharmaceutical Preparation Manufacturing; In-Vitro Diagnostic Substance Manufacturing; Biological Product (except Diagnostic) Manufacturing"
"3255","Paint, Coating, and Adhesive Manufacturing, including: Paint and Coating Manufacturing"
"3256","Soap, Cleaning Compound, and Toilet Preparation Manufacturing, including: Soap and Cleaning Compound Manufacturing; Soap and Other Detergent Manufacturing; Polish and Other Sanitation Good Manufacturing; Surface Active Agent Manufacturing"
"3259","Other Chemical Product and Preparation Manufacturing, including: Printing Ink Manufacturing; Explosives Manufacturing; Custom Compounding of Purchased Resins; Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing; All Other Miscellaneous Chemical Product and Preparation Manufacturing"
"3261","Plastics Product Manufacturing, including: Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing; Plastics Bag and Pouch Manufacturing; Plastics Packaging Film and Sheet (including Laminated) Manufacturing; Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing; Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing; Unlaminated Plastics Profile Shape Manufacturing; Plastics Pipe and Pipe Fitting Manufacturing; Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing; Polystyrene Foam Product Manufacturing; Urethane and Other Foam Product (except Polystyrene) Manufacturing; Plastics Bottle Manufacturing; Plastics Plumbing Fixture Manufacturing"
"3262","Rubber Product Manufacturing, including: Tire Manufacturing (except Retreading); Tire Retreading; Rubber and Plastics Hoses and Belting Manufacturing"
"3271","Clay Product and Refractory Manufacturing, including: Pottery, Ceramics, and Plumbing Fixture Manufacturing; Clay Building Material and Refractories Manufacturing"
"3272","Glass and Glass Product Manufacturing, including: Flat Glass Manufacturing; Other Pressed and Blown Glass and Glassware Manufacturing; Glass Container Manufacturing; Glass Product Manufacturing Made of Purchased Glass"
"3273","Cement and Concrete Product Manufacturing, including: Cement Manufacturing; Ready-Mix Concrete Manufacturing; Concrete Pipe, Brick, and Block Manufacturing; Concrete Block and Brick Manufacturing; Concrete Pipe Manufacturing; Other Concrete Product Manufacturing"
"3274","Lime and Gypsum Product Manufacturing, including: Lime Manufacturing"
"3279","Other Nonmetallic Mineral Product Manufacturing, including: Abrasive Product Manufacturing; Cut Stone and Stone Product Manufacturing; Ground or Treated Mineral and Earth Manufacturing; Mineral Wool Manufacturing; All Other Miscellaneous Nonmetallic Mineral Product Manufacturing"
"3311","Iron and Steel Mills and Ferroalloy Manufacturing"
"3312","Steel Product Manufacturing from Purchased Steel, including: Iron and Steel Pipe and Tube Manufacturing from Purchased Steel; Rolling and Drawing of Purchased Steel; Rolled Steel Shape Manufacturing; Steel Wire Drawing"
"3313","Alumina and Aluminum Production and Processing, including: Alumina Refining and Primary Aluminum Production; Secondary Smelting and Alloying of Aluminum; Aluminum Sheet, Plate, and Foil Manufacturing; Other Aluminum Rolling, Drawing, and Extruding"
"3314","Nonferrous Metal (except Aluminum) Production and Processing, including: Nonferrous Metal (except Aluminum) Smelting and Refining; Copper Rolling, Drawing, Extruding, and Alloying; Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying; Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding; Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
"3315","Foundries"
"3321","Forging and Stamping, including: Iron and Steel Forging; Nonferrous Forging; Custom Roll Forming; Powder Metallurgy Part Manufacturing; Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
"3322","Cutlery and Handtool Manufacturing, including: Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing; Saw Blade and Handtool Manufacturing"
"3323","Architectural and Structural Metals Manufacturing, including: Plate Work and Fabricated Structural Product Manufacturing; Prefabricated Metal Building and Component Manufacturing; Fabricated Structural Metal Manufacturing; Plate Work Manufacturing; Ornamental and Architectural Metal Products Manufacturing; Metal Window and Door Manufacturing; Sheet Metal Work Manufacturing; Ornamental and Architectural Metal Work Manufacturing"
"3324","Boiler, Tank, and Shipping Container Manufacturing, including: Power Boiler and Heat Exchanger Manufacturing; Metal Tank (Heavy Gauge) Manufacturing; Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing; Metal Can Manufacturing; Other Metal Container Manufacturing"
"3325","Hardware Manufacturing"
"3326","Spring and Wire Product Manufacturing, including: Spring Manufacturing; Other Fabricated Wire Product Manufacturing"
"3327","Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing, including: Turned Product and Screw, Nut, and Bolt Manufacturing; Precision Turned Product Manufacturing; Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
"3328","Coating, Engraving, Heat Treating, and Allied Activities, including: Metal Heat Treating; Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers; Electroplating, Plating, Polishing, Anodizing, and Coloring"
"3329","Other Fabricated Metal Product Manufacturing, including: Metal Valve Manufacturing; Industrial Valve Manufacturing; Fluid Power Valve and Hose Fitting Manufacturing; Plumbing Fixture Fitting and Trim Manufacturing; Other Metal Valve and Pipe Fitting Manufacturing; Ball and Roller Bearing Manufacturing; Small Arms Ammunition Manufacturing; Ammunition (except Small Arms) Manufacturing; Small Arms, Ordnance, and Ordnance Accessories Manufacturing; Fabricated Pipe and Pipe Fitting Manufacturing; All Other Miscellaneous Fabricated Metal Product Manufacturing"
"3331","Agriculture, Construction, and Mining Machinery Manufacturing, including: Agricultural Implement Manufacturing; Farm Machinery and Equipment Manufacturing; Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing; Construction Machinery Manufacturing; Mining and Oil and Gas Field Machinery Manufacturing; Mining Machinery and Equipment Manufacturing; Oil and Gas Field Machinery and Equipment Manufacturing"
"3332","Industrial Machinery Manufacturing, including: Food Product Machinery Manufacturing; Semiconductor Machinery Manufacturing; Sawmill, Woodworking, and Paper Machinery Manufacturing"
"3333","Commercial and Service Industry Machinery Manufacturing"
"3334","Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing, including: Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing; Heating Equipment (except Warm Air Furnaces) Manufacturing; Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing"
"3335","Metalworking Machinery Manufacturing, including: Industrial Mold Manufacturing; Special Die and Tool, Die Set, Jig, and Fixture Manufacturing; Cutting Tool and Machine Tool Accessory Manufacturing; Machine Tool Manufacturing"
"3336","Engine, Turbine, and Power Transmission Equipment Manufacturing, including: Turbine and Turbine Generator Set Units Manufacturing; Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing; Mechanical Power Transmission Equipment Manufacturing; Other Engine Equipment Manufacturing"
"3339","Other General Purpose Machinery Manufacturing, including: Pump and Compressor Manufacturing; Air and Gas Compressor Manufacturing; Measuring, Dispensing, and Other Pumping Equipment Manufacturing; Material Handling Equipment Manufacturing; Elevator and Moving Stairway Manufacturing; Conveyor and Conveying Equipment Manufacturing; Overhead Traveling Crane, Hoist, and Monorail System Manufacturing; Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing; Power-Driven Handtool Manufacturing; Welding and Soldering Equipment Manufacturing; Packaging Machinery Manufacturing; Industrial Process Furnace and Oven Manufacturing; Fluid Power Cylinder and Actuator Manufacturing; Fluid Power Pump and Motor Manufacturing; All Other Miscellaneous General Purpose Machinery Manufacturing"
"3341","Computer and Peripheral Equipment Manufacturing, including: Electronic Computer Manufacturing; Computer Storage Device Manufacturing; Computer Terminal and Other Computer Peripheral Equipment Manufacturing"
"3342","Communications Equipment Manufacturing, including: Telephone Apparatus Manufacturing"
"3343","Audio and Video Equipment Manufacturing"
"3344","Semiconductor and Other Electronic Component Manufacturing, including: Bare Printed Circuit Board Manufacturing; Semiconductor and Related Device Manufacturing; Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing; Electronic Connector Manufacturing; Printed Circuit Assembly (Electronic Assembly) Manufacturing"
"3345","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing, including: Electromedical and Electrotherapeutic Apparatus Manufacturing; Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing; Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use; Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables; Totalizing Fluid Meter and Counting Device Manufacturing; Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals; Analytical Laboratory Instrument Manufacturing; Irradiation Apparatus Manufacturing; Other Measuring and Controlling Device Manufacturing"
"3346","Manufacturing and Reproducing Magnetic and Optical Media"
"3351","Electric Lighting Equipment Manufacturing, including: Residential Electric Lighting Fixture Manufacturing; Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing; Electric Lamp Bulb and Other Lighting Equipment Manufacturing"
"3352","Household Appliance Manufacturing, including: Small Electrical Appliance Manufacturing"
"3353","Electrical Equipment Manufacturing, including: Power, Distribution, and Specialty Transformer Manufacturing; Motor and Generator Manufacturing; Switchgear and Switchboard Apparatus Manufacturing; Relay and Industrial Control Manufacturing"
"3359","Other Electrical Equipment and Component Manufacturing, including: Battery Manufacturing; Communication and Energy Wire and Cable Manufacturing; Fiber Optic Cable Manufacturing; Other Communication and Energy Wire Manufacturing; Noncurrent-Carrying Wiring Device Manufacturing; Carbon and Graphite Product Manufacturing; All Other Miscellaneous Electrical Equipment and Component Manufacturing"
"3361","Motor Vehicle Manufacturing, including: Heavy Duty Truck Manufacturing"
"3362","Motor Vehicle Body and Trailer Manufacturing, including: Motor Vehicle Body Manufacturing; Truck Trailer Manufacturing; Motor Home Manufacturing; Travel Trailer and Camper Manufacturing"
"3363","Motor Vehicle Parts Manufacturing, including: Motor Vehicle Gasoline Engine and Engine Parts Manufacturing; Motor Vehicle Electrical and Electronic Equipment Manufacturing; Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing; Motor Vehicle Brake System Manufacturing; Motor Vehicle Transmission and Power Train Parts Manufacturing; Motor Vehicle Seating and Interior Trim Manufacturing; Motor Vehicle Metal Stamping"
"3364","Aerospace Product and Parts Manufacturing, including: Aircraft Manufacturing; Aircraft Engine and Engine Parts Manufacturing; Other Aircraft Parts and Auxiliary Equipment Manufacturing; Guided Missile and Space Vehicle Manufacturing; Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing; Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing"
"3365","Railroad Rolling Stock Manufacturing"
"3366","Ship and Boat Building, including: Ship Building and Repairing"
"3369","Other Transportation Equipment Manufacturing, including: Motorcycle, Bicycle, and Parts Manufacturing; Military Armored Vehicle, Tank, and Tank Component Manufacturing"
"3371","Household and Institutional Furniture and Kitchen Cabinet Manufacturing, including: Wood Kitchen Cabinet and Countertop Manufacturing; Household and Institutional Furniture Manufacturing; Upholstered Household Furniture Manufacturing; Nonupholstered Wood Household Furniture Manufacturing; Household Furniture (except Wood and Upholstered) Manufacturing"
"3372","Office Furniture (including Fixtures) Manufacturing, including: Wood Office Furniture Manufacturing; Custom Architectural Woodwork and Millwork Manufacturing; Office Furniture (except Wood) Manufacturing; Showcase, Partition, Shelving, and Locker Manufacturing"
"3379","Other Furniture Related Product Manufacturing, including: Mattress Manufacturing; Blind and Shade Manufacturing"
"3391","Medical Equipment and Supplies Manufacturing, including: Surgical and Medical Instrument Manufacturing; Surgical Appliance and Supplies Manufacturing; Dental Equipment and Supplies Manufacturing; Ophthalmic Goods Manufacturing; Dental Laboratories"
"3399","Other Miscellaneous Manufacturing, including: Jewelry and Silverware Manufacturing; Sporting and Athletic Goods Manufacturing; Doll, Toy, and Game Manufacturing; Office Supplies (except Paper) Manufacturing; Sign Manufacturing; Gasket, Packing, and Sealing Device Manufacturing; Musical Instrument Manufacturing; Fastener, Button, Needle, and Pin Manufacturing; Broom, Brush, and Mop Manufacturing; Burial Casket Manufacturing"
"4231","Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers, including: Automobile and Other Motor Vehicle Merchant Wholesalers; Motor Vehicle Supplies and New Parts Merchant Wholesalers; Tire and Tube Merchant Wholesalers; Motor Vehicle Parts (Used) Merchant Wholesalers"
"4232","Furniture and Home Furnishing Merchant Wholesalers, including: Furniture Merchant Wholesalers"
"4233","Lumber and Other Construction Materials Merchant Wholesalers, including: Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers; Brick, Stone, and Related Construction Material Merchant Wholesalers; Roofing, Siding, and Insulation Material Merchant Wholesalers; Other Construction Material Merchant Wholesalers"
"4234","Professional and Commercial Equipment and Supplies Merchant Wholesalers, including: Photographic Equipment and Supplies Merchant Wholesalers; Office Equipment Merchant Wholesalers; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; Other Commercial Equipment Merchant Wholesalers; Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers; Ophthalmic Goods Merchant Wholesalers; Other Professional Equipment and Supplies Merchant Wholesalers"
"4235","Metal and Mineral (except Petroleum) Merchant Wholesalers, including: Metal Service Centers and Other Metal Merchant Wholesalers; Coal and Other Mineral and Ore Merchant Wholesalers"
"4236","Household Appliances and Electrical and Electronic Goods Merchant Wholesalers, including: Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers; Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers; Other Electronic Parts and Equipment Merchant Wholesalers"
"4237","Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers, including: Hardware Merchant Wholesalers; Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers; Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers; Refrigeration Equipment and Supplies Merchant Wholesalers"
"4238","Machinery, Equipment, and Supplies Merchant Wholesalers, including: Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers; Farm and Garden Machinery and Equipment Merchant Wholesalers; Industrial Machinery and Equipment Merchant Wholesalers; Industrial Supplies Merchant Wholesalers; Service Establishment Equipment and Supplies Merchant Wholesalers; Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers"
"4239","Miscellaneous Durable Goods Merchant Wholesalers, including: Sporting and Recreational Goods and Supplies Merchant Wholesalers; Toy and Hobby Goods and Supplies Merchant Wholesalers; Recyclable Material Merchant Wholesalers; Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
"4241","Paper and Paper Product Merchant Wholesalers, including: Printing and Writing Paper Merchant Wholesalers; Stationery and Office Supplies Merchant Wholesalers; Industrial and Personal Service Paper Merchant Wholesalers"
"4242","Drugs and Druggists' Sundries Merchant Wholesalers"
"4243","Apparel, Piece Goods, and Notions Merchant Wholesalers, including: Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers; Footwear Merchant Wholesalers; Clothing and Clothing Accessories Merchant Wholesalers"
"4244","Grocery and Related Product Merchant Wholesalers, including: General Line Grocery Merchant Wholesalers; Packaged Frozen Food Merchant Wholesalers; Dairy Product (except Dried or Canned) Merchant Wholesalers; Poultry and Poultry Product Merchant Wholesalers; Confectionery Merchant Wholesalers; Fish and Seafood Merchant Wholesalers; Meat and Meat Product Merchant Wholesalers; Fresh Fruit and Vegetable Merchant Wholesalers; Other Grocery and Related Products Merchant Wholesalers"
"4245","Farm Product Raw Material Merchant Wholesalers, including: Grain and Field Bean Merchant Wholesalers; Livestock Merchant Wholesalers"
"4246","Chemical and Allied Products Merchant Wholesalers, including: Plastics Materials and Basic Forms and Shapes Merchant Wholesalers"
"4247","Petroleum and Petroleum Products Merchant Wholesalers, including: Petroleum Bulk Stations and Terminals"
"4248","Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers, including: Beer and Ale Merchant Wholesalers; Wine and Distilled Alcoholic Beverage Merchant Wholesalers"
"4249","Miscellaneous Nondurable Goods Merchant Wholesalers, including: Farm Supplies Merchant Wholesalers; Book, Periodical, and Newspaper Merchant Wholesalers; Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers; Tobacco Product and Electronic Cigarette Merchant Wholesalers; Paint, Varnish, and Supplies Merchant Wholesalers"
"4251","Wholesale Trade Agents and Brokers"
"4411","Automobile Dealers, including: New Car Dealers; Used Car Dealers"
"4412","Other Motor Vehicle Dealers, including: Recreational Vehicle Dealers; Boat Dealers"
"4413","Automotive Parts, Accessories, and Tire Retailers, including: Automotive Parts and Accessories Retailers; Tire Dealers"
"4441","Building Material and Supplies Dealers, including: Home Centers; Paint and Wallpaper Retailers; Hardware Retailers; Other Building Material Dealers"
"4442","Lawn and Garden Equipment and Supplies Retailers, including: Outdoor Power Equipment Retailers; Nursery, Garden Center, and Farm Supply Retailers"
"4451","Grocery and Convenience Retailers, including: Supermarkets and Other Grocery Retailers (except Convenience Retailers); Convenience Retailers and Vending Machine Operators"
"4452","Specialty Food Retailers, including: Fruit and Vegetable Retailers; Meat Retailers; Fish and Seafood Retailers; Baked Goods Retailers; Confectionery and Nut Retailers"
"4453","Beer, Wine, and Liquor Retailers"
"4491","Furniture and Home Furnishings Retailers, including: Furniture Retailers; Floor Covering Retailers; Window Treatment Retailers; All Other Home Furnishings Retailers"
"4492","Electronics and Appliance Retailers"
"4551","Department Stores"
"4552","Warehouse Clubs, Supercenters, and Other General Merchandise Retailers, including: Warehouse Clubs and Supercenters; All Other General Merchandise Retailers"
"4561","Health and Personal Care Retailers, including: Pharmacies and Drug Retailers; Cosmetics, Beauty Supplies, and Perfume Retailers; Optical Goods Retailers; Food (Health) Supplement Retailers"
"4571","Gasoline Stations"
"4572","Fuel Dealers"
"4581","Clothing and Clothing Accessories Retailers"
"4582","Shoe Retailers"
"4583","Jewelry, Luggage, and Leather Goods Retailers, including: Jewelry Retailers; Luggage and Leather Goods Retailers"
"4591","Sporting Goods, Hobby, and Musical Instrument Retailers, including: Sporting Goods Retailers; Hobby, Toy, and Game Retailers; Sewing, Needlework, and Piece Goods Retailers; Musical Instrument and Supplies Retailers"
"4592","Book Retailers and News Dealers"
"4593","Florists"
"4594","Office Supplies, Stationery, and Gift Retailers, including: Office Supplies and Stationery Retailers; Gift, Novelty, and Souvenir Retailers"
"4595","Used Merchandise Retailers"
"4599","Other Miscellaneous Retailers, including: Pet and Pet Supplies Retailers; Art Dealers; Manufactured (Mobile) Home Dealers; Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers"
"4811","Scheduled Air Transportation, including: Scheduled Passenger Air Transportation; Scheduled Freight Air Transportation"
"4812","Nonscheduled Air Transportation, including: Nonscheduled Chartered Passenger Air Transportation; Nonscheduled Chartered Freight Air Transportation"
