keywords,level1_category,level2_category,level3_category,source_sheet
chevron,Energy & Natural Resources,Oil & Gas,Major (multinational) oil & gas producers,employer_keywords
pacific gas & electric,Energy & Natural Resources,Electric Utilities,Gas & electric utilities,employer_keywords
pg&e,Energy & Natural Resources,Electric Utilities,Gas & electric utilities,employer_keywords
gas company,Energy & Natural Resources,Oil & Gas,,employer_keywords
railroad,Energy & Natural Resources,Railroads,Railroads,employer_keywords
socalgas,Energy & Natural Resources,Electric Utilities,Gas & electric utilities,employer_keywords
waste management,Energy & Natural Resources,Waste Management,Waste management,employer_keywords
power agency,Energy & Natural Resources,Electric Utilities,Electric power utilities,employer_keywords
wind energy,Energy & Natural Resources,Miscellaneous Energy,Alternative energy production & services,employer_keywords
renewables,Energy & Natural Resources,Miscellaneous Energy,Alternative energy production & services,employer_keywords
utility district,Energy & Natural Resources,Miscellaneous Energy,Energy production & distribution,employer_keywords
amtrak,Energy & Natural Resources,Railroads,Railroads,employer_keywords
insurance,"Finance, Insurance & Real Estate",,,employer_keywords
remax,"Finance, Insurance & Real Estate",Real Estate,,employer_keywords
state farm,"Finance, Insurance & Real Estate",Insurance,"Insurance companies, general",employer_keywords
farmers insurance,"Finance, Insurance & Real Estate",Insurance,"Insurance agencies, brokers & agents",employer_keywords
wells fargo,"Finance, Insurance & Real Estate",Commercial Banks,Commercial banks & bank holding companies,employer_keywords
us bank,"Finance, Insurance & Real Estate",Commercial Banks,Commercial banks & bank holding companies,employer_keywords
coldwell banker,"Finance, Insurance & Real Estate",Real Estate,Real estate agents & managers,employer_keywords
merrill lynch,"Finance, Insurance & Real Estate",Securities & Investment,"Securities, commodities & investment",employer_keywords
bank of america,"Finance, Insurance & Real Estate",Commercial Banks,Commercial banks & bank holding companies,employer_keywords
anthem blue cross,"Finance, Insurance & Real Estate",Insurance,Accident & health insurance,employer_keywords
pricewaterhousecoopers,"Finance, Insurance & Real Estate",,,employer_keywords
mastercard,"Finance, Insurance & Real Estate",Finance & Credit Companies,Credit agencies & finance companies,employer_keywords
deloitte,"Finance, Insurance & Real Estate",Accountants,,employer_keywords
blue shield,"Finance, Insurance & Real Estate",Insurance,Accident & health insurance,employer_keywords
morgan stanley,"Finance, Insurance & Real Estate",Securities & Investment,"Securities, commodities & investment",employer_keywords
re / max,"Finance, Insurance & Real Estate",Real Estate,Real estate agents & managers,employer_keywords
jp morgan,"Finance, Insurance & Real Estate","Miscellaneous Finance, Insurance & Real Estate","Finance, insurance & real estate",employer_keywords
century 21,"Finance, Insurance & Real Estate",Real Estate,,employer_keywords
century21,"Finance, Insurance & Real Estate",Real Estate,,employer_keywords
h&r block,"Finance, Insurance & Real Estate",,,employer_keywords
 bank ,"Finance, Insurance & Real Estate",,,employer_keywords
visa,"Finance, Insurance & Real Estate",Finance & Credit Companies,Credit agencies & finance companies,employer_keywords
bail bonds,"Finance, Insurance & Real Estate",Miscellaneous Finance,Bail Bond Services,employer_keywords
paypal,"Finance, Insurance & Real Estate",Miscellaneous Finance,Payment Processors,employer_keywords
citibank,"Finance, Insurance & Real Estate","Miscellaneous Finance, Insurance & Real Estate","Finance, insurance & real estate",employer_keywords
credit union,"Finance, Insurance & Real Estate",Credit Unions,Credit unions,employer_keywords
realty,"Finance, Insurance & Real Estate",,,employer_keywords
goldman sachs,"Finance, Insurance & Real Estate",Securities & Investment,"Securities, commodities & investment",employer_keywords
broadcom,"Finance, Insurance & Real Estate",Real Estate,Real estate agents & managers,employer_keywords
kpmg,"Finance, Insurance & Real Estate",Accountants,Accountants,employer_keywords
allstate,"Finance, Insurance & Real Estate",Insurance,"Insurance agencies, brokers & agents",employer_keywords
liberty mutual,"Finance, Insurance & Real Estate",Insurance,"Insurance companies, general",employer_keywords
airbnb,General Business,Lodging & Tourism,Hotels & motels,employer_keywords
disney,General Business,Recreation & Live Entertainment,Recreation & entertainment,employer_keywords
macys,General Business,Retail Sales,"Department, variety & convenience stores",employer_keywords
mcdonalds,General Business,Food & Beverage,Restaurants & drinking establishments,employer_keywords
home depot,General Business,Retail Sales,Hardware & building materials stores,employer_keywords
walmart,General Business,Retail Sales,"Department, variety & convenience stores",employer_keywords
amazon,General Business,Retail Sales,Retail trade,employer_keywords
costco,General Business,Retail Sales,"Department, variety & convenience stores",employer_keywords
casino,General Business,Gambling & Casinos,"Casinos, racetracks & gambling",employer_keywords
wine,General Business,"Beer, Wine & Liquor",Wine & distilled spirits manufacturing,employer_keywords
gaming,General Business,Gambling & Casinos,"Casinos, racetracks & gambling",employer_keywords
starbucks,General Business,Food & Beverage,Restaurants & drinking establishments,employer_keywords
restaurant,General Business,Food & Beverage,Restaurants & drinking establishments,employer_keywords
procter and gamble,General Business,Miscellaneous Manufacturing & Distributing,Manufacturing,employer_keywords
chick-fil-a,General Business,Food & Beverage,Restaurants & drinking establishments,employer_keywords
hotels,General Business,Lodging & Tourism,Hotels & motels,employer_keywords
cvs health,General Business,Retail Sales,Drug stores,employer_keywords
accenture,General Business,Business Services,Management consultants & services,employer_keywords
pepsico,General Business,Food & Beverage,Beverages (non-alcoholic),employer_keywords
school district,Government Agencies/Education/Other,Education,"Public school teachers, administrators & officials",employer_keywords
us navy,Government Agencies/Education/Other,,,employer_keywords
county of,Government Agencies/Education/Other,,,employer_keywords
state of california,Government Agencies/Education/Other,Civil Servants/Public Officials,,employer_keywords
state of ca,Government Agencies/Education/Other,Civil Servants/Public Officials,,employer_keywords
band of,Government Agencies/Education/Other,Tribal Governments,Native American tribes & governing units,employer_keywords
indians,Government Agencies/Education/Other,Tribal Governments,Native American tribes & governing units,employer_keywords
office of education,Government Agencies/Education/Other,Civil Servants/Public Officials,,employer_keywords
public defender,Government Agencies/Education/Other,Civil Servants/Public Officials,Civil servant/public employee,employer_keywords
indian community,Government Agencies/Education/Other,Tribal Governments,Native American tribes & governing units,employer_keywords
public school,Government Agencies/Education/Other,Education,"Public school teachers, administrators & officials",employer_keywords
air quality management district,Government Agencies/Education/Other,Civil Servants/Public Officials,Civil servant/public employee,employer_keywords
dept of justice,Government Agencies/Education/Other,Civil Servants/Public Officials,Courts & justice system,employer_keywords
department of justice,Government Agencies/Education/Other,Civil Servants/Public Officials,Courts & justice system,employer_keywords
tribe,Government Agencies/Education/Other,Tribal Governments,Native American tribes & governing units,employer_keywords
baptist,Government Agencies/Education/Other,Clergy,"Churches, clergy & religious organizations",employer_keywords
ucsf,Government Agencies/Education/Other,Education,,employer_keywords
hospital,Health,,,employer_keywords
medical group,Health,,,employer_keywords
ambulance,Health,Health Services,Health care services,employer_keywords
davita,Health,Hospitals & Nursing Homes,Health care institutions,employer_keywords
sutter health,Health,,,employer_keywords
dental group,Health,Health Professionals,,employer_keywords
city of hope,Health,Hospitals & Nursing Homes,Hospitals,employer_keywords
pfizer,Health,Pharmaceuticals & Health Products,Pharmaceutical manufacturing,employer_keywords
adventist health,Health,Hospitals & Nursing Homes,Hospitals,employer_keywords
aclu,Ideology/Single Issue,Other/Single Issue Groups,Other single-issue or ideological groups,employer_keywords
american civil liberties union,Ideology/Single Issue,Other/Single Issue Groups,Other single-issue or ideological groups,employer_keywords
natural resources defense council,Ideology/Single Issue,Pro-Environmental Policy,Environmental policy,employer_keywords
charter schools association,Ideology/Single Issue,Public Education Policy,School Choice Advocates,employer_keywords
sierra club,Ideology/Single Issue,Pro-Environmental Policy,Environmental policy,employer_keywords
environmental defense fund,Ideology/Single Issue,Pro-Environmental Policy,Environmental policy,employer_keywords
planned parenthood,Ideology/Single Issue,Abortion Policy,"Abortion policy, pro-choice",employer_keywords
ibew,Labor,General Trade Unions,Electrical workers/IBEW,employer_keywords
teachers association,Labor,Public Sector Unions,Teachers unions,employer_keywords
afscme,Labor,Public Sector Unions,,employer_keywords
trades council,Labor,General Trade Unions,,employer_keywords
national union,Labor,,,employer_keywords
employees union,Labor,,,employer_keywords
seiu,Labor,,,employer_keywords
international union,Labor,,,employer_keywords
teamsters,Labor,Transportation Unions,Teamsters unions,employer_keywords
nurses assocation,Labor,General Trade Unions,Health worker unions,employer_keywords
labor council,Labor,,,employer_keywords
labor council,Labor,,,employer_keywords
labor federation,Labor,,,employer_keywords
legal center,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
law firm,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
law office,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
law group,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
trial lawyer,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
law partners,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
attorney at law,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
attorneys at law,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
injury attorney,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
personal injury,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
injury attorney,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
employment lawyers,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
lawyer,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
professional law,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
legal group,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
law center,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
a law corporation,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
public relations,Lawyers & Lobbyists,Lawyers & Lobbyists,Lobbyists & public relations,employer_keywords
law partners,Lawyers & Lobbyists,Lawyers & Lobbyists,Attorneys & law firms,employer_keywords
republica central committee,Party,Party Committees,Republican Party committees,employer_keywords
democratic party,Party,Party Committees,Democratic Party committees,employer_keywords
republica club,Party,Party Committees,Republican Party committees,employer_keywords
republican party,Party,Party Committees,Republican Party committees,employer_keywords
democratic national committee,Party,Party Committees,Democratic Party committees,employer_keywords
ford motor,Transportation,Automotive,Auto manufacturers,employer_keywords
spacex,Transportation,Air Transport,Space vehicles & components,employer_keywords
united airlines,Transportation,Air Transport,Airlines,employer_keywords
enterprise rent a car,Transportation,Automotive,Car & truck rental agencies,employer_keywords
ups,Transportation,Air Transport,Express delivery services,employer_keywords
uber,Transportation,Miscellaneous Transport,Taxicabs,employer_keywords
boeing,Transportation,Air Transport,Aircraft manufacturers,employer_keywords
airlines,Transportation,Air Transport,Airlines,employer_keywords
air lines,Transportation,Air Transport,Airlines,employer_keywords
tesla,Transportation,Automotive,Auto manufacturers,employer_keywords
fedex,Transportation,Air Transport,Express delivery services,employer_keywords
toyota of,Transportation,Automotive,"Auto dealers, new & used",employer_keywords
lexus of,Transportation,Automotive,"Auto dealers, new & used",employer_keywords
marine manufacturer,Transportation,Sea Transport,Ship building & repair,employer_keywords
auto sale,Transportation,Automotive,"Auto dealers, new & used",employer_keywords
lyft,Transportation,Miscellaneous Transport,Taxicabs,employer_keywords
waymo,Transportation,Trucking,Trucking companies & services,employer_keywords
doordash,Transportation,Miscellaneous Transport,Rideshare & Delivery Apps,employer_keywords
general motors,Transportation,Automotive,Auto manufacturers,employer_keywords
instacart,Transportation,Miscellaneous Transport,Rideshare & Delivery Apps,employer_keywords
agriculture,Agriculture,Agricultural Services & Products,,company_keywords
"pistachio, almond, citrus",Agriculture,Crop Production & Basic Processing,,company_keywords
dairy,Agriculture,Dairy,,company_keywords
dairies,Agriculture,Dairy,,company_keywords
dairymen,Agriculture,Dairy,,company_keywords
cattle / cattlemen,Agriculture,Livestock,,company_keywords
grocers,Agriculture,Food Processing & Sales,,company_keywords
poultry,Agriculture,Poultry & Eggs,,company_keywords
veterinary,Agriculture,Agricultural Services & Products,,company_keywords
pet hospital,Agriculture,Agricultural Services & Products,,company_keywords
tobacco,Agriculture,Tobacco,,company_keywords
contractor,Construction,,,company_keywords
 gas ,Energy & Natural Resources,,,company_keywords
water agency,Energy & Natural Resources,Water Utilities,,company_keywords
electric power,Energy & Natural Resources,Electric Utilities,,company_keywords
railway,Energy & Natural Resources,Railroads,,company_keywords
railroads,Energy & Natural Resources,Railroads,,company_keywords
waste industries,Energy & Natural Resources,Waste Management,,company_keywords
waste management,Energy & Natural Resources,Waste Management,,company_keywords
mutual water,Energy & Natural Resources,Water Utilities,,company_keywords
water association,Energy & Natural Resources,Water Utilities,,company_keywords
water service,Energy & Natural Resources,Water Utilities,,company_keywords
petroleum,Energy & Natural Resources,Oil & Gas,,company_keywords
fuel,Energy & Natural Resources,,,company_keywords
solar,Energy & Natural Resources,Miscellaneous Energy,,company_keywords
renewables,Energy & Natural Resources,Miscellaneous Energy,,company_keywords
natural resources,Energy & Natural Resources,,,company_keywords
power services,Energy & Natural Resources,,,company_keywords
refining,Energy & Natural Resources,Oil & Gas,,company_keywords
insurer,"Finance, Insurance & Real Estate",Insurance,,company_keywords
bail bond,"Finance, Insurance & Real Estate",Miscellaneous Finance,,company_keywords
property management,"Finance, Insurance & Real Estate",,,company_keywords
real estate,"Finance, Insurance & Real Estate",Real Estate,,company_keywords
credit union,"Finance, Insurance & Real Estate",Credit Unions,,company_keywords
accountant,"Finance, Insurance & Real Estate",Accountants,,company_keywords
apartment,"Finance, Insurance & Real Estate",Real Estate,,company_keywords
financial services,"Finance, Insurance & Real Estate",,,company_keywords
banker,"Finance, Insurance & Real Estate",,,company_keywords
property owners,"Finance, Insurance & Real Estate",Real Estate,,company_keywords
building owners,"Finance, Insurance & Real Estate",Real Estate,,company_keywords
realty,"Finance, Insurance & Real Estate",Real Estate,,company_keywords
realtor,"Finance, Insurance & Real Estate",Real Estate,,company_keywords
mortgage,"Finance, Insurance & Real Estate",,,company_keywords
mobile home,"Finance, Insurance & Real Estate",Real Estate,,company_keywords
bail agent,"Finance, Insurance & Real Estate",Miscellaneous Finance,,company_keywords
jewelry and loan,"Finance, Insurance & Real Estate",Payday/Title Loans,,company_keywords
casino,General Business,Gambling & Casinos,,company_keywords
liquor,General Business,"Beer, Wine & Liquor",,company_keywords
restaurant,General Business,Food & Beverage,,company_keywords
winery,General Business,"Beer, Wine & Liquor",,company_keywords
therapist,Government Agencies/Education/Other,Welfare/Social Work,,company_keywords
social work,Government Agencies/Education/Other,Welfare/Social Work,,company_keywords
defense attorney,Government Agencies/Education/Other,Civil Servants/Public Officials,,company_keywords
city of,Government Agencies/Education/Other,Civil Servants/Public Officials,,company_keywords
county of,Government Agencies/Education/Other,Civil Servants/Public Officials,,company_keywords
tribe,Government Agencies/Education/Other,Tribal Governments,,company_keywords
government attorney,Government Agencies/Education/Other,Civil Servants/Public Officials,,company_keywords
band of,Government Agencies/Education/Other,Tribal Governments,,company_keywords
tribal,Government Agencies/Education/Other,Tribal Governments,,company_keywords
chiropractic,Health,Health Professionals,,company_keywords
medical group,Health,,,company_keywords
medical care,Health,,,company_keywords
surgical,Health,,,company_keywords
 hospital ,Health,,,company_keywords
obstetrician,Health,Health Professionals,,company_keywords
gynecologist,Health,Health Professionals,,company_keywords
 dds ,Health,Health Professionals,,company_keywords
ambulance,Health,Health Services,,company_keywords
neuroscience,Health,Health Professionals,,company_keywords
acupuncture,Health,Health Professionals,,company_keywords
pharmaceutical,Health,Pharmaceuticals & Health Products,,company_keywords
biotechnology,Health,Pharmaceuticals & Health Products,,company_keywords
health services,Health,,,company_keywords
psychiatric,Health,Health Professionals,,company_keywords
surgeons,Health,Health Professionals,,company_keywords
assisted living,Health,Hospitals & Nursing Homes,,company_keywords
surgery,Health,,,company_keywords
dermatology,Health,Health Professionals,,company_keywords
physical therapy,Health,Health Professionals,,company_keywords
anesthesiologists,Health,Health Professionals,,company_keywords
radiological,Health,Health Professionals,,company_keywords
plastic surgeon,Health,Health Professionals,,company_keywords
orthopedic,Health,Health Professionals,,company_keywords
acupuncture,Health,Health Professionals,,company_keywords
medical group,Health,Health Professionals,,company_keywords
optometry,Health,Health Professionals,,company_keywords
therapy,Health,Health Professionals,,company_keywords
medical transportation,Health,Health Services,,company_keywords
pharmacists,Health,Health Professionals,,company_keywords
african american,Ideology/Single Issue,Minority & Disability Groups,,company_keywords
gun violence,Ideology/Single Issue,Gun Control,,company_keywords
conservation,Ideology/Single Issue,,,company_keywords
advocates,Ideology/Single Issue,,,company_keywords
asian pacific americans,Ideology/Single Issue,Minority & Disability Groups,,company_keywords
gay and lesbian,Ideology/Single Issue,Gay/Lesbian Rights & Issues,,company_keywords
lgbt,Ideology/Single Issue,Gay/Lesbian Rights & Issues,,company_keywords
gun owner,Ideology/Single Issue,Gun Control,,company_keywords
lesbian gay bisexual transgender ,Ideology/Single Issue,Gay/Lesbian Rights & Issues,,company_keywords
pro choice,Ideology/Single Issue,Abortion Policy,,company_keywords
planned parenthood,Ideology/Single Issue,Abortion Policy,,company_keywords
district council,Labor,,,company_keywords
labor council,Labor,General Trade Unions,,company_keywords
officers association,Labor,Public Sector Unions,,company_keywords
laborers,Labor,,,company_keywords
deputy sheriffs,Labor,Public Sector Unions,,company_keywords
police officers,Labor,Public Sector Unions,,company_keywords
police association,Labor,Public Sector Unions,,company_keywords
fire fighters,Labor,Public Sector Unions,,company_keywords
firefighters,Labor,Public Sector Unions,,company_keywords
union local,Labor,,,company_keywords
teachers,Labor,Public Sector Unions,,company_keywords
educators,Labor,Public Sector Unions,,company_keywords
teamsters,Labor,,,company_keywords
iron workers,Labor,General Trade Unions,,company_keywords
ironworkers,Labor,General Trade Unions,,company_keywords
electrical workers,Labor,General Trade Unions,,company_keywords
boilermakers,Labor,General Trade Unions,,company_keywords
operating engineers,Labor,General Trade Unions,,company_keywords
law enforcement association,Labor,Public Sector Unions,,company_keywords
guild,Labor,,,company_keywords
ibew,Labor,General Trade Unions,,company_keywords
building and construction trades,Labor,General Trade Unions,,company_keywords
building trades,Labor,General Trade Unions,,company_keywords
attorneys at law,Lawyers & Lobbyists,Lawyers & Lobbyists,,company_keywords
attorney at law,Lawyers & Lobbyists,Lawyers & Lobbyists,,company_keywords
prof law corp,Lawyers & Lobbyists,Lawyers & Lobbyists,,company_keywords
law firm,Lawyers & Lobbyists,Lawyers & Lobbyists,,company_keywords
a law corporation,Lawyers & Lobbyists,Lawyers & Lobbyists,,company_keywords
professional law corporation,Lawyers & Lobbyists,Lawyers & Lobbyists,,company_keywords
 esq ,Lawyers & Lobbyists,Lawyers & Lobbyists,,company_keywords
law group,Lawyers & Lobbyists,Lawyers & Lobbyists,,company_keywords
republican party,Party,Party Committees,,company_keywords
green party,Party,Party Committees,,company_keywords
democratic central cmte,Party,Party Committees,,company_keywords
republican central cmte,Party,Party Committees,,company_keywords
airlines,Transportation,Air Transport,,company_keywords
automotive,Transportation,Automotive,,company_keywords
shipyard,Transportation,Sea Transport,,company_keywords
new car,Transportation,Automotive,,company_keywords
trucking,Transportation,Trucking,,company_keywords
motors,Transportation,Automotive,,company_keywords
autobody,Transportation,Automotive,,company_keywords
auto body,Transportation,Automotive,,company_keywords
car wash,Transportation,Automotive,,company_keywords
carwash,Transportation,Automotive,,company_keywords
tire center,Transportation,Automotive,,company_keywords
merchant shipping,Transportation,Sea Transport,,company_keywords
maritime,Transportation,Sea Transport,,company_keywords
yellow cab,Transportation,Miscellaneous Transport,,company_keywords
church,Religious Organizations,Other Services (81),,company_keywords
